param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.6144,0.9421,0.9492,0.9611,0.974,0.987,100.0
Alt1,NUTS,0.5968,0.9272,0.9337,0.9568,0.9706,0.9834,100.0
Alt1,HMC,0.3781,0.9375,0.9382,0.9583,0.9697,0.983,100.0
Alt2,bayesm,0.7545,0.9281,0.9432,0.9586,0.9718,0.9896,100.0
Alt2,NUTS,0.7098,0.9221,0.935,0.9522,0.9689,0.9904,100.0
Alt2,HMC,0.7625,0.9279,0.9404,0.9543,0.9701,0.9894,100.0
Alt3,bayesm,0.7569,0.9302,0.9429,0.9569,0.97,0.9907,100.0
Alt3,NUTS,0.6281,0.9119,0.9358,0.9499,0.9679,0.9908,100.0
Alt3,HMC,0.8003,0.9289,0.9406,0.9548,0.9681,0.9897,100.0
Price,bayesm,0.8587,0.9646,0.9705,0.9781,0.9839,0.9934,100.0
Price,NUTS,0.8513,0.9623,0.9684,0.9759,0.9824,0.9932,100.0
Price,HMC,0.8735,0.9623,0.9704,0.9771,0.9822,0.9934,100.0
