k_true,param,sampler,min,q1,mean,median,q3,max,n_sim
1,Alt1,bayesm,0.424,0.7595,1.0627,0.8955,1.1197,4.0281,100.0
1,Alt1,NUTS,0.4027,0.7493,1.1863,0.9162,1.1838,5.6634,100.0
1,Alt1,HMC,0.4025,0.7394,1.0107,0.8517,1.0053,6.4039,100.0
1,Alt2,bayesm,0.5511,0.7968,1.0578,0.9308,1.1853,3.8486,100.0
1,Alt2,NUTS,0.551,0.7689,1.0784,0.8895,1.1164,3.3638,100.0
1,Alt2,HMC,0.545,0.7647,0.9197,0.871,1.0452,2.2484,100.0
1,Alt3,bayesm,0.4798,0.8039,1.0236,0.9318,1.0876,3.29,100.0
1,Alt3,NUTS,0.479,0.7708,1.0878,0.8787,1.1306,9.1711,100.0
1,Alt3,HMC,0.4787,0.7631,0.9453,0.8445,1.024,3.6554,100.0
1,Price,bayesm,0.3397,0.5613,0.8073,0.7135,0.9307,2.4228,100.0
1,Price,NUTS,0.3273,0.523,0.7534,0.6728,0.9061,1.8833,100.0
1,Price,HMC,0.3389,0.5264,0.7338,0.6744,0.8844,1.9518,100.0
2,Alt1,bayesm,0.5668,0.8163,1.0564,0.9441,1.167,3.0385,100.0
2,Alt1,NUTS,0.5686,0.8257,1.2822,0.9572,1.2806,8.7465,100.0
2,Alt1,HMC,0.5686,0.8094,1.1149,0.8894,1.1778,4.8347,100.0
2,Alt2,bayesm,0.6409,0.8672,1.1124,1.0197,1.2461,2.5857,100.0
2,Alt2,NUTS,0.6163,0.8461,1.1911,0.9644,1.2597,5.7455,100.0
2,Alt2,HMC,0.6153,0.8332,1.0852,0.968,1.196,2.7728,100.0
2,Alt3,bayesm,0.5568,0.8527,1.0888,0.9795,1.1898,3.4762,100.0
2,Alt3,NUTS,0.6168,0.8235,1.1579,0.9717,1.1645,5.326,100.0
2,Alt3,HMC,0.6066,0.8129,1.0414,0.9321,1.0841,5.4986,100.0
2,Price,bayesm,0.4011,0.6004,0.7538,0.7404,0.8886,1.409,100.0
2,Price,NUTS,0.385,0.5718,0.7427,0.7503,0.8671,1.55,100.0
2,Price,HMC,0.396,0.5709,0.7449,0.7206,0.8379,1.6976,100.0
3,Alt1,bayesm,0.6323,0.8495,1.1471,1.0023,1.2192,3.0584,100.0
3,Alt1,NUTS,0.6451,0.9059,1.641,1.0697,1.4229,15.3708,100.0
3,Alt1,HMC,0.6433,0.8547,1.3616,1.0158,1.3516,8.0396,100.0
3,Alt2,bayesm,0.7184,0.8644,1.1023,0.9615,1.197,3.4277,100.0
3,Alt2,NUTS,0.7165,0.8645,1.253,1.0119,1.307,5.5853,100.0
3,Alt2,HMC,0.7162,0.8653,1.1069,0.9776,1.2032,3.9145,100.0
3,Alt3,bayesm,0.6299,0.8987,1.2448,1.0278,1.2859,5.7398,100.0
3,Alt3,NUTS,0.6017,0.8876,1.2101,1.0045,1.3235,4.0838,100.0
3,Alt3,HMC,0.6273,0.8634,1.1671,0.9854,1.2567,5.0054,100.0
3,Price,bayesm,0.4069,0.6521,0.7615,0.7305,0.8487,1.7245,100.0
3,Price,NUTS,0.3984,0.6511,0.7894,0.7429,0.8512,1.8533,100.0
3,Price,HMC,0.3971,0.6665,0.7763,0.7444,0.8465,1.6993,100.0
5,Alt1,bayesm,0.7253,0.8975,1.2911,1.0027,1.3238,5.0203,100.0
5,Alt1,NUTS,0.7706,0.9686,2.0095,1.1249,1.6127,11.7951,100.0
5,Alt1,HMC,0.7397,0.9468,1.6773,1.1001,1.4867,16.2372,100.0
5,Alt2,bayesm,0.6431,0.8914,1.1809,1.002,1.2084,3.7102,100.0
5,Alt2,NUTS,0.7459,0.9277,1.4083,1.0748,1.4068,6.766,100.0
5,Alt2,HMC,0.6296,0.9155,1.2541,1.054,1.292,4.8179,100.0
5,Alt3,bayesm,0.7381,0.9172,1.2,1.0588,1.274,3.7714,100.0
5,Alt3,NUTS,0.7424,0.9539,1.4573,1.1237,1.3572,7.7868,100.0
5,Alt3,HMC,0.7364,0.9252,1.309,1.1147,1.4409,7.2696,100.0
5,Price,bayesm,0.5462,0.658,0.7784,0.7472,0.8395,1.4669,100.0
5,Price,NUTS,0.5515,0.6738,0.8331,0.78,0.9129,2.5409,100.0
5,Price,HMC,0.517,0.6787,0.8195,0.7874,0.9288,1.627,100.0
