param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.5668,0.8163,1.0564,0.9441,1.167,3.0385,100.0
Alt1,NUTS,0.5686,0.8257,1.2822,0.9572,1.2806,8.7465,100.0
Alt1,HMC,0.5686,0.8094,1.1149,0.8894,1.1778,4.8347,100.0
Alt2,bayesm,0.6409,0.8672,1.1124,1.0197,1.2461,2.5857,100.0
Alt2,NUTS,0.6163,0.8461,1.1911,0.9644,1.2597,5.7455,100.0
Alt2,HMC,0.6153,0.8332,1.0852,0.968,1.196,2.7728,100.0
Alt3,bayesm,0.5568,0.8527,1.0888,0.9795,1.1898,3.4762,100.0
Alt3,NUTS,0.6168,0.8235,1.1579,0.9717,1.1645,5.326,100.0
Alt3,HMC,0.6066,0.8129,1.0414,0.9321,1.0841,5.4986,100.0
Price,bayesm,0.4011,0.6004,0.7538,0.7404,0.8886,1.409,100.0
Price,NUTS,0.385,0.5718,0.7427,0.7503,0.8671,1.55,100.0
Price,HMC,0.396,0.5709,0.7449,0.7206,0.8379,1.6976,100.0
