k_true,sampler,n_sim,mean_k_eff,median_k_eff,sd_k_eff,mean_est_k,frac_correct,frac_over,frac_under,frac_correct_keff,mean_est_k_ci
1,bayesm,100.0,1.126,1.092,0.116,1.25,0.76,0.24,0.0,0.99,1.01
1,nuts,100.0,1.077,1.034,0.122,1.12,0.88,0.12,0.0,0.97,1.0
1,hmc,100.0,1.037,1.03,0.023,1.02,0.98,0.02,0.0,1.0,1.0
2,bayesm,100.0,2.151,2.128,0.204,2.14,0.83,0.15,0.02,0.95,1.97
2,nuts,100.0,1.999,2.035,0.21,2.01,0.93,0.04,0.03,0.96,1.92
2,hmc,100.0,1.946,2.031,0.266,1.93,0.93,0.0,0.07,0.93,1.88
3,bayesm,100.0,3.06,3.122,0.313,2.96,0.92,0.02,0.06,0.92,2.89
3,nuts,100.0,2.788,3.023,0.416,2.89,0.87,0.01,0.12,0.81,2.66
3,hmc,100.0,2.734,2.997,0.443,2.89,0.84,0.03,0.13,0.77,2.55
5,bayesm,100.0,4.437,4.744,0.576,4.67,0.71,0.0,0.29,0.58,4.08
5,nuts,100.0,3.924,3.833,0.663,4.36,0.45,0.0,0.55,0.22,3.73
5,hmc,100.0,3.715,3.683,0.68,4.17,0.31,0.0,0.69,0.13,3.52
