element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.0003,0.0411,0.1246,0.0781,0.1365,0.8903,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0001,0.0413,0.1284,0.0775,0.1283,1.2498,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0005,0.0397,0.1336,0.0778,0.1321,1.5539,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0049,0.0427,0.1141,0.0775,0.1727,0.677,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0031,0.0434,0.1093,0.0741,0.1529,0.6407,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.0008,0.0403,0.1129,0.078,0.1654,0.5618,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0001,0.0384,0.1266,0.085,0.1419,1.506,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0002,0.0439,0.1363,0.0863,0.1393,2.5188,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0008,0.0382,0.1247,0.0873,0.1386,1.49,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.0013,0.0312,0.0798,0.0536,0.1014,0.379,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.0015,0.0326,0.0798,0.0557,0.1008,0.3649,100.0
"Δ₁,₄ (z1:Price)",HMC,0.0006,0.0304,0.0796,0.055,0.1001,0.381,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.0003,0.037,0.1292,0.0803,0.1798,1.0156,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0015,0.0321,0.1348,0.087,0.1838,1.1073,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0028,0.0359,0.1427,0.0824,0.1746,1.8655,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0002,0.0438,0.1097,0.0773,0.148,0.4816,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0004,0.0369,0.1173,0.0835,0.1675,0.5444,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0005,0.0393,0.1139,0.0808,0.1542,0.4726,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0005,0.0359,0.0962,0.0712,0.1315,0.6469,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0007,0.0441,0.1116,0.0707,0.133,0.8653,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0012,0.0399,0.104,0.0719,0.1368,0.653,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.0004,0.027,0.072,0.0518,0.0931,0.3448,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.0004,0.0282,0.0721,0.0539,0.0947,0.3461,100.0
"Δ₂,₄ (z2:Price)",HMC,0.0021,0.0277,0.0728,0.055,0.096,0.3513,100.0
