element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.085,0.104,0.1154,0.1148,0.1239,0.1637,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0903,0.1125,0.1256,0.1244,0.1392,0.1763,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0921,0.1151,0.1276,0.1269,0.1392,0.1944,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0869,0.1064,0.1164,0.1149,0.1268,0.1585,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0917,0.1136,0.1259,0.1212,0.1372,0.2256,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.09,0.1128,0.1267,0.123,0.138,0.2116,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0813,0.1054,0.1176,0.1142,0.1255,0.1922,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0847,0.1102,0.1247,0.1204,0.1323,0.2156,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0837,0.1127,0.1277,0.1226,0.1368,0.2263,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.0685,0.0836,0.0911,0.0902,0.0969,0.1311,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.0724,0.0857,0.0955,0.0941,0.1032,0.1502,100.0
"Δ₁,₄ (z1:Price)",HMC,0.0708,0.0868,0.0989,0.0947,0.1078,0.1436,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.084,0.1063,0.1159,0.1157,0.1228,0.1952,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0868,0.1144,0.1264,0.1231,0.1374,0.1992,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0866,0.113,0.1278,0.1241,0.1399,0.2003,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0821,0.1067,0.1154,0.114,0.1227,0.1537,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0852,0.1127,0.1247,0.1206,0.133,0.2235,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.088,0.1129,0.1253,0.1199,0.1338,0.2073,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.086,0.1046,0.1169,0.1122,0.1252,0.1823,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0864,0.1081,0.1234,0.1166,0.135,0.1922,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0858,0.1084,0.1257,0.1194,0.1339,0.207,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.0677,0.0827,0.0904,0.0888,0.0978,0.1251,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.0687,0.0851,0.0943,0.0939,0.1033,0.1306,100.0
"Δ₂,₄ (z2:Price)",HMC,0.0707,0.0867,0.0974,0.094,0.1054,0.1513,100.0
