param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,HMC,Hellinger,0.03252,0.10339,0.17289,0.15409,0.2129,0.46134,82.0
Alt1,HMC,KL,0.0051,0.11471,inf,0.83593,,inf,82.0
Alt1,HMC,JSD,0.00103,0.00997,0.03436,0.0216,0.04043,0.1657,82.0
Alt1,HMC,TVD,0.02803,0.08095,0.14888,0.12877,0.20434,0.38987,82.0
Alt1,HMC,Wasserstein1,0.07164,0.29727,0.64495,0.43441,0.68096,2.86758,82.0
Alt2,HMC,Hellinger,0.03998,0.09679,0.15562,0.13045,0.20361,0.47736,82.0
Alt2,HMC,KL,0.0085,0.06657,inf,0.50818,,inf,82.0
Alt2,HMC,JSD,0.00152,0.00892,0.02798,0.01578,0.03697,0.17943,82.0
Alt2,HMC,TVD,0.02882,0.08471,0.13666,0.11056,0.16883,0.40131,82.0
Alt2,HMC,Wasserstein1,0.08831,0.27191,0.50966,0.40034,0.57834,2.44984,82.0
Alt3,HMC,Hellinger,0.04876,0.09092,0.15815,0.11506,0.20229,0.46108,82.0
Alt3,HMC,KL,0.01095,0.05862,inf,0.71395,,inf,82.0
Alt3,HMC,JSD,0.00232,0.00724,0.02998,0.0123,0.03714,0.17147,82.0
Alt3,HMC,TVD,0.03477,0.07721,0.13884,0.10605,0.17018,0.41293,82.0
Alt3,HMC,Wasserstein1,0.06774,0.2573,0.54933,0.38294,0.59355,2.81075,82.0
Price,HMC,Hellinger,0.04716,0.07514,0.11342,0.09687,0.13986,0.28707,82.0
Price,HMC,KL,0.01089,0.03068,inf,0.13683,,inf,82.0
Price,HMC,JSD,0.00215,0.00525,0.01422,0.0089,0.01718,0.06818,82.0
Price,HMC,TVD,0.03041,0.06799,0.09755,0.08384,0.11469,0.25149,82.0
Price,HMC,Wasserstein1,0.07498,0.21155,0.35424,0.30402,0.4817,1.05183,82.0
