k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
1,Alt1,bayesm,Hellinger,0.0166,0.05267,0.09146,0.06826,0.10594,0.42969,100.0
1,Alt1,NUTS,Hellinger,0.01116,0.04534,0.09246,0.06548,0.10628,0.53838,100.0
1,Alt1,HMC,Hellinger,0.01081,0.04474,0.09163,0.0634,0.10872,0.57592,100.0
1,Alt1,bayesm,KL,0.0014,0.01475,0.14076,0.02864,0.06487,3.49215,100.0
1,Alt1,NUTS,KL,0.0006,0.01011,0.13577,0.02023,0.06288,4.0367,100.0
1,Alt1,HMC,KL,0.00059,0.00951,0.279,0.01665,0.06166,18.59585,100.0
1,Alt1,bayesm,JSD,0.00026,0.00256,0.012,0.00442,0.01039,0.14955,100.0
1,Alt1,NUTS,JSD,0.00012,0.00198,0.01426,0.00408,0.01088,0.24197,100.0
1,Alt1,HMC,JSD,0.00011,0.00196,0.01462,0.00391,0.01128,0.25958,100.0
1,Alt1,bayesm,TVD,0.01209,0.03712,0.08139,0.06409,0.09692,0.41177,100.0
1,Alt1,NUTS,TVD,0.00742,0.03724,0.08717,0.06307,0.10535,0.57142,100.0
1,Alt1,HMC,TVD,0.00593,0.0397,0.08744,0.06108,0.1009,0.57068,100.0
1,Alt1,bayesm,Wasserstein1,0.01361,0.07849,0.2261,0.14407,0.2036,2.22094,100.0
1,Alt1,NUTS,Wasserstein1,0.0131,0.08486,0.23862,0.13968,0.23058,2.92811,100.0
1,Alt1,HMC,Wasserstein1,0.01098,0.09282,0.26701,0.13887,0.22451,5.69042,100.0
1,Alt2,bayesm,Hellinger,0.01796,0.04966,0.08977,0.07375,0.11185,0.43245,100.0
1,Alt2,NUTS,Hellinger,0.01837,0.04442,0.09404,0.07007,0.12029,0.45688,100.0
1,Alt2,HMC,Hellinger,0.01209,0.04552,0.09139,0.06936,0.1215,0.45758,100.0
1,Alt2,bayesm,KL,0.00195,0.0143,0.1156,0.0292,0.08428,3.87119,100.0
1,Alt2,NUTS,KL,0.00146,0.00901,0.13076,0.02568,0.08364,4.05889,100.0
1,Alt2,HMC,KL,0.00079,0.00984,0.08709,0.02156,0.08231,2.25776,100.0
1,Alt2,bayesm,JSD,0.00029,0.00231,0.01025,0.00509,0.0117,0.15517,100.0
1,Alt2,NUTS,JSD,0.00033,0.00189,0.01283,0.00483,0.01366,0.17085,100.0
1,Alt2,HMC,JSD,0.00014,0.00202,0.01187,0.00475,0.01379,0.17731,100.0
1,Alt2,bayesm,TVD,0.00777,0.03898,0.07657,0.06494,0.09657,0.43039,100.0
1,Alt2,NUTS,TVD,0.00654,0.0393,0.08652,0.06527,0.11357,0.4539,100.0
1,Alt2,HMC,TVD,0.00339,0.04016,0.08616,0.06636,0.11712,0.47572,100.0
1,Alt2,bayesm,Wasserstein1,0.00963,0.0935,0.20428,0.14594,0.24901,1.98938,100.0
