param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,Hellinger,0.03348,0.06138,0.11239,0.0931,0.13517,0.4314,100.0
Alt1,NUTS,Hellinger,0.02639,0.06618,0.13214,0.10508,0.15971,0.59287,100.0
Alt1,HMC,Hellinger,0.03177,0.07326,0.13562,0.10988,0.16818,0.44382,100.0
Alt1,bayesm,KL,0.00682,0.02498,inf,0.05646,0.14911,inf,100.0
Alt1,NUTS,KL,0.00317,0.02187,inf,0.06582,0.22034,inf,100.0
Alt1,HMC,KL,0.00494,0.02561,inf,0.08896,0.34023,inf,100.0
Alt1,bayesm,JSD,0.00103,0.00338,0.01625,0.00737,0.01645,0.15447,100.0
Alt1,NUTS,JSD,0.00068,0.00428,0.02384,0.01016,0.02351,0.27185,100.0
Alt1,HMC,JSD,0.00098,0.00476,0.02348,0.01147,0.02622,0.15863,100.0
Alt1,bayesm,TVD,0.02211,0.05263,0.09626,0.08094,0.11687,0.36979,100.0
Alt1,NUTS,TVD,0.02487,0.05642,0.11602,0.09202,0.14198,0.49743,100.0
Alt1,HMC,TVD,0.02429,0.05711,0.12042,0.1029,0.153,0.38012,100.0
Alt1,bayesm,Wasserstein1,0.03591,0.11511,0.31441,0.22464,0.40488,2.17637,100.0
Alt1,NUTS,Wasserstein1,0.0551,0.12934,0.44923,0.28502,0.4821,6.32461,100.0
Alt1,HMC,Wasserstein1,0.05597,0.14908,0.43819,0.31794,0.55507,2.60309,100.0
Alt2,bayesm,Hellinger,0.03198,0.06344,0.11563,0.09032,0.13968,0.39942,100.0
Alt2,NUTS,Hellinger,0.0224,0.06651,0.12945,0.09943,0.158,0.58004,100.0
Alt2,HMC,Hellinger,0.02293,0.06554,0.12728,0.10064,0.15979,0.37871,100.0
Alt2,bayesm,KL,0.00527,0.02207,inf,0.0482,0.17938,inf,100.0
Alt2,NUTS,KL,0.00315,0.02138,inf,0.0595,0.19769,inf,100.0
Alt2,HMC,KL,0.00307,0.02372,inf,0.06006,0.24897,inf,100.0
Alt2,bayesm,JSD,0.00097,0.00377,0.01638,0.00732,0.0179,0.13665,100.0
Alt2,NUTS,JSD,0.00046,0.00431,0.02219,0.00922,0.02294,0.2618,100.0
Alt2,HMC,JSD,0.00049,0.00419,0.02019,0.00921,0.02389,0.1252,100.0
Alt2,bayesm,TVD,0.02193,0.05441,0.098,0.07988,0.12319,0.34462,100.0
Alt2,NUTS,TVD,0.01726,0.0559,0.11164,0.08974,0.13845,0.47722,100.0
Alt2,HMC,TVD,0.01651,0.05755,0.11295,0.09302,0.13988,0.38872,100.0
Alt2,bayesm,Wasserstein1,0.0436,0.15018,0.33026,0.24474,0.41376,1.8323,100.0
Alt2,NUTS,Wasserstein1,0.03004,0.17135,0.43919,0.29895,0.45069,4.59003,100.0
Alt2,HMC,Wasserstein1,0.03092,0.17732,0.38044,0.30776,0.4946,1.67173,100.0
