k_true,series,param,sampler,min_ess,q25_ess,median_ess,q75_ess,frac_ess_ge_400,n_sim
1,density,Alt1,bayesm,3.622,18.632,79.425,176.781,0.11,100
1,density,Alt1,nuts,2.863,25.032,197.723,595.929,0.34,100
1,density,Alt1,hmc,2.809,18.565,86.306,188.704,0.14,100
1,density,Alt2,bayesm,3.592,25.321,90.358,292.728,0.19,100
1,density,Alt2,nuts,3.494,30.38,190.263,623.467,0.33,100
1,density,Alt2,hmc,3.572,24.923,80.104,284.928,0.18,100
1,density,Alt3,bayesm,4.262,23.548,82.922,254.852,0.14,100
1,density,Alt3,nuts,3.475,22.077,227.237,619.998,0.4,100
1,density,Alt3,hmc,3.305,14.308,57.059,240.941,0.1,100
1,density,Price,bayesm,3.333,20.45,73.912,229.005,0.16,100
1,density,Price,nuts,3.092,25.972,285.411,831.447,0.41,100
1,density,Price,hmc,3.084,19.144,75.567,336.137,0.24,100
1,Mean,Alt1,bayesm,2.866,16.648,68.363,246.167,0.18,100
1,Mean,Alt1,nuts,3.449,25.772,199.643,1519.929,0.43,100
1,Mean,Alt1,hmc,2.898,84.755,295.959,903.551,0.44,100
1,Mean,Alt2,bayesm,2.758,21.882,66.813,294.337,0.19,100
1,Mean,Alt2,nuts,3.769,28.298,167.8,1537.283,0.43,100
1,Mean,Alt2,hmc,3.858,39.11,280.828,1000.831,0.43,100
1,Mean,Alt3,bayesm,3.015,23.046,96.275,439.142,0.26,100
1,Mean,Alt3,nuts,2.882,29.172,248.96,1487.598,0.43,100
1,Mean,Alt3,hmc,3.418,56.369,206.843,1013.051,0.4,100
1,Mean,Price,bayesm,4.723,29.414,79.555,281.567,0.22,100
1,Mean,Price,nuts,5.424,41.39,280.838,1193.408,0.43,100
1,Mean,Price,hmc,4.627,56.794,233.375,1011.661,0.39,100
1,Var,Alt1,bayesm,2.973,24.993,152.805,730.254,0.35,100
1,Var,Alt1,nuts,3.342,46.436,347.014,1194.531,0.45,100
1,Var,Alt1,hmc,4.078,32.97,168.554,566.176,0.36,100
1,Var,Alt2,bayesm,2.889,26.657,127.016,755.505,0.37,100
1,Var,Alt2,nuts,3.309,43.883,292.553,2047.154,0.47,100
1,Var,Alt2,hmc,5.03,35.196,229.622,818.829,0.39,100
1,Var,Alt3,bayesm,3.992,24.557,196.544,860.033,0.42,100
1,Var,Alt3,nuts,3.157,41.237,281.256,1752.069,0.46,100
1,Var,Alt3,hmc,4.576,52.624,212.729,934.638,0.37,100
1,Var,Price,bayesm,3.887,49.41,176.243,709.269,0.35,100
1,Var,Price,nuts,3.742,42.256,382.859,1739.025,0.5,100
1,Var,Price,hmc,5.091,33.238,161.766,876.83,0.37,100
