k_true,series,param,sampler,median_rhat,q75_rhat,max_rhat,frac_converged,n_sim
1,density,Alt1,bayesm,1.028,1.088,1.526,0.79,100
1,density,Alt1,nuts,1.019,1.1,1.877,0.75,100
1,density,Alt1,hmc,1.037,1.112,1.952,0.69,100
1,density,Alt2,bayesm,1.027,1.068,1.541,0.82,100
1,density,Alt2,nuts,1.015,1.063,1.571,0.8,100
1,density,Alt2,hmc,1.03,1.09,1.558,0.77,100
1,density,Alt3,bayesm,1.03,1.069,1.395,0.83,100
1,density,Alt3,nuts,1.022,1.083,1.572,0.8,100
1,density,Alt3,hmc,1.035,1.117,1.637,0.7,100
1,density,Price,bayesm,1.031,1.081,1.602,0.81,100
1,density,Price,nuts,1.015,1.063,1.728,0.81,100
1,density,Price,hmc,1.025,1.098,1.702,0.75,100
1,Mean,Alt1,bayesm,1.028,1.087,1.866,0.75,100
1,Mean,Alt1,nuts,1.017,1.067,1.588,0.83,100
1,Mean,Alt1,hmc,1.019,1.054,1.827,0.86,100
1,Mean,Alt2,bayesm,1.026,1.07,1.964,0.79,100
1,Mean,Alt2,nuts,1.016,1.059,1.609,0.82,100
1,Mean,Alt2,hmc,1.02,1.069,1.492,0.88,100
1,Mean,Alt3,bayesm,1.022,1.062,1.811,0.82,100
1,Mean,Alt3,nuts,1.021,1.077,1.829,0.8,100
1,Mean,Alt3,hmc,1.017,1.05,1.616,0.88,100
1,Mean,Price,bayesm,1.023,1.048,1.35,0.85,100
1,Mean,Price,nuts,1.013,1.05,1.317,0.85,100
1,Mean,Price,hmc,1.017,1.054,1.341,0.86,100
1,Var,Alt1,bayesm,1.015,1.057,1.786,0.86,100
1,Var,Alt1,nuts,1.013,1.042,1.609,0.84,100
1,Var,Alt1,hmc,1.019,1.062,1.444,0.86,100
1,Var,Alt2,bayesm,1.016,1.053,1.85,0.83,100
1,Var,Alt2,nuts,1.01,1.047,1.819,0.88,100
1,Var,Alt2,hmc,1.015,1.054,1.326,0.88,100
1,Var,Alt3,bayesm,1.011,1.06,1.446,0.85,100
1,Var,Alt3,nuts,1.01,1.046,1.682,0.88,100
1,Var,Alt3,hmc,1.016,1.042,1.438,0.88,100
1,Var,Price,bayesm,1.01,1.035,1.487,0.93,100
1,Var,Price,nuts,1.01,1.041,1.519,0.89,100
1,Var,Price,hmc,1.019,1.06,1.399,0.85,100
2,density,Alt1,bayesm,1.029,1.088,1.707,0.78,100
2,density,Alt1,nuts,1.044,1.121,1.857,0.74,100
2,density,Alt1,hmc,1.106,1.248,1.954,0.48,100
2,density,Alt2,bayesm,1.027,1.064,1.602,0.83,100
2,density,Alt2,nuts,1.044,1.141,1.905,0.73,100
2,density,Alt2,hmc,1.092,1.21,2.147,0.51,100
2,density,Alt3,bayesm,1.032,1.087,1.446,0.79,100
2,density,Alt3,nuts,1.055,1.129,1.833,0.68,100
2,density,Alt3,hmc,1.094,1.231,2.038,0.52,100
2,density,Price,bayesm,1.03,1.054,1.393,0.84,100
2,density,Price,nuts,1.05,1.14,1.905,0.64,100
2,density,Price,hmc,1.113,1.286,2.194,0.45,100
2,Mean,Alt1,bayesm,1.028,1.074,1.784,0.82,100
2,Mean,Alt1,nuts,1.052,1.115,1.655,0.74,100
2,Mean,Alt1,hmc,1.069,1.164,1.819,0.62,100
2,Mean,Alt2,bayesm,1.027,1.061,1.561,0.84,100
2,Mean,Alt2,nuts,1.045,1.115,1.768,0.7,100
2,Mean,Alt2,hmc,1.063,1.137,1.806,0.66,100
2,Mean,Alt3,bayesm,1.029,1.087,1.599,0.77,100
2,Mean,Alt3,nuts,1.05,1.115,1.795,0.69,100
2,Mean,Alt3,hmc,1.054,1.189,1.864,0.61,100
2,Mean,Price,bayesm,1.012,1.035,1.292,0.89,100
2,Mean,Price,nuts,1.044,1.12,1.844,0.68,100
2,Mean,Price,hmc,1.075,1.172,1.832,0.6,100
2,Var,Alt1,bayesm,1.027,1.099,1.797,0.76,100
2,Var,Alt1,nuts,1.039,1.121,1.784,0.73,100
2,Var,Alt1,hmc,1.059,1.106,1.65,0.7,100
2,Var,Alt2,bayesm,1.031,1.092,1.672,0.77,100
2,Var,Alt2,nuts,1.035,1.11,1.823,0.73,100
2,Var,Alt2,hmc,1.044,1.121,1.626,0.68,100
2,Var,Alt3,bayesm,1.033,1.09,1.727,0.77,100
2,Var,Alt3,nuts,1.044,1.127,1.748,0.69,100
2,Var,Alt3,hmc,1.046,1.103,1.645,0.73,100
2,Var,Price,bayesm,1.013,1.039,1.302,0.87,100
2,Var,Price,nuts,1.028,1.083,1.83,0.8,100
2,Var,Price,hmc,1.048,1.118,1.581,0.69,100
3,density,Alt1,bayesm,1.044,1.09,1.517,0.78,100
3,density,Alt1,nuts,1.068,1.271,1.863,0.6,100
3,density,Alt1,hmc,1.142,1.392,2.05,0.43,100
3,density,Alt2,bayesm,1.03,1.08,1.448,0.8,100
3,density,Alt2,nuts,1.068,1.222,1.842,0.57,100
3,density,Alt2,hmc,1.133,1.356,2.093,0.44,100
3,density,Alt3,bayesm,1.049,1.096,1.774,0.76,100
3,density,Alt3,nuts,1.059,1.195,1.852,0.61,100
3,density,Alt3,hmc,1.158,1.485,2.09,0.39,100
3,density,Price,bayesm,1.035,1.092,1.46,0.77,100
3,density,Price,nuts,1.063,1.304,1.974,0.59,100
3,density,Price,hmc,1.16,1.491,2.088,0.39,100
3,Mean,Alt1,bayesm,1.023,1.066,1.526,0.77,100
3,Mean,Alt1,nuts,1.059,1.154,1.904,0.62,100
3,Mean,Alt1,hmc,1.081,1.184,2.1,0.55,100
3,Mean,Alt2,bayesm,1.027,1.064,1.648,0.84,100
3,Mean,Alt2,nuts,1.041,1.146,2.077,0.65,100
3,Mean,Alt2,hmc,1.054,1.125,1.725,0.65,100
3,Mean,Alt3,bayesm,1.03,1.079,2.052,0.78,100
3,Mean,Alt3,nuts,1.033,1.119,1.533,0.72,100
3,Mean,Alt3,hmc,1.061,1.165,2.056,0.63,100
3,Mean,Price,bayesm,1.01,1.031,1.188,0.96,100
3,Mean,Price,nuts,1.035,1.099,1.766,0.75,100
3,Mean,Price,hmc,1.053,1.156,1.789,0.65,100
3,Var,Alt1,bayesm,1.031,1.14,1.793,0.72,100
3,Var,Alt1,nuts,1.059,1.162,1.877,0.64,100
3,Var,Alt1,hmc,1.053,1.164,1.775,0.64,100
3,Var,Alt2,bayesm,1.031,1.069,1.847,0.84,100
3,Var,Alt2,nuts,1.041,1.089,1.785,0.76,100
3,Var,Alt2,hmc,1.049,1.149,1.708,0.66,100
3,Var,Alt3,bayesm,1.035,1.108,1.865,0.72,100
3,Var,Alt3,nuts,1.038,1.109,1.657,0.73,100
3,Var,Alt3,hmc,1.058,1.161,2.03,0.65,100
3,Var,Price,bayesm,1.02,1.059,1.266,0.89,100
3,Var,Price,nuts,1.023,1.077,1.519,0.76,100
3,Var,Price,hmc,1.053,1.116,1.802,0.71,100
5,density,Alt1,bayesm,1.057,1.171,1.893,0.66,100
5,density,Alt1,nuts,1.166,1.501,1.934,0.4,100
5,density,Alt1,hmc,1.174,1.617,2.105,0.38,100
5,density,Alt2,bayesm,1.045,1.135,1.83,0.68,100
5,density,Alt2,nuts,1.156,1.444,2.006,0.43,100
5,density,Alt2,hmc,1.23,1.628,1.993,0.29,100
5,density,Alt3,bayesm,1.042,1.163,1.784,0.68,100
5,density,Alt3,nuts,1.137,1.512,2.074,0.44,100
5,density,Alt3,hmc,1.295,1.697,2.082,0.29,100
5,density,Price,bayesm,1.026,1.095,1.765,0.76,100
5,density,Price,nuts,1.11,1.46,1.883,0.48,100
5,density,Price,hmc,1.26,1.66,2.157,0.29,100
5,Mean,Alt1,bayesm,1.013,1.06,1.673,0.78,100
5,Mean,Alt1,nuts,1.061,1.185,2.165,0.6,100
5,Mean,Alt1,hmc,1.067,1.239,1.997,0.61,100
5,Mean,Alt2,bayesm,1.009,1.051,1.708,0.81,100
5,Mean,Alt2,nuts,1.043,1.117,2.201,0.71,100
5,Mean,Alt2,hmc,1.056,1.193,1.927,0.62,100
5,Mean,Alt3,bayesm,1.013,1.061,1.831,0.83,100
5,Mean,Alt3,nuts,1.052,1.123,2.141,0.65,100
5,Mean,Alt3,hmc,1.068,1.238,2.124,0.63,100
5,Mean,Price,bayesm,1.005,1.015,1.217,0.97,100
5,Mean,Price,nuts,1.035,1.115,1.495,0.71,100
5,Mean,Price,hmc,1.043,1.149,1.819,0.66,100
5,Var,Alt1,bayesm,1.027,1.103,1.718,0.74,100
5,Var,Alt1,nuts,1.065,1.186,1.849,0.61,100
5,Var,Alt1,hmc,1.093,1.206,2.098,0.55,100
5,Var,Alt2,bayesm,1.024,1.084,1.757,0.77,100
5,Var,Alt2,nuts,1.044,1.151,1.985,0.65,100
5,Var,Alt2,hmc,1.073,1.194,1.895,0.67,100
5,Var,Alt3,bayesm,1.023,1.095,1.718,0.75,100
5,Var,Alt3,nuts,1.056,1.139,2.047,0.67,100
5,Var,Alt3,hmc,1.07,1.229,2.119,0.56,100
5,Var,Price,bayesm,1.011,1.024,1.523,0.91,100
5,Var,Price,nuts,1.052,1.117,1.815,0.71,100
5,Var,Price,hmc,1.047,1.105,1.682,0.72,100
