comparison,metric,k_true,param,n_datasets,n_win,n_loss,n_tie,win_rate,median_diff,p_value
nuts_vs_bayesm,Hellinger,1,Alt1,100,58,42,0,0.58,-0.00275,0.13321061920721358
nuts_vs_bayesm,Hellinger,1,Alt2,100,51,49,0,0.51,-0.000585,0.9204107626128216
nuts_vs_bayesm,Hellinger,1,Alt3,100,60,40,0,0.6,-0.002925,0.05688793364098079
nuts_vs_bayesm,Hellinger,1,Price,100,69,31,0,0.69,-0.003385,0.00018314322488235366
nuts_vs_bayesm,Hellinger,2,Alt1,100,22,78,0,0.22,0.012165,1.5905328473786136e-08
nuts_vs_bayesm,Hellinger,2,Alt2,100,36,64,0,0.36,0.01036,0.006637120515926128
nuts_vs_bayesm,Hellinger,2,Alt3,100,41,59,0,0.41,0.002095,0.08862608011406765
nuts_vs_bayesm,Hellinger,2,Price,100,44,56,0,0.44,0.001735,0.2712530240738349
nuts_vs_bayesm,Hellinger,3,Alt1,100,12,88,0,0.12,0.0264,1.9113575360277063e-15
nuts_vs_bayesm,Hellinger,3,Alt2,100,15,85,0,0.15,0.02015,4.825421503937195e-13
nuts_vs_bayesm,Hellinger,3,Alt3,100,28,72,0,0.28,0.01001,1.2579150016678854e-05
nuts_vs_bayesm,Hellinger,3,Price,100,23,77,0,0.23,0.00956,5.513580775850052e-08
nuts_vs_bayesm,Hellinger,5,Alt1,100,8,92,0,0.08,0.035985,3.208563668244003e-19
nuts_vs_bayesm,Hellinger,5,Alt2,100,11,89,0,0.11,0.03159,2.540853335492305e-16
nuts_vs_bayesm,Hellinger,5,Alt3,100,15,85,0,0.15,0.02497,4.825421503937195e-13
nuts_vs_bayesm,Hellinger,5,Price,100,13,86,1,0.1313,0.01437,2.2889873969862943e-14
hmc_vs_bayesm,Hellinger,1,Alt1,100,64,36,0,0.64,-0.004945,0.006637120515926128
hmc_vs_bayesm,Hellinger,1,Alt2,100,55,44,1,0.5556,-0.00104,0.3148798910376228
hmc_vs_bayesm,Hellinger,1,Alt3,100,65,34,1,0.6566,-0.00538,0.0023946293575060097
hmc_vs_bayesm,Hellinger,1,Price,100,74,26,0,0.74,-0.004805,1.6673626494501009e-06
hmc_vs_bayesm,Hellinger,2,Alt1,100,27,73,0,0.27,0.013125,4.69241261264223e-06
hmc_vs_bayesm,Hellinger,2,Alt2,100,35,65,0,0.35,0.007705,0.0035176417229701587
hmc_vs_bayesm,Hellinger,2,Alt3,100,40,60,0,0.4,0.002085,0.05688793364098079
hmc_vs_bayesm,Hellinger,2,Price,100,39,61,0,0.39,0.00453,0.03520020021770486
hmc_vs_bayesm,Hellinger,3,Alt1,100,16,84,0,0.16,0.029885,2.6059358186561004e-12
hmc_vs_bayesm,Hellinger,3,Alt2,100,21,79,0,0.21,0.016245,4.3373666334216375e-09
hmc_vs_bayesm,Hellinger,3,Alt3,100,30,70,0,0.3,0.00646,7.85013964559367e-05
hmc_vs_bayesm,Hellinger,3,Price,100,27,73,0,0.27,0.009905,4.69241261264223e-06
hmc_vs_bayesm,Hellinger,5,Alt1,100,14,86,0,0.14,0.03632,8.284451872080075e-14
hmc_vs_bayesm,Hellinger,5,Alt2,100,16,84,0,0.16,0.02675,2.6059358186561004e-12
hmc_vs_bayesm,Hellinger,5,Alt3,100,17,83,0,0.17,0.025215,1.3097998650070218e-11
hmc_vs_bayesm,Hellinger,5,Price,100,13,87,0,0.13,0.019235,1.312981552203585e-14
nuts_vs_hmc,Hellinger,1,Alt1,100,50,50,0,0.5,0.0001,1.0
nuts_vs_hmc,Hellinger,1,Alt2,100,49,51,0,0.49,0.000155,0.9204107626128216
nuts_vs_hmc,Hellinger,1,Alt3,100,42,58,0,0.42,0.00098,0.13321061920721358
nuts_vs_hmc,Hellinger,1,Price,100,37,63,0,0.37,0.001335,0.012032975725363479
nuts_vs_hmc,Hellinger,2,Alt1,100,51,49,0,0.51,-0.000615,0.9204107626128216
nuts_vs_hmc,Hellinger,2,Alt2,100,45,55,0,0.45,0.00135,0.3682016173266958
nuts_vs_hmc,Hellinger,2,Alt3,100,48,51,1,0.4848,2e-05,0.8408215252256422
nuts_vs_hmc,Hellinger,2,Price,100,58,42,0,0.58,-0.0016,0.13321061920721358
nuts_vs_hmc,Hellinger,3,Alt1,100,59,41,0,0.59,-0.00277,0.08862608011406765
nuts_vs_hmc,Hellinger,3,Alt2,100,48,52,0,0.48,0.000785,0.7643534344026676
nuts_vs_hmc,Hellinger,3,Alt3,100,57,43,0,0.57,-0.00084,0.19334790449564213
nuts_vs_hmc,Hellinger,3,Price,100,51,49,0,0.51,-0.0007,0.9204107626128216
nuts_vs_hmc,Hellinger,5,Alt1,100,50,50,0,0.5,-0.00118,1.0
nuts_vs_hmc,Hellinger,5,Alt2,100,47,53,0,0.47,0.000465,0.6172994135892524
nuts_vs_hmc,Hellinger,5,Alt3,100,49,51,0,0.49,0.00074,0.9204107626128216
nuts_vs_hmc,Hellinger,5,Price,100,58,42,0,0.58,-0.002875,0.13321061920721358
nuts_vs_bayesm,KL,1,Alt1,100,65,35,0,0.65,-0.00344,0.0035176417229701587
nuts_vs_bayesm,KL,1,Alt2,100,63,37,0,0.63,-0.002405,0.012032975725363479
nuts_vs_bayesm,KL,1,Alt3,100,70,30,0,0.7,-0.00331,7.85013964559367e-05
nuts_vs_bayesm,KL,1,Price,100,83,17,0,0.83,-0.0026,1.3097998650070218e-11
nuts_vs_bayesm,KL,2,Alt1,92,36,56,0,0.3913,0.003615,0.04701156164485404
nuts_vs_bayesm,KL,2,Alt2,92,42,50,0,0.4565,0.001645,0.465707445773062
nuts_vs_bayesm,KL,2,Alt3,93,54,39,0,0.5806,-0.00202,0.1461770286471528
nuts_vs_bayesm,KL,2,Price,93,48,45,0,0.5161,-0.00068,0.8358461346314864
nuts_vs_bayesm,KL,3,Alt1,67,7,59,1,0.1061,0.04274,2.3834933267526115e-11
nuts_vs_bayesm,KL,3,Alt2,70,13,57,0,0.1857,0.0203,1.0289941458812896e-07
nuts_vs_bayesm,KL,3,Alt3,69,26,43,0,0.3768,0.00737,0.05328936381651365
nuts_vs_bayesm,KL,3,Price,77,25,52,0,0.3247,0.00552,0.002799053877277624
nuts_vs_bayesm,KL,5,Alt1,15,0,15,0,0.0,0.22917,6.103515625e-05
nuts_vs_bayesm,KL,5,Alt2,15,0,15,0,0.0,0.10143,6.103515625e-05
nuts_vs_bayesm,KL,5,Alt3,21,0,21,0,0.0,0.08549,9.5367431640625e-07
nuts_vs_bayesm,KL,5,Price,41,3,38,0,0.0732,0.07152,1.0479197953827679e-08
hmc_vs_bayesm,KL,1,Alt1,100,69,31,0,0.69,-0.004945,0.00018314322488235366
hmc_vs_bayesm,KL,1,Alt2,100,69,31,0,0.69,-0.003495,0.00018314322488235366
hmc_vs_bayesm,KL,1,Alt3,100,76,24,0,0.76,-0.004615,1.8100026213029253e-07
hmc_vs_bayesm,KL,1,Price,100,80,20,0,0.8,-0.00282,1.1159089057251951e-09
hmc_vs_bayesm,KL,2,Alt1,88,34,54,0,0.3864,0.004265,0.04221061162240417
hmc_vs_bayesm,KL,2,Alt2,87,40,47,0,0.4598,0.00132,0.5202915935750728
hmc_vs_bayesm,KL,2,Alt3,88,48,40,0,0.5455,-0.000735,0.45574127943791237
hmc_vs_bayesm,KL,2,Price,89,44,45,0,0.4944,0.00028,1.0
hmc_vs_bayesm,KL,3,Alt1,54,12,42,0,0.2222,0.02456,5.209447200793526e-05
hmc_vs_bayesm,KL,3,Alt2,58,18,40,0,0.3103,0.011255,0.005354859650800294
hmc_vs_bayesm,KL,3,Alt3,60,26,34,0,0.4333,0.00182,0.36629400670329104
hmc_vs_bayesm,KL,3,Price,64,28,36,0,0.4375,0.002595,0.3817327947933377
hmc_vs_bayesm,KL,5,Alt1,9,2,7,0,0.2222,0.08634,0.1796875
hmc_vs_bayesm,KL,5,Alt2,11,1,10,0,0.0909,0.14877,0.01171875
hmc_vs_bayesm,KL,5,Alt3,17,3,14,0,0.1765,0.13033,0.012725830078125
hmc_vs_bayesm,KL,5,Price,34,3,31,0,0.0882,0.081375,7.660128176212311e-07
nuts_vs_hmc,KL,1,Alt1,100,47,53,0,0.47,0.000235,0.6172994135892524
nuts_vs_hmc,KL,1,Alt2,100,46,53,1,0.4646,0.00029,0.5467134835988141
nuts_vs_hmc,KL,1,Alt3,100,39,60,1,0.3939,0.000415,0.04387529358701511
nuts_vs_hmc,KL,1,Price,100,33,67,0,0.33,0.00061,0.0008737198369123724
nuts_vs_hmc,KL,2,Alt1,85,47,38,0,0.5529,-0.0014,0.3856694201192796
nuts_vs_hmc,KL,2,Alt2,85,37,48,0,0.4353,0.00041,0.2779992890805517
nuts_vs_hmc,KL,2,Alt3,86,43,43,0,0.5,-8e-05,1.0
nuts_vs_hmc,KL,2,Price,87,46,41,0,0.5287,-0.00025,0.6682849967188083
nuts_vs_hmc,KL,3,Alt1,44,25,19,0,0.5682,-0.00329,0.4513808323961257
nuts_vs_hmc,KL,3,Alt2,47,18,29,0,0.383,0.00254,0.14386508844054896
nuts_vs_hmc,KL,3,Alt3,46,22,24,0,0.4783,0.00025,0.8829959121223965
nuts_vs_hmc,KL,3,Price,55,28,27,0,0.5091,-0.00041,1.0
nuts_vs_hmc,KL,5,Alt1,3,1,2,0,0.3333,0.12574,1.0
nuts_vs_hmc,KL,5,Alt2,3,2,1,0,0.6667,-0.01326,1.0
nuts_vs_hmc,KL,5,Alt3,6,3,3,0,0.5,0.020115,1.0
nuts_vs_hmc,KL,5,Price,20,11,9,0,0.55,-0.043655,0.8238029479980469
nuts_vs_bayesm,JSD,1,Alt1,100,55,45,0,0.55,-0.00016,0.3682016173266958
nuts_vs_bayesm,JSD,1,Alt2,100,47,52,1,0.4747,9.5e-05,0.687885343579692
nuts_vs_bayesm,JSD,1,Alt3,100,59,41,0,0.59,-0.000215,0.08862608011406765
nuts_vs_bayesm,JSD,1,Price,100,65,33,2,0.6633,-0.000205,0.0016005802102081264
nuts_vs_bayesm,JSD,2,Alt1,100,21,78,1,0.2121,0.001845,6.88231823830183e-09
nuts_vs_bayesm,JSD,2,Alt2,100,33,67,0,0.33,0.00176,0.0008737198369123724
nuts_vs_bayesm,JSD,2,Alt3,100,36,64,0,0.36,0.000465,0.006637120515926128
nuts_vs_bayesm,JSD,2,Price,100,43,57,0,0.43,0.000225,0.19334790449564213
nuts_vs_bayesm,JSD,3,Alt1,100,13,87,0,0.13,0.00576,1.312981552203585e-14
nuts_vs_bayesm,JSD,3,Alt2,100,15,85,0,0.15,0.00353,4.825421503937195e-13
nuts_vs_bayesm,JSD,3,Alt3,100,27,72,1,0.2727,0.00183,6.900699085772487e-06
nuts_vs_bayesm,JSD,3,Price,100,22,78,0,0.22,0.001235,1.5905328473786136e-08
nuts_vs_bayesm,JSD,5,Alt1,100,10,90,0,0.1,0.00866,3.0632901754379845e-17
nuts_vs_bayesm,JSD,5,Alt2,100,11,89,0,0.11,0.005935,2.540853335492305e-16
nuts_vs_bayesm,JSD,5,Alt3,100,13,87,0,0.13,0.00541,1.312981552203585e-14
nuts_vs_bayesm,JSD,5,Price,100,15,84,1,0.1515,0.001985,8.222851373157007e-13
hmc_vs_bayesm,JSD,1,Alt1,100,61,38,1,0.6162,-0.00029,0.026525106848394424
hmc_vs_bayesm,JSD,1,Alt2,100,50,50,0,0.5,0.0,1.0
