metric,param,1,2,3,5
Hellinger,Alt1,64/100,27/100,16/100,14/100
Hellinger,Alt2,55/100,35/100,21/100,16/100
Hellinger,Alt3,65/100,40/100,30/100,17/100
Hellinger,Price,74/100,39/100,27/100,13/100
KL,Alt1,69/100,34/88,12/54,2/9
KL,Alt2,69/100,40/87,18/58,1/11
KL,Alt3,76/100,48/88,26/60,3/17
KL,Price,80/100,44/89,28/64,3/34
JSD,Alt1,61/100,27/100,13/100,13/100
JSD,Alt2,50/100,32/100,21/100,18/100
JSD,Alt3,61/100,40/100,30/100,19/100
JSD,Price,72/100,40/100,26/100,16/100
TVD,Alt1,51/100,21/100,14/100,19/100
TVD,Alt2,36/100,24/100,21/100,18/100
TVD,Alt3,45/100,39/100,27/100,22/100
TVD,Price,51/100,41/100,26/100,19/100
Wasserstein1,Alt1,47/100,22/100,8/100,12/100
Wasserstein1,Alt2,44/100,28/100,13/100,13/100
Wasserstein1,Alt3,51/100,34/100,28/100,18/100
Wasserstein1,Price,58/100,28/100,26/100,15/100
