metric,param,1,2,3,5
Hellinger,Alt1,0.64,0.27,0.16,0.14
Hellinger,Alt2,0.5556,0.35,0.21,0.16
Hellinger,Alt3,0.6566,0.4,0.3,0.17
Hellinger,Price,0.74,0.39,0.27,0.13
KL,Alt1,0.69,0.3864,0.2222,0.2222
KL,Alt2,0.69,0.4598,0.3103,0.0909
KL,Alt3,0.76,0.5455,0.4333,0.1765
KL,Price,0.8,0.4944,0.4375,0.0882
JSD,Alt1,0.6162,0.27,0.13,0.13
JSD,Alt2,0.5,0.32,0.21,0.18
JSD,Alt3,0.61,0.4,0.3,0.19
JSD,Price,0.72,0.4,0.26,0.16
TVD,Alt1,0.51,0.21,0.14,0.19
TVD,Alt2,0.36,0.24,0.21,0.18
TVD,Alt3,0.45,0.39,0.27,0.22
TVD,Price,0.51,0.41,0.26,0.19
Wasserstein1,Alt1,0.47,0.22,0.08,0.12
Wasserstein1,Alt2,0.44,0.28,0.13,0.13
Wasserstein1,Alt3,0.51,0.34,0.28,0.18
Wasserstein1,Price,0.58,0.28,0.26,0.15
