metric,param,1,2,3,5
Hellinger,Alt1,58/100,22/100,12/100,8/100
Hellinger,Alt2,51/100,36/100,15/100,11/100
Hellinger,Alt3,60/100,41/100,28/100,15/100
Hellinger,Price,69/100,44/100,23/100,13/100
KL,Alt1,65/100,36/92,7/67,0/15
KL,Alt2,63/100,42/92,13/70,0/15
KL,Alt3,70/100,54/93,26/69,0/21
KL,Price,83/100,48/93,25/77,3/41
JSD,Alt1,55/100,21/100,13/100,10/100
JSD,Alt2,47/100,33/100,15/100,11/100
JSD,Alt3,59/100,36/100,27/100,13/100
JSD,Price,65/100,43/100,22/100,15/100
TVD,Alt1,48/100,21/100,13/100,14/100
TVD,Alt2,34/100,31/100,20/100,13/100
TVD,Alt3,43/100,36/100,27/100,19/100
TVD,Price,48/100,38/100,26/100,21/100
Wasserstein1,Alt1,46/100,20/100,6/100,7/100
Wasserstein1,Alt2,39/100,32/100,15/100,11/100
Wasserstein1,Alt3,46/100,34/100,32/100,15/100
Wasserstein1,Price,48/100,42/100,21/100,15/100
