metric,param,1,2,3,5
Hellinger,Alt1,0.58,0.22,0.12,0.08
Hellinger,Alt2,0.51,0.36,0.15,0.11
Hellinger,Alt3,0.6,0.41,0.28,0.15
Hellinger,Price,0.69,0.44,0.23,0.1313
KL,Alt1,0.65,0.3913,0.1061,0.0
KL,Alt2,0.63,0.4565,0.1857,0.0
KL,Alt3,0.7,0.5806,0.3768,0.0
KL,Price,0.83,0.5161,0.3247,0.0732
JSD,Alt1,0.55,0.2121,0.13,0.1
JSD,Alt2,0.4747,0.33,0.15,0.11
JSD,Alt3,0.59,0.36,0.2727,0.13
JSD,Price,0.6633,0.43,0.22,0.1515
TVD,Alt1,0.48,0.21,0.13,0.14
TVD,Alt2,0.34,0.31,0.2,0.13
TVD,Alt3,0.43,0.36,0.27,0.19
TVD,Price,0.48,0.38,0.26,0.2121
Wasserstein1,Alt1,0.46,0.2,0.06,0.07
Wasserstein1,Alt2,0.39,0.32,0.15,0.11
Wasserstein1,Alt3,0.46,0.34,0.32,0.15
Wasserstein1,Price,0.48,0.42,0.21,0.15
