metric,param,1,2,3,5
Hellinger,Alt1,50/100,51/100,59/100,50/100
Hellinger,Alt2,49/100,45/100,48/100,47/100
Hellinger,Alt3,42/100,48/100,57/100,49/100
Hellinger,Price,37/100,58/100,51/100,58/100
KL,Alt1,47/100,47/85,25/44,1/3
KL,Alt2,46/100,37/85,18/47,2/3
KL,Alt3,39/100,43/86,22/46,3/6
KL,Price,33/100,46/87,28/55,11/20
JSD,Alt1,51/100,51/100,58/100,47/100
JSD,Alt2,50/100,46/100,47/100,50/100
JSD,Alt3,42/100,50/100,55/100,49/100
JSD,Price,36/100,57/100,51/100,60/100
TVD,Alt1,51/100,52/100,61/100,48/100
TVD,Alt2,53/100,53/100,49/100,49/100
TVD,Alt3,43/100,54/100,52/100,46/100
TVD,Price,40/100,54/100,55/100,61/100
Wasserstein1,Alt1,48/100,57/100,53/100,43/100
Wasserstein1,Alt2,49/100,48/100,46/100,46/100
Wasserstein1,Alt3,43/100,52/100,53/100,50/100
Wasserstein1,Price,41/100,58/100,51/100,51/100
