metric,param,1,2,3,5
Hellinger,Alt1,0.5,0.51,0.59,0.5
Hellinger,Alt2,0.49,0.45,0.48,0.47
Hellinger,Alt3,0.42,0.4848,0.57,0.49
Hellinger,Price,0.37,0.58,0.51,0.58
KL,Alt1,0.47,0.5529,0.5682,0.3333
KL,Alt2,0.4646,0.4353,0.383,0.6667
KL,Alt3,0.3939,0.5,0.4783,0.5
KL,Price,0.33,0.5287,0.5091,0.55
JSD,Alt1,0.51,0.5152,0.58,0.47
JSD,Alt2,0.5,0.4694,0.47,0.5102
JSD,Alt3,0.42,0.5051,0.5556,0.4949
JSD,Price,0.3711,0.57,0.51,0.6
TVD,Alt1,0.51,0.52,0.61,0.48
TVD,Alt2,0.5354,0.53,0.49,0.49
TVD,Alt3,0.43,0.54,0.52,0.46
TVD,Price,0.4,0.54,0.55,0.61
Wasserstein1,Alt1,0.48,0.57,0.53,0.43
Wasserstein1,Alt2,0.49,0.48,0.46,0.46
Wasserstein1,Alt3,0.4343,0.52,0.53,0.5
Wasserstein1,Price,0.41,0.5859,0.51,0.51
