k_true,sampler,min,q1,median,q3,max,n_runs
1,bayesm,3.51,3.65,3.76,3.83,4.06,100.0
1,NUTS,9.87,17.4,27.36,51.54,336.75,100.0
1,HMC,4.35,5.35,5.38,5.48,5.71,100.0
2,bayesm,3.51,3.65,3.7,3.79,4.22,100.0
2,NUTS,14.87,23.63,33.22,51.68,323.58,100.0
2,HMC,4.38,5.38,5.42,5.48,5.72,100.0
3,bayesm,3.6,3.74,3.81,3.94,4.21,100.0
3,NUTS,14.81,25.76,39.42,61.52,201.91,100.0
3,HMC,5.38,5.47,5.5,5.59,5.64,100.0
5,bayesm,3.63,3.83,3.91,4.03,4.24,100.0
5,NUTS,15.53,22.4,30.21,47.02,103.67,100.0
5,HMC,5.37,5.46,5.54,5.6,5.76,100.0
