param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,-0.0023,0.6097,0.6745,0.706,0.8127,0.927,100.0
Alt1,NUTS,0.0168,0.5585,0.6603,0.7147,0.8092,0.9334,100.0
Alt1,HMC,-0.1338,0.6341,0.7025,0.7522,0.8226,0.9335,100.0
Alt2,bayesm,-0.0112,0.5679,0.6705,0.7186,0.8215,0.9214,100.0
Alt2,NUTS,0.0182,0.6015,0.6743,0.733,0.825,0.9201,100.0
Alt2,HMC,0.1453,0.6491,0.7099,0.7401,0.8269,0.9276,100.0
Alt3,bayesm,0.1257,0.5807,0.6829,0.7258,0.8203,0.9298,100.0
Alt3,NUTS,0.21,0.5855,0.6961,0.7398,0.8147,0.9341,100.0
Alt3,HMC,0.2577,0.6472,0.7174,0.7564,0.8402,0.935,100.0
Price,bayesm,0.0681,0.7483,0.7951,0.8344,0.9039,0.9579,100.0
Price,NUTS,0.1842,0.7706,0.8151,0.8473,0.9125,0.9591,100.0
Price,HMC,0.3104,0.7852,0.8225,0.8502,0.9129,0.9581,100.0
