param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.6323,0.8495,1.1471,1.0023,1.2192,3.0584,100.0
Alt1,NUTS,0.6451,0.9059,1.641,1.0697,1.4229,15.3708,100.0
Alt1,HMC,0.6433,0.8547,1.3616,1.0158,1.3516,8.0396,100.0
Alt2,bayesm,0.7184,0.8644,1.1023,0.9615,1.197,3.4277,100.0
Alt2,NUTS,0.7165,0.8645,1.253,1.0119,1.307,5.5853,100.0
Alt2,HMC,0.7162,0.8653,1.1069,0.9776,1.2032,3.9145,100.0
Alt3,bayesm,0.6299,0.8987,1.2448,1.0278,1.2859,5.7398,100.0
Alt3,NUTS,0.6017,0.8876,1.2101,1.0045,1.3235,4.0838,100.0
Alt3,HMC,0.6273,0.8634,1.1671,0.9854,1.2567,5.0054,100.0
Price,bayesm,0.4069,0.6521,0.7615,0.7305,0.8487,1.7245,100.0
Price,NUTS,0.3984,0.6511,0.7894,0.7429,0.8512,1.8533,100.0
Price,HMC,0.3971,0.6665,0.7763,0.7444,0.8465,1.6993,100.0
