k_true,element,sampler,min,q1,mean,median,q3,max,n_sim
1,"Δ₁,₁ (z1:Alt1)",bayesm,0.0003,0.0411,0.1246,0.0781,0.1365,0.8903,100.0
1,"Δ₁,₁ (z1:Alt1)",NUTS,0.0001,0.0413,0.1284,0.0775,0.1283,1.2498,100.0
1,"Δ₁,₁ (z1:Alt1)",HMC,0.0005,0.0397,0.1336,0.0778,0.1321,1.5539,100.0
1,"Δ₁,₂ (z1:Alt2)",bayesm,0.0049,0.0427,0.1141,0.0775,0.1727,0.677,100.0
1,"Δ₁,₂ (z1:Alt2)",NUTS,0.0031,0.0434,0.1093,0.0741,0.1529,0.6407,100.0
1,"Δ₁,₂ (z1:Alt2)",HMC,0.0008,0.0403,0.1129,0.078,0.1654,0.5618,100.0
1,"Δ₁,₃ (z1:Alt3)",bayesm,0.0001,0.0384,0.1266,0.085,0.1419,1.506,100.0
1,"Δ₁,₃ (z1:Alt3)",NUTS,0.0002,0.0439,0.1363,0.0863,0.1393,2.5188,100.0
1,"Δ₁,₃ (z1:Alt3)",HMC,0.0008,0.0382,0.1247,0.0873,0.1386,1.49,100.0
1,"Δ₁,₄ (z1:Price)",bayesm,0.0013,0.0312,0.0798,0.0536,0.1014,0.379,100.0
1,"Δ₁,₄ (z1:Price)",NUTS,0.0015,0.0326,0.0798,0.0557,0.1008,0.3649,100.0
1,"Δ₁,₄ (z1:Price)",HMC,0.0006,0.0304,0.0796,0.055,0.1001,0.381,100.0
1,"Δ₂,₁ (z2:Alt1)",bayesm,0.0003,0.037,0.1292,0.0803,0.1798,1.0156,100.0
1,"Δ₂,₁ (z2:Alt1)",NUTS,0.0015,0.0321,0.1348,0.087,0.1838,1.1073,100.0
1,"Δ₂,₁ (z2:Alt1)",HMC,0.0028,0.0359,0.1427,0.0824,0.1746,1.8655,100.0
1,"Δ₂,₂ (z2:Alt2)",bayesm,0.0002,0.0438,0.1097,0.0773,0.148,0.4816,100.0
1,"Δ₂,₂ (z2:Alt2)",NUTS,0.0004,0.0369,0.1173,0.0835,0.1675,0.5444,100.0
1,"Δ₂,₂ (z2:Alt2)",HMC,0.0005,0.0393,0.1139,0.0808,0.1542,0.4726,100.0
1,"Δ₂,₃ (z2:Alt3)",bayesm,0.0005,0.0359,0.0962,0.0712,0.1315,0.6469,100.0
1,"Δ₂,₃ (z2:Alt3)",NUTS,0.0007,0.0441,0.1116,0.0707,0.133,0.8653,100.0
1,"Δ₂,₃ (z2:Alt3)",HMC,0.0012,0.0399,0.104,0.0719,0.1368,0.653,100.0
1,"Δ₂,₄ (z2:Price)",bayesm,0.0004,0.027,0.072,0.0518,0.0931,0.3448,100.0
1,"Δ₂,₄ (z2:Price)",NUTS,0.0004,0.0282,0.0721,0.0539,0.0947,0.3461,100.0
1,"Δ₂,₄ (z2:Price)",HMC,0.0021,0.0277,0.0728,0.055,0.096,0.3513,100.0
2,"Δ₁,₁ (z1:Alt1)",bayesm,0.0004,0.0224,0.0891,0.0688,0.1279,0.4344,100.0
2,"Δ₁,₁ (z1:Alt1)",NUTS,0.0007,0.0205,0.0902,0.0659,0.1314,0.4581,100.0
2,"Δ₁,₁ (z1:Alt1)",HMC,0.0005,0.0245,0.0984,0.0775,0.1364,0.4338,100.0
2,"Δ₁,₂ (z1:Alt2)",bayesm,0.0011,0.0334,0.0989,0.0809,0.1336,0.3843,100.0
2,"Δ₁,₂ (z1:Alt2)",NUTS,0.0014,0.0313,0.0992,0.074,0.1357,0.3857,100.0
2,"Δ₁,₂ (z1:Alt2)",HMC,0.0002,0.0337,0.0974,0.0779,0.146,0.3946,100.0
2,"Δ₁,₃ (z1:Alt3)",bayesm,0.0006,0.0318,0.0923,0.063,0.1234,0.4,100.0
2,"Δ₁,₃ (z1:Alt3)",NUTS,0.0001,0.0297,0.0887,0.0589,0.118,0.3961,100.0
2,"Δ₁,₃ (z1:Alt3)",HMC,0.0,0.0333,0.0895,0.061,0.1176,0.4107,100.0
2,"Δ₁,₄ (z1:Price)",bayesm,0.0,0.0272,0.0704,0.0576,0.1029,0.2485,100.0
2,"Δ₁,₄ (z1:Price)",NUTS,0.0013,0.0266,0.071,0.0555,0.1029,0.2442,100.0
2,"Δ₁,₄ (z1:Price)",HMC,0.0,0.0299,0.0746,0.0581,0.1091,0.292,100.0
2,"Δ₂,₁ (z2:Alt1)",bayesm,0.0046,0.0334,0.0958,0.0731,0.1474,0.3721,100.0
2,"Δ₂,₁ (z2:Alt1)",NUTS,0.0033,0.0306,0.1024,0.0796,0.1474,0.3952,100.0
2,"Δ₂,₁ (z2:Alt1)",HMC,0.0025,0.0352,0.0989,0.0755,0.1478,0.395,100.0
2,"Δ₂,₂ (z2:Alt2)",bayesm,0.0,0.0436,0.0951,0.0825,0.1396,0.2698,100.0
2,"Δ₂,₂ (z2:Alt2)",NUTS,0.0005,0.0445,0.1,0.09,0.1476,0.4034,100.0
2,"Δ₂,₂ (z2:Alt2)",HMC,0.0005,0.0424,0.0972,0.0881,0.1441,0.2998,100.0
2,"Δ₂,₃ (z2:Alt3)",bayesm,0.0007,0.0461,0.1114,0.0831,0.1411,0.9941,100.0
2,"Δ₂,₃ (z2:Alt3)",NUTS,0.0008,0.0466,0.1189,0.0839,0.1394,1.0525,100.0
2,"Δ₂,₃ (z2:Alt3)",HMC,0.0001,0.0385,0.1103,0.0791,0.1408,1.0461,100.0
2,"Δ₂,₄ (z2:Price)",bayesm,0.0,0.0302,0.0652,0.0544,0.0887,0.2068,100.0
2,"Δ₂,₄ (z2:Price)",NUTS,0.0001,0.0324,0.0681,0.0603,0.0907,0.2168,100.0
2,"Δ₂,₄ (z2:Price)",HMC,0.0002,0.0307,0.0678,0.0574,0.0948,0.2116,100.0
3,"Δ₁,₁ (z1:Alt1)",bayesm,0.0008,0.0402,0.0956,0.0802,0.1307,0.4072,100.0
3,"Δ₁,₁ (z1:Alt1)",NUTS,0.0047,0.0417,0.0976,0.0783,0.1301,0.4307,100.0
3,"Δ₁,₁ (z1:Alt1)",HMC,0.0017,0.0316,0.0951,0.0733,0.1262,0.4178,100.0
3,"Δ₁,₂ (z1:Alt2)",bayesm,0.0001,0.0472,0.0988,0.0799,0.1371,0.3646,100.0
3,"Δ₁,₂ (z1:Alt2)",NUTS,0.0,0.0434,0.1027,0.0908,0.1486,0.369,100.0
3,"Δ₁,₂ (z1:Alt2)",HMC,0.0015,0.0384,0.1024,0.089,0.1413,0.3746,100.0
3,"Δ₁,₃ (z1:Alt3)",bayesm,0.0009,0.0365,0.0962,0.0836,0.134,0.4003,100.0
3,"Δ₁,₃ (z1:Alt3)",NUTS,0.0025,0.0353,0.0979,0.0885,0.1369,0.3886,100.0
