element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.0773,0.1,0.1143,0.1094,0.1263,0.2411,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0783,0.1034,0.1211,0.1149,0.1332,0.2577,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0777,0.105,0.1247,0.1183,0.1356,0.2655,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0772,0.1037,0.117,0.1121,0.1222,0.2283,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0798,0.1078,0.1225,0.1173,0.1311,0.2509,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.0801,0.109,0.1248,0.1182,0.1345,0.2451,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0728,0.1006,0.1173,0.1093,0.1289,0.2599,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0745,0.103,0.123,0.1132,0.1325,0.2782,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0766,0.1028,0.1244,0.1146,0.1402,0.2663,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.065,0.08,0.0891,0.0867,0.0973,0.1271,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.0639,0.0818,0.0921,0.0894,0.0997,0.1402,100.0
"Δ₁,₄ (z1:Price)",HMC,0.0638,0.0826,0.094,0.0901,0.1034,0.1647,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.0778,0.1008,0.1142,0.1095,0.1238,0.2466,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0802,0.1055,0.1216,0.1162,0.1318,0.2617,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.084,0.1042,0.1238,0.1186,0.1332,0.2387,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0749,0.101,0.1166,0.1117,0.1274,0.1838,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0758,0.1049,0.1221,0.1172,0.1334,0.2071,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0758,0.1064,0.1242,0.118,0.1354,0.2218,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0706,0.0971,0.1159,0.1085,0.1252,0.2334,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.072,0.1,0.1213,0.111,0.1287,0.2684,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0768,0.1004,0.123,0.1143,0.1302,0.2814,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.0609,0.0787,0.0885,0.0872,0.098,0.1289,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.0612,0.0817,0.0919,0.0903,0.1026,0.1356,100.0
"Δ₂,₄ (z2:Price)",HMC,0.0607,0.082,0.0934,0.0905,0.1039,0.1681,100.0
