dataset_key,scenario,k_true,data_seed,n_units,n_obs,n_alts,n_demos,custom_pvec,n_alts_chosen,all_alts_chosen,file
kt1_s01,1comp,1,1,300,30,4,2,[1.0],4,1,kt1_s01.json
kt1_s02,1comp,1,2,300,30,4,2,[1.0],4,1,kt1_s02.json
kt1_s03,1comp,1,3,300,30,4,2,[1.0],4,1,kt1_s03.json
kt1_s04,1comp,1,4,300,30,4,2,[1.0],4,1,kt1_s04.json
kt1_s05,1comp,1,5,300,30,4,2,[1.0],4,1,kt1_s05.json
kt1_s06,1comp,1,6,300,30,4,2,[1.0],4,1,kt1_s06.json
kt1_s07,1comp,1,7,300,30,4,2,[1.0],4,1,kt1_s07.json
kt1_s08,1comp,1,8,300,30,4,2,[1.0],4,1,kt1_s08.json
kt1_s09,1comp,1,9,300,30,4,2,[1.0],4,1,kt1_s09.json
kt1_s10,1comp,1,10,300,30,4,2,[1.0],4,1,kt1_s10.json
kt1_s11,1comp,1,11,300,30,4,2,[1.0],4,1,kt1_s11.json
kt1_s12,1comp,1,12,300,30,4,2,[1.0],4,1,kt1_s12.json
kt1_s13,1comp,1,13,300,30,4,2,[1.0],4,1,kt1_s13.json
kt1_s14,1comp,1,14,300,30,4,2,[1.0],4,1,kt1_s14.json
kt1_s15,1comp,1,15,300,30,4,2,[1.0],4,1,kt1_s15.json
kt1_s16,1comp,1,16,300,30,4,2,[1.0],4,1,kt1_s16.json
kt1_s17,1comp,1,17,300,30,4,2,[1.0],4,1,kt1_s17.json
kt1_s18,1comp,1,18,300,30,4,2,[1.0],4,1,kt1_s18.json
kt1_s19,1comp,1,19,300,30,4,2,[1.0],4,1,kt1_s19.json
kt1_s20,1comp,1,20,300,30,4,2,[1.0],4,1,kt1_s20.json
kt1_s21,1comp,1,21,300,30,4,2,[1.0],4,1,kt1_s21.json
kt1_s22,1comp,1,22,300,30,4,2,[1.0],4,1,kt1_s22.json
