dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,bias,rmse,mean_abs_err,coverage95
kt1_s01,1comp,1,1,5,nuts,1,Alt1,-0.0728186978040507,0.7780390235681193,0.6197048198668221,0.9433333333333334
kt1_s01,1comp,1,1,5,nuts,1,Alt2,-0.1400957287011722,0.8812039178993228,0.6810158176742575,0.92
kt1_s01,1comp,1,1,5,nuts,1,Alt3,-0.0931282480210637,0.8015507232635841,0.633400834585889,0.9033333333333332
kt1_s01,1comp,1,1,5,nuts,1,Price,0.049557172513044,0.608940176462842,0.4724015856800195,0.91
kt1_s02,1comp,1,2,5,nuts,1,Alt1,-0.1731809314014148,0.8504008048945355,0.6683414104510277,0.9533333333333334
kt1_s02,1comp,1,2,5,nuts,1,Alt2,-0.0688128315810966,0.7935576325649296,0.6270776737750251,0.9333333333333332
kt1_s02,1comp,1,2,5,nuts,1,Alt3,-0.0273150952290805,0.7241861205827791,0.5793473659805219,0.96
kt1_s02,1comp,1,2,5,nuts,1,Price,0.0295600426981157,0.3793027191324797,0.2923483896131564,0.96
kt1_s03,1comp,1,3,5,nuts,1,Alt1,0.058003828723275,0.6544380403148455,0.5200255044822812,0.9533333333333334
kt1_s03,1comp,1,3,5,nuts,1,Alt2,0.0560802149236164,0.8575379017151235,0.6852313777905834,0.97
kt1_s03,1comp,1,3,5,nuts,1,Alt3,0.0820831622001239,0.8134366643043446,0.6448053718992075,0.96
kt1_s03,1comp,1,3,5,nuts,1,Price,0.0553875434311322,0.8986273927486128,0.7014907998900097,0.9366666666666666
kt1_s04,1comp,1,4,5,nuts,1,Alt1,-0.0116236837734854,1.643357328224453,0.6863166763412287,0.95
kt1_s04,1comp,1,4,5,nuts,1,Alt2,0.0331646954172981,0.8362761721042069,0.4146473250742095,0.9433333333333334
kt1_s04,1comp,1,4,5,nuts,1,Alt3,0.0468435501598562,0.918431774869519,0.5555813606441515,0.9466666666666668
kt1_s04,1comp,1,4,5,nuts,1,Price,0.0921924462924826,1.3630605568771037,0.4213296124262278,0.9666666666666668
