dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog,mean_acceptance
kt1_s01,1comp,1,1,5,nuts,1,pvec_latent,kernel_00,0,0.0,5.0,2.7784,0.0,23.0,6.1246,0.8986654281616211
kt1_s01,1comp,1,1,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,529,0.0529,5.0,3.9025,0.0,18.0,14.3697,0.8276994228363037
kt1_s01,1comp,1,1,5,nuts,1,mu_k,kernel_02,66,0.0066,9.0,4.5507,0.0,335.0,26.0396,0.8503603339195251
kt1_s01,1comp,1,1,5,nuts,1,Delta,kernel_03,0,0.0,5.0,2.9641,0.0,31.0,6.8934,0.9208139777183532
kt1_s01,1comp,1,1,5,nuts,1,beta_i,kernel_04,0,0.0,7.0,7.0,0.0,127.0,127.0,0.9361447095870972
kt1_s02,1comp,1,2,5,nuts,1,pvec_latent,kernel_00,138,0.0138,6.0,3.1845,0.0,55.0,8.9646,0.8485172986984253
kt1_s02,1comp,1,2,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,399,0.0399,6.0,3.9354,0.0,47.0,14.5497,0.8467544913291931
kt1_s02,1comp,1,2,5,nuts,1,mu_k,kernel_02,301,0.0301,10.0,4.8464,0.0001,639.0,33.2758,0.7892645001411438
kt1_s02,1comp,1,2,5,nuts,1,Delta,kernel_03,0,0.0,4.0,2.9329,0.0,15.0,6.7336,0.9123730659484864
kt1_s02,1comp,1,2,5,nuts,1,beta_i,kernel_04,0,0.0,5.0,5.0,0.0,31.0,31.0,0.8510127067565918
kt1_s03,1comp,1,3,5,nuts,1,pvec_latent,kernel_00,10,0.001,5.0,2.8425,0.0,31.0,6.4422,0.9088230729103088
kt1_s03,1comp,1,3,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,202,0.0202,7.0,4.2802,0.0,79.0,19.7588,0.9024730324745178
kt1_s03,1comp,1,3,5,nuts,1,mu_k,kernel_02,433,0.0433,9.0,4.5604,0.0,351.0,27.5469,0.7762702107429504
kt1_s03,1comp,1,3,5,nuts,1,Delta,kernel_03,0,0.0,4.0,2.8982,0.0,15.0,6.596,0.8999205231666565
kt1_s03,1comp,1,3,5,nuts,1,beta_i,kernel_04,0,0.0,5.0,5.0,0.0,31.0,31.0,0.8774915933609009
kt1_s04,1comp,1,4,5,nuts,1,pvec_latent,kernel_00,0,0.0,5.0,2.9043,0.0,31.0,6.8388,0.9320761561393738
kt1_s04,1comp,1,4,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,617,0.0617,5.0,3.8407,0.0,31.0,13.8151,0.784128725528717
kt1_s04,1comp,1,4,5,nuts,1,mu_k,kernel_02,465,0.0465,10.0,6.1776,0.0034,1023.0,98.4227,0.7093331217765808
kt1_s04,1comp,1,4,5,nuts,1,Delta,kernel_03,0,0.0,4.0,2.8835,0.0,15.0,6.5346,0.8974944353103638
kt1_s04,1comp,1,4,5,nuts,1,beta_i,kernel_04,0,0.0,6.0,6.0,0.0,63.0,63.0,0.9453855752944946
kt1_s05,1comp,1,5,5,nuts,1,pvec_latent,kernel_00,4,0.0004,6.0,2.8666,0.0,47.0,6.5489,0.9188728332519532
kt1_s05,1comp,1,5,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,318,0.0318,6.0,4.0648,0.0,63.0,16.5465,0.8562599420547485
kt1_s05,1comp,1,5,5,nuts,1,mu_k,kernel_02,40,0.004,9.0,4.5409,0.0,351.0,26.1263,0.8627117872238159
kt1_s05,1comp,1,5,5,nuts,1,Delta,kernel_03,0,0.0,5.0,3.4555,0.0,31.0,10.692,0.9213738441467284
kt1_s05,1comp,1,5,5,nuts,1,beta_i,kernel_04,0,0.0,5.0,4.0405,0.0,31.0,15.648,0.8256983160972595
