dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,converged,n_iter,switching_rate,verdict,gate_passed,invariant_pvec_sorted_rhat,invariant_Eu_rhat,alloc_accuracy,adjusted_rand
kt1_s01,1comp,1,1,5,nuts,1,True,2,0.0157,NO-OP (little/no switching detected; relabeling changed almost nothing),True,1.000283887651457,1.0069231367794815,1.0,1.0
kt1_s02,1comp,1,2,5,nuts,1,True,5,0.0208,NO-OP (little/no switching detected; relabeling changed almost nothing),True,1.0232416666804736,1.0087269899706257,1.0,1.0
kt1_s03,1comp,1,3,5,nuts,1,True,2,0.1367,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0275192681034415,1.0489020122638786,1.0,1.0
kt1_s04,1comp,1,4,5,nuts,1,True,2,0.7546,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0004064914655135,1.0037521610269011,0.9966666666666668,0.0
kt1_s05,1comp,1,5,5,nuts,1,True,2,0.0328,NO-OP (little/no switching detected; relabeling changed almost nothing),True,1.007710508268834,1.0026894328015878,1.0,1.0
kt1_s06,1comp,1,6,5,nuts,1,True,8,0.4211,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),False,1.0692568816328802,1.1331070294385417,0.9966666666666668,0.0
kt1_s07,1comp,1,7,5,nuts,1,True,6,0.0198,NO-OP (little/no switching detected; relabeling changed almost nothing),True,1.003148318330639,1.0045463672759578,1.0,1.0
kt1_s08,1comp,1,8,5,nuts,1,True,3,0.1156,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",True,2.515805411282284,1.03222410385958,1.0,1.0
kt1_s09,1comp,1,9,5,nuts,1,True,2,0.2531,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0156995491119178,1.0487900453757353,1.0,1.0
kt1_s10,1comp,1,10,5,nuts,1,True,2,0.0552,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0043602412685475,1.0011295591080092,1.0,1.0
