dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,kind,n_pts,min_ESS,mean_ESS,max_Rhat,mean_Rhat,ESS,Rhat
kt1_s01,1comp,1,1,5,nuts,2,Alt1,density,24.0,333.9491946578024,903.2688578530376,1.0110828190144223,1.0049235768426488,,
kt1_s01,1comp,1,1,5,nuts,2,Alt2,density,25.0,255.2606741860538,1112.1411409974994,1.0117814488890693,1.0056837610963985,,
kt1_s01,1comp,1,1,5,nuts,2,Alt3,density,24.0,619.8073735710869,1084.0424436500018,1.0093194999197117,1.0049654922049631,,
kt1_s01,1comp,1,1,5,nuts,2,Price,density,26.0,117.22912540748663,2202.44258447536,1.0172011957433236,1.00663740236314,,
kt1_s01,1comp,1,1,5,nuts,2,Alt1,moment_Mean,,,,,,1320.6155686074728,1.0033661607945084
kt1_s01,1comp,1,1,5,nuts,2,Alt1,moment_Var,,,,,,1732.1778069879358,1.0023384020276962
kt1_s01,1comp,1,1,5,nuts,2,Alt2,moment_Mean,,,,,,3145.4867066051,1.0017111619062615
kt1_s01,1comp,1,1,5,nuts,2,Alt2,moment_Var,,,,,,1584.884974309583,1.002139105739044
kt1_s01,1comp,1,1,5,nuts,2,Alt3,moment_Mean,,,,,,670.5370267524668,1.0072329973739815
kt1_s01,1comp,1,1,5,nuts,2,Alt3,moment_Var,,,,,,2302.6581654875376,1.001455499319164
kt1_s01,1comp,1,1,5,nuts,2,Price,moment_Mean,,,,,,611.6234251596187,1.003052185433243
kt1_s01,1comp,1,1,5,nuts,2,Price,moment_Var,,,,,,319.63349334981274,1.0077082466640068
kt1_s02,1comp,1,2,5,nuts,2,Alt1,density,24.0,294.57121836437267,849.9806294503927,1.0095304116068338,1.002767203776165,,
kt1_s02,1comp,1,2,5,nuts,2,Alt2,density,25.0,1733.5080997095022,2758.173546772442,1.0048312932289578,1.0021035980863886,,
kt1_s02,1comp,1,2,5,nuts,2,Alt3,density,24.0,1099.2196134954745,2008.233278061895,1.0081665058996043,1.0037329677799829,,
kt1_s02,1comp,1,2,5,nuts,2,Price,density,26.0,986.5451549452058,6955.555572209978,1.0026419896466452,1.000513537398074,,
kt1_s02,1comp,1,2,5,nuts,2,Alt1,moment_Mean,,,,,,33.52712982323862,1.043948453979723
kt1_s02,1comp,1,2,5,nuts,2,Alt1,moment_Var,,,,,,594.1724142520006,1.0129775939608228
kt1_s02,1comp,1,2,5,nuts,2,Alt2,moment_Mean,,,,,,66.60738216676813,1.0296369519586055
kt1_s02,1comp,1,2,5,nuts,2,Alt2,moment_Var,,,,,,183.7274720651411,1.0078996671873692
