dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,Hellinger,KL,JSD,TVD,Wasserstein1
kt1_s01,1comp,1,1,5,nuts,2,Alt1,0.0248,0.00346,0.00058,0.01434,0.03406
kt1_s01,1comp,1,1,5,nuts,2,Alt2,0.0722,0.02495,0.00508,0.06703,0.1954
kt1_s01,1comp,1,1,5,nuts,2,Alt3,0.0592,0.01356,0.00348,0.0614,0.13693
kt1_s01,1comp,1,1,5,nuts,2,Price,0.04547,0.00845,0.00205,0.04874,0.11065
kt1_s02,1comp,1,2,5,nuts,2,Alt1,0.05448,0.01483,0.00287,0.05248,0.14883
kt1_s02,1comp,1,2,5,nuts,2,Alt2,0.05841,0.01673,0.00331,0.05116,0.14433
kt1_s02,1comp,1,2,5,nuts,2,Alt3,0.07701,0.02253,0.00589,0.08191,0.19
kt1_s02,1comp,1,2,5,nuts,2,Price,0.02524,0.00263,0.00063,0.02487,0.03488
kt1_s03,1comp,1,3,5,nuts,2,Alt1,0.02991,0.00448,0.00086,0.02545,0.05168
kt1_s03,1comp,1,3,5,nuts,2,Alt2,0.07912,0.03224,0.00603,0.0696,0.15841
kt1_s03,1comp,1,3,5,nuts,2,Alt3,0.03082,0.00507,0.0009,0.02056,0.04982
kt1_s03,1comp,1,3,5,nuts,2,Price,0.02911,0.00399,0.00082,0.02861,0.08583
kt1_s04,1comp,1,4,5,nuts,2,Alt1,0.03044,0.00455,0.00089,0.02781,0.0846
kt1_s04,1comp,1,4,5,nuts,2,Alt2,0.03348,0.00557,0.00108,0.02618,0.04196
kt1_s04,1comp,1,4,5,nuts,2,Alt3,0.02732,0.00382,0.00071,0.02342,0.04161
kt1_s04,1comp,1,4,5,nuts,2,Price,0.02447,0.00247,0.00059,0.02422,0.04976
kt1_s05,1comp,1,5,5,nuts,2,Alt1,0.26667,0.41866,0.06586,0.27889,0.59439
kt1_s05,1comp,1,5,5,nuts,2,Alt2,0.0595,0.01632,0.00347,0.05457,0.10349
kt1_s05,1comp,1,5,5,nuts,2,Alt3,0.1011,0.0554,0.00975,0.08871,0.13409
kt1_s05,1comp,1,5,5,nuts,2,Price,0.0516,0.01279,0.00259,0.04481,0.07116
kt1_s06,1comp,1,6,5,nuts,2,Alt1,0.06555,0.0164,0.00427,0.06849,0.15758
kt1_s06,1comp,1,6,5,nuts,2,Alt2,0.02801,0.00347,0.00077,0.02726,0.05434
kt1_s06,1comp,1,6,5,nuts,2,Alt3,0.15397,0.15968,0.02184,0.13523,0.25747
kt1_s06,1comp,1,6,5,nuts,2,Price,0.06908,0.0181,0.00474,0.07211,0.13562
kt1_s07,1comp,1,7,5,nuts,2,Alt1,0.04778,0.01143,0.0022,0.0415,0.12612
kt1_s07,1comp,1,7,5,nuts,2,Alt2,0.03672,0.0074,0.00127,0.02895,0.08436
kt1_s07,1comp,1,7,5,nuts,2,Alt3,0.10407,0.0407,0.01072,0.11206,0.26712
kt1_s07,1comp,1,7,5,nuts,2,Price,0.03628,0.00535,0.00131,0.03682,0.0644
kt1_s08,1comp,1,8,5,nuts,2,Alt1,0.1998,0.28154,0.03633,0.18443,0.3829
kt1_s08,1comp,1,8,5,nuts,2,Alt2,0.05054,0.01345,0.00244,0.04911,0.12594
kt1_s08,1comp,1,8,5,nuts,2,Alt3,0.0855,0.04578,0.00685,0.06702,0.16229
kt1_s08,1comp,1,8,5,nuts,2,Price,0.06469,0.01603,0.00416,0.06788,0.12755
kt1_s09,1comp,1,9,5,nuts,2,Alt1,0.10218,0.04952,0.01019,0.10465,0.22433
kt1_s09,1comp,1,9,5,nuts,2,Alt2,0.1224,0.07395,0.01451,0.12376,0.27964
kt1_s09,1comp,1,9,5,nuts,2,Alt3,0.10198,0.04241,0.0103,0.11671,0.25892
kt1_s09,1comp,1,9,5,nuts,2,Price,0.04155,0.00701,0.00171,0.04428,0.13028
kt1_s100,1comp,1,100,5,nuts,2,Alt1,0.14904,0.11828,0.02116,0.14493,0.3342
kt1_s100,1comp,1,100,5,nuts,2,Alt2,0.04329,0.00804,0.00184,0.04697,0.08239
kt1_s100,1comp,1,100,5,nuts,2,Alt3,0.06092,0.01577,0.00366,0.06766,0.14747
kt1_s100,1comp,1,100,5,nuts,2,Price,0.07195,0.02735,0.00497,0.06162,0.10792
kt1_s101,1comp,1,101,5,nuts,2,Alt1,0.0374,0.00746,0.00134,0.02823,0.04949
kt1_s101,1comp,1,101,5,nuts,2,Alt2,0.13019,0.09455,0.01606,0.1192,0.1926
kt1_s101,1comp,1,101,5,nuts,2,Alt3,0.07461,0.02801,0.00538,0.07164,0.21397
kt1_s101,1comp,1,101,5,nuts,2,Price,0.05835,0.01394,0.00337,0.06221,0.19388
kt1_s10,1comp,1,10,5,nuts,2,Alt1,0.01374,0.00097,0.00018,0.00972,0.01765
kt1_s10,1comp,1,10,5,nuts,2,Alt2,0.07448,0.02668,0.0054,0.06875,0.18132
kt1_s10,1comp,1,10,5,nuts,2,Alt3,0.04317,0.00909,0.00181,0.03569,0.0667
kt1_s10,1comp,1,10,5,nuts,2,Price,0.09316,0.03514,0.0086,0.1031,0.1846
kt1_s11,1comp,1,11,5,nuts,2,Alt1,0.09381,0.0499,0.00827,0.07846,0.14558
kt1_s11,1comp,1,11,5,nuts,2,Alt2,0.15186,0.19942,0.0199,0.12076,0.35212
kt1_s11,1comp,1,11,5,nuts,2,Alt3,0.04664,0.01029,0.00212,0.04027,0.1065
kt1_s11,1comp,1,11,5,nuts,2,Price,0.03774,0.00608,0.0014,0.03663,0.07255
kt1_s12,1comp,1,12,5,nuts,2,Alt1,0.05532,0.01599,0.00294,0.04628,0.10144
kt1_s12,1comp,1,12,5,nuts,2,Alt2,0.06919,0.01817,0.00475,0.07064,0.18006
kt1_s12,1comp,1,12,5,nuts,2,Alt3,0.03693,0.00577,0.00134,0.0383,0.0637
kt1_s12,1comp,1,12,5,nuts,2,Price,0.08829,0.038,0.00758,0.08859,0.24195
kt1_s13,1comp,1,13,5,nuts,2,Alt1,0.05587,0.01222,0.00311,0.06188,0.13959
kt1_s13,1comp,1,13,5,nuts,2,Alt2,0.03725,0.00593,0.00137,0.03933,0.12459
kt1_s13,1comp,1,13,5,nuts,2,Alt3,0.08641,0.0291,0.00742,0.09642,0.17899
kt1_s13,1comp,1,13,5,nuts,2,Price,0.02441,0.00265,0.00058,0.02442,0.05623
kt1_s14,1comp,1,14,5,nuts,2,Alt1,0.30278,0.64515,0.08277,0.3104,1.00997
kt1_s14,1comp,1,14,5,nuts,2,Alt2,0.23376,0.31261,0.05121,0.24105,0.95627
kt1_s14,1comp,1,14,5,nuts,2,Alt3,0.30326,0.64541,0.08335,0.31485,1.07276
kt1_s14,1comp,1,14,5,nuts,2,Price,0.02323,0.00254,0.00052,0.0205,0.05426
kt1_s15,1comp,1,15,5,nuts,2,Alt1,0.02771,0.0047,0.0007,0.02011,0.05534
kt1_s15,1comp,1,15,5,nuts,2,Alt2,0.03197,0.00559,0.00097,0.02574,0.05578
kt1_s15,1comp,1,15,5,nuts,2,Alt3,0.04767,0.01304,0.00214,0.03446,0.07269
kt1_s15,1comp,1,15,5,nuts,2,Price,0.02268,0.00306,0.00047,0.01192,0.03398
kt1_s16,1comp,1,16,5,nuts,2,Alt1,0.08206,0.03517,0.00646,0.06996,0.17101
kt1_s16,1comp,1,16,5,nuts,2,Alt2,0.23447,1.18486,0.04499,0.18177,0.83101
kt1_s16,1comp,1,16,5,nuts,2,Alt3,0.03639,0.00793,0.00123,0.02375,0.0702
kt1_s16,1comp,1,16,5,nuts,2,Price,0.06064,0.01904,0.00353,0.05617,0.13947
kt1_s17,1comp,1,17,5,nuts,2,Alt1,0.02371,0.00292,0.00053,0.01937,0.06777
kt1_s17,1comp,1,17,5,nuts,2,Alt2,0.03519,0.00577,0.0012,0.03315,0.08269
kt1_s17,1comp,1,17,5,nuts,2,Alt3,0.06969,0.02591,0.00465,0.05908,0.11345
kt1_s17,1comp,1,17,5,nuts,2,Price,0.05165,0.01398,0.00255,0.04251,0.11217
kt1_s18,1comp,1,18,5,nuts,2,Alt1,0.13586,0.1348,0.01656,0.10746,0.38761
kt1_s18,1comp,1,18,5,nuts,2,Alt2,0.17303,0.20063,0.02743,0.15583,0.26782
kt1_s18,1comp,1,18,5,nuts,2,Alt3,0.05498,0.01267,0.00299,0.06196,0.1029
kt1_s18,1comp,1,18,5,nuts,2,Price,0.22616,0.53807,0.04389,0.192,0.43679
kt1_s19,1comp,1,19,5,nuts,2,Alt1,0.06693,0.03902,0.00397,0.03058,0.09807
kt1_s19,1comp,1,19,5,nuts,2,Alt2,0.12074,0.06598,0.01427,0.13099,0.32672
kt1_s19,1comp,1,19,5,nuts,2,Alt3,0.22345,0.28337,0.047,0.22502,0.83994
