dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,mix_mean,mix_var,true_mix_mean,true_mix_var
kt1_s01,1comp,1,1,5,nuts,1,Alt1,1.28200101852417,63.33553695678711,1.3488837532338342,0.980478988733047
kt1_s01,1comp,1,1,5,nuts,1,Alt2,3.8498902320861816,32.804141998291016,4.032261732303053,1.973736417462343
kt1_s01,1comp,1,1,5,nuts,1,Alt3,2.9453513622283936,51.90751266479492,3.1409076785387526,1.4544591887839753
kt1_s01,1comp,1,1,5,nuts,1,Price,-2.527167320251465,9.431307792663574,-2.659471067868853,1.0626365275908665
kt1_s02,1comp,1,2,5,nuts,1,Alt1,-0.1282855123281479,149.44189453125,0.0094373372943279,1.160667180427336
kt1_s02,1comp,1,2,5,nuts,1,Alt2,2.885584115982056,33.56101608276367,2.8230101530020497,1.9297224751640392
kt1_s02,1comp,1,2,5,nuts,1,Alt3,2.833704233169556,28.71347427368164,3.0634698353549146,1.2453319964279914
kt1_s02,1comp,1,2,5,nuts,1,Price,-1.036490797996521,37.22123718261719,-1.064946951984722,0.6893489723410526
kt1_s03,1comp,1,3,5,nuts,1,Alt1,0.0995911434292793,43.29809188842773,0.0362551464732347,0.662448176245304
kt1_s03,1comp,1,3,5,nuts,1,Alt2,-2.335977554321289,26.919139862060547,-2.2528196751367617,1.339494378938727
kt1_s03,1comp,1,3,5,nuts,1,Alt3,3.4285635948181152,15.724993705749512,3.4246844401935923,1.449105070625493
kt1_s03,1comp,1,3,5,nuts,1,Price,4.893383979797363,9.705598831176758,4.988737478761852,1.8891764487765303
kt1_s04,1comp,1,4,5,nuts,1,Alt1,-2.77407455444336,45.66341400146485,-2.721426421735476,1.6548277577626724
kt1_s04,1comp,1,4,5,nuts,1,Alt2,0.1028072908520698,20.78866195678711,0.0433351841974682,0.6363739699811526
kt1_s04,1comp,1,4,5,nuts,1,Alt3,-2.1675469875335693,15.900872230529783,-2.168375722162227,1.1241908818288822
kt1_s04,1comp,1,4,5,nuts,1,Price,-1.7072097063064575,13.949471473693848,-1.94012267912262,1.423666659255773
kt1_s05,1comp,1,5,5,nuts,1,Alt1,-6.684006214141846,49.43326187133789,-6.205683478085509,0.5762321175377301
kt1_s05,1comp,1,5,5,nuts,1,Alt2,0.6813341379165649,43.25325012207031,0.6430883019072965,0.9247641725258242
kt1_s05,1comp,1,5,5,nuts,1,Alt3,-5.760656356811523,23.79074478149414,-5.747599477975536,0.5125510426171647
kt1_s05,1comp,1,5,5,nuts,1,Price,2.761490821838379,9.510171890258787,2.792230237092709,0.7447263090581426
kt1_s06,1comp,1,6,5,nuts,1,Alt1,4.437529563903809,28.724437713623047,4.53919608722971,1.862250137586196
kt1_s06,1comp,1,6,5,nuts,1,Alt2,3.509027004241944,29.47655296325684,3.3350421504252994,1.875742884739436
kt1_s06,1comp,1,6,5,nuts,1,Alt3,-4.950721263885498,11.35911750793457,-4.750807492555093,0.7300800118276698
kt1_s06,1comp,1,6,5,nuts,1,Price,-3.4556729793548584,10.156570434570312,-3.500195737804764,0.9831118426437648
kt1_s07,1comp,1,7,5,nuts,1,Alt1,-1.0332695245742798,262.3916015625,-0.9028253643514164,1.6141344786623828
kt1_s07,1comp,1,7,5,nuts,1,Alt2,3.882813692092896,35.5092887878418,3.836683278292449,1.1873349596085367
kt1_s07,1comp,1,7,5,nuts,1,Alt3,-3.501474618911743,24.849485397338867,-3.773268731387371,1.7788992357480065
kt1_s07,1comp,1,7,5,nuts,1,Price,2.4247734546661377,10.047760009765623,2.490729961066013,1.356818299344133
kt1_s08,1comp,1,8,5,nuts,1,Alt1,11.06923484802246,32.85074234008789,11.24381939998887,0.8527427050463878
kt1_s08,1comp,1,8,5,nuts,1,Alt2,1.9491502046585083,13.218095779418944,1.8187695999971525,1.5636317104823858
kt1_s08,1comp,1,8,5,nuts,1,Alt3,6.769596099853516,14.116418838500977,6.900738499634154,1.3718157518006162
kt1_s08,1comp,1,8,5,nuts,1,Price,3.450162172317505,5.762936115264893,3.588215473412958,1.607689906311857
kt1_s09,1comp,1,9,5,nuts,1,Alt1,2.690869092941284,56.388763427734375,2.904644011382929,0.759936712373803
kt1_s09,1comp,1,9,5,nuts,1,Alt2,5.93453311920166,28.589059829711918,6.225624865120448,0.8802800368797867
kt1_s09,1comp,1,9,5,nuts,1,Alt3,5.722483158111572,17.590011596679688,5.998151038034651,0.8637678023006399
