dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,matched_true,live,param,post_mean,post_std,ci_low,ci_high,true_value,abs_diff,in_ci
kt1_s01,1comp,1,1,5,nuts,1,0,0.0,True,Alt1,1.3242141008377075,0.1053014695644378,1.113777095079422,1.527349191904068,1.3488837532338342,0.0246696523961267,True
kt1_s01,1comp,1,1,5,nuts,1,0,0.0,True,Alt2,3.884676456451416,0.1292819380760193,3.639915192127228,4.150576031208038,4.032261732303053,0.1475852758516369,True
kt1_s01,1comp,1,1,5,nuts,1,0,0.0,True,Alt3,3.00900673866272,0.1046870201826095,2.8058813512325287,3.219011181592941,3.1409076785387526,0.1319009398760329,True
kt1_s01,1comp,1,1,5,nuts,1,0,0.0,True,Price,-2.5537242889404297,0.0755318850278854,-2.704815375804901,-2.40334507226944,-2.659471067868853,0.1057467789284234,True
kt1_s01,1comp,1,1,5,nuts,1,1,,False,Alt1,-4.456127643585205,89.5875015258789,-143.270726776123,112.921989059448,,,
kt1_s01,1comp,1,1,5,nuts,1,1,,False,Alt2,0.7072217464447021,38.6813850402832,-69.96828212738036,76.32156314849843,,,
kt1_s01,1comp,1,1,5,nuts,1,1,,False,Alt3,-7.71218204498291,108.0696258544922,-77.03323287963866,61.09115581512446,,,
kt1_s01,1comp,1,1,5,nuts,1,1,,False,Price,-0.440492182970047,23.35850524902344,-46.93423357009888,45.592331504821765,,,
kt1_s01,1comp,1,1,5,nuts,1,2,,False,Alt1,-2.5707666873931885,72.21045684814453,-130.70564155578612,126.67102909088126,,,
kt1_s01,1comp,1,1,5,nuts,1,2,,False,Alt2,5.625211238861084,66.97818756103516,-85.09366378784179,102.66066589355457,,,
kt1_s01,1comp,1,1,5,nuts,1,2,,False,Alt3,0.8684895634651184,37.76311874389648,-67.66586208343506,69.58786411285396,,,
kt1_s01,1comp,1,1,5,nuts,1,2,,False,Price,-0.2067436724901199,24.614234924316406,-51.08781423568725,46.53948812484741,,,
kt1_s01,1comp,1,1,5,nuts,1,3,,False,Alt1,-1.116532564163208,59.179229736328125,-111.7120470046997,99.1173858642578,,,
kt1_s01,1comp,1,1,5,nuts,1,3,,False,Alt2,-1.902416944503784,45.66258239746094,-88.50943088531494,72.16175880432127,,,
kt1_s01,1comp,1,1,5,nuts,1,3,,False,Alt3,0.5666202902793884,32.399208068847656,-62.84719972610473,62.95791854858391,,,
kt1_s01,1comp,1,1,5,nuts,1,3,,False,Price,-0.921203315258026,23.8685359954834,-47.88579177856445,47.47054691314691,,,
kt1_s01,1comp,1,1,5,nuts,1,4,,False,Alt1,-2.3152859210968018,51.41867065429688,-106.1865171432495,100.76220970153804,,,
kt1_s01,1comp,1,1,5,nuts,1,4,,False,Alt2,0.080449178814888,37.03339767456055,-75.11958122253417,80.68774700164794,,,
kt1_s01,1comp,1,1,5,nuts,1,4,,False,Alt3,-0.8812389373779297,34.504638671875,-72.26288604736328,64.79269142150878,,,
kt1_s01,1comp,1,1,5,nuts,1,4,,False,Price,-0.142207533121109,28.15511131286621,-55.77771434783936,52.39214029312133,,,
kt1_s02,1comp,1,2,5,nuts,1,0,0.0,True,Alt1,-0.137344017624855,0.1228542253375053,-0.3942165873944759,0.0922827553004025,0.0094373372943279,0.146781354919183,True
kt1_s02,1comp,1,2,5,nuts,1,0,0.0,True,Alt2,2.912916898727417,0.1175635159015655,2.6900789737701416,3.147233724594116,2.8230101530020497,0.0899067457253672,True
kt1_s02,1comp,1,2,5,nuts,1,0,0.0,True,Alt3,2.8698570728302,0.1014625132083892,2.680376762151718,3.069734066724777,3.0634698353549146,0.1936127625247143,True
kt1_s02,1comp,1,2,5,nuts,1,0,0.0,True,Price,-1.0338739156723022,0.0529798194766044,-1.1413509666919708,-0.9326232880353929,-1.064946951984722,0.0310730363124198,True
kt1_s02,1comp,1,2,5,nuts,1,1,,False,Alt1,-1.0730912685394287,96.34716796875,-106.87406520843504,94.61089706420891,,,
kt1_s02,1comp,1,2,5,nuts,1,1,,False,Alt2,1.7006267309188845,36.74245834350586,-79.98636837005616,72.74612445831289,,,
kt1_s02,1comp,1,2,5,nuts,1,1,,False,Alt3,0.516854465007782,32.1278190612793,-58.77468109130859,61.35876207351681,,,
kt1_s02,1comp,1,2,5,nuts,1,1,,False,Price,-1.337614893913269,23.389650344848636,-52.55670928955078,46.87480936050412,,,
kt1_s02,1comp,1,2,5,nuts,1,2,,False,Alt1,10.733625411987305,178.8813018798828,-112.13738079071044,130.58864173889137,,,
kt1_s02,1comp,1,2,5,nuts,1,2,,False,Alt2,-1.932674765586853,71.41903686523438,-77.91869735717772,96.26009330749504,,,
kt1_s02,1comp,1,2,5,nuts,1,2,,False,Alt3,3.82970666885376,73.69810485839844,-56.0776258468628,70.26643829345691,,,
kt1_s02,1comp,1,2,5,nuts,1,2,,False,Price,-6.363941192626953,99.24320220947266,-49.05360374450684,42.10810117721552,,,
kt1_s02,1comp,1,2,5,nuts,1,3,,False,Alt1,-0.0347791984677314,52.9004135131836,-91.23540000915528,114.06116962432849,,,
kt1_s02,1comp,1,2,5,nuts,1,3,,False,Alt2,0.2647871077060699,39.59109878540039,-74.91704521179199,72.31500854492185,,,
kt1_s02,1comp,1,2,5,nuts,1,3,,False,Alt3,-2.624178886413574,32.97935104370117,-68.96603393554688,58.10551595687865,,,
kt1_s02,1comp,1,2,5,nuts,1,3,,False,Price,1.9357750415802,24.83585357666016,-43.94587316513061,58.59943008422852,,,
kt1_s02,1comp,1,2,5,nuts,1,4,,False,Alt1,-1.0675510168075562,49.309547424316406,-94.27016735076904,100.60079421997064,,,
kt1_s02,1comp,1,2,5,nuts,1,4,,False,Alt2,1.076789379119873,44.55590057373047,-75.39122238159179,77.45028991699215,,,
kt1_s02,1comp,1,2,5,nuts,1,4,,False,Alt3,-0.8539267778396606,33.77427291870117,-57.052362728118894,63.91628484725949,,,
kt1_s02,1comp,1,2,5,nuts,1,4,,False,Price,0.2871485948562622,23.065120697021484,-43.61840963363648,42.0691836357116,,,
kt1_s03,1comp,1,3,5,nuts,1,0,0.0,True,Alt1,0.0929344221949577,0.0825466439127922,-0.0787128966301679,0.2460195705294608,0.0362551464732347,0.0566792757217229,True
kt1_s03,1comp,1,3,5,nuts,1,0,0.0,True,Alt2,-2.330709934234619,0.1186853051185607,-2.5706760764122008,-2.089141172170639,-2.2528196751367617,0.0778902590978574,True
kt1_s03,1comp,1,3,5,nuts,1,0,0.0,True,Alt3,3.464339017868042,0.1198402419686317,3.2251489102840423,3.682609504461288,3.4246844401935923,0.0396545776744496,True
kt1_s03,1comp,1,3,5,nuts,1,0,0.0,True,Price,4.927501201629639,0.1481389701366424,4.639118921756745,5.173905909061432,4.988737478761852,0.0612362771322132,True
kt1_s03,1comp,1,3,5,nuts,1,1,,False,Alt1,0.4921683669090271,69.47327423095703,-107.34201278686524,98.39769477844236,,,
kt1_s03,1comp,1,3,5,nuts,1,1,,False,Alt2,-1.1091595888137815,46.804969787597656,-77.9093017578125,78.26779060363766,,,
kt1_s03,1comp,1,3,5,nuts,1,1,,False,Alt3,1.0546998977661133,29.18604850769043,-55.14837188720703,57.7532431602478,,,
kt1_s03,1comp,1,3,5,nuts,1,1,,False,Price,1.710957407951355,23.271711349487305,-43.386125278472896,47.133543109893786,,,
kt1_s03,1comp,1,3,5,nuts,1,2,,False,Alt1,-2.452207326889038,46.6292839050293,-85.53446941375732,90.78907775878906,,,
kt1_s03,1comp,1,3,5,nuts,1,2,,False,Alt2,-2.7711057662963867,44.084434509277344,-89.95107536315918,83.8647340774536,,,
kt1_s03,1comp,1,3,5,nuts,1,2,,False,Alt3,-0.0218111332505941,40.722938537597656,-67.99190998077393,57.50527286529536,,,
kt1_s03,1comp,1,3,5,nuts,1,2,,False,Price,1.437912940979004,22.068140029907227,-40.68842563629151,44.396148395538304,,,
kt1_s03,1comp,1,3,5,nuts,1,3,,False,Alt1,2.3440184593200684,58.44379425048828,-109.5254632949829,104.69658660888672,,,
kt1_s03,1comp,1,3,5,nuts,1,3,,False,Alt2,-0.9468532204627992,39.16455078125,-72.73081150054931,76.45548419952391,,,
kt1_s03,1comp,1,3,5,nuts,1,3,,False,Alt3,2.1819100379943848,28.195669174194336,-56.15896816253662,57.55293045043943,,,
kt1_s03,1comp,1,3,5,nuts,1,3,,False,Price,4.901654243469238,24.863265991210938,-42.62695569992065,51.705360412597656,,,
kt1_s03,1comp,1,3,5,nuts,1,4,,False,Alt1,-0.128051608800888,49.42375946044922,-89.18649940490722,91.4551107406616,,,
kt1_s03,1comp,1,3,5,nuts,1,4,,False,Alt2,-5.660457134246826,43.71421432495117,-72.78661613464355,83.00385093688963,,,
kt1_s03,1comp,1,3,5,nuts,1,4,,False,Alt3,-3.1187584400177,29.236289978027344,-66.40740966796875,58.50894050598144,,,
kt1_s03,1comp,1,3,5,nuts,1,4,,False,Price,0.91446453332901,26.299854278564453,-47.87781744003296,44.829283428192085,,,
kt1_s04,1comp,1,4,5,nuts,1,0,0.0,True,Alt1,-2.640281915664673,0.1034674122929573,-2.8435517728328703,-2.4403882324695587,-2.721426421735476,0.0811445060708027,True
kt1_s04,1comp,1,4,5,nuts,1,0,0.0,True,Alt2,0.0170305110514163,0.0615797713398933,-0.1037062983959913,0.1364331133663654,0.0433351841974682,0.0263046731460518,True
kt1_s04,1comp,1,4,5,nuts,1,0,0.0,True,Alt3,-2.132167100906372,0.089615561068058,-2.3113626420497893,-1.959975004196167,-2.168375722162227,0.036208621255855,True
