dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,stage,rank,pvec_mean
kt1_s01,1comp,1,1,5,nuts,2,before,0,0.9842393398284912
kt1_s01,1comp,1,1,5,nuts,2,before,1,0.004862617701292
kt1_s01,1comp,1,1,5,nuts,2,before,2,0.0039862701669335
kt1_s01,1comp,1,1,5,nuts,2,before,3,0.0035228121560066
kt1_s01,1comp,1,1,5,nuts,2,before,4,0.0033871489576995
kt1_s01,1comp,1,1,5,nuts,2,after,0,0.9842411279678344
kt1_s01,1comp,1,1,5,nuts,2,after,1,0.0058259167708456
kt1_s01,1comp,1,1,5,nuts,2,after,2,0.0033450683113187
kt1_s01,1comp,1,1,5,nuts,2,after,3,0.0032966651488095
kt1_s01,1comp,1,1,5,nuts,2,after,4,0.0032911838497966
kt1_s02,1comp,1,2,5,nuts,2,before,0,0.4964137077331543
kt1_s02,1comp,1,2,5,nuts,2,before,1,0.490524560213089
kt1_s02,1comp,1,2,5,nuts,2,before,2,0.0060639604926109
kt1_s02,1comp,1,2,5,nuts,2,before,3,0.0035005984827876
kt1_s02,1comp,1,2,5,nuts,2,before,4,0.0034900328610092
kt1_s02,1comp,1,2,5,nuts,2,after,0,0.9819245934486388
kt1_s02,1comp,1,2,5,nuts,2,after,1,0.0080670546740293
kt1_s02,1comp,1,2,5,nuts,2,after,2,0.0034013839904218
kt1_s02,1comp,1,2,5,nuts,2,after,3,0.0033160613384097
kt1_s02,1comp,1,2,5,nuts,2,after,4,0.0032908804714679
kt1_s03,1comp,1,3,5,nuts,2,before,0,0.4944636821746826
kt1_s03,1comp,1,3,5,nuts,2,before,1,0.4944452047348022
kt1_s03,1comp,1,3,5,nuts,2,before,2,0.003807770088315
kt1_s03,1comp,1,3,5,nuts,2,before,3,0.0038074334152042
kt1_s03,1comp,1,3,5,nuts,2,before,4,0.0034713118802756
kt1_s03,1comp,1,3,5,nuts,2,after,0,0.9855027198791504
kt1_s03,1comp,1,3,5,nuts,2,after,1,0.0046393130905926
kt1_s03,1comp,1,3,5,nuts,2,after,2,0.0033210495021194
kt1_s03,1comp,1,3,5,nuts,2,after,3,0.0032781562767922
kt1_s03,1comp,1,3,5,nuts,2,after,4,0.003258803859353
kt1_s04,1comp,1,4,5,nuts,2,before,0,0.4946499466896057
kt1_s04,1comp,1,4,5,nuts,2,before,1,0.4925839006900787
kt1_s04,1comp,1,4,5,nuts,2,before,2,0.0047845495864748
kt1_s04,1comp,1,4,5,nuts,2,before,3,0.0040961587801575
kt1_s04,1comp,1,4,5,nuts,2,before,4,0.0038801124319434
kt1_s04,1comp,1,4,5,nuts,2,after,0,0.9820746183395386
kt1_s04,1comp,1,4,5,nuts,2,after,1,0.0065433126874268
kt1_s04,1comp,1,4,5,nuts,2,after,2,0.004689774941653
kt1_s04,1comp,1,4,5,nuts,2,after,3,0.0034294356591999
kt1_s04,1comp,1,4,5,nuts,2,after,4,0.0032628295011818
kt1_s05,1comp,1,5,5,nuts,2,before,0,0.4950248599052429
kt1_s05,1comp,1,5,5,nuts,2,before,1,0.4950124025344848
kt1_s05,1comp,1,5,5,nuts,2,before,2,0.0034473529085516
kt1_s05,1comp,1,5,5,nuts,2,before,3,0.0032650863286107
kt1_s05,1comp,1,5,5,nuts,2,before,4,0.0032445462420582
kt1_s05,1comp,1,5,5,nuts,2,after,0,0.986729085445404
kt1_s05,1comp,1,5,5,nuts,2,after,1,0.0034024552442133
kt1_s05,1comp,1,5,5,nuts,2,after,2,0.0033043201547116
kt1_s05,1comp,1,5,5,nuts,2,after,3,0.0033017245586961
kt1_s05,1comp,1,5,5,nuts,2,after,4,0.0032624183222651
kt1_s06,1comp,1,6,5,nuts,2,before,0,0.4945625960826874
kt1_s06,1comp,1,6,5,nuts,2,before,1,0.4941390752792358
kt1_s06,1comp,1,6,5,nuts,2,before,2,0.0045914142392575
kt1_s06,1comp,1,6,5,nuts,2,before,3,0.0033968025818467
kt1_s06,1comp,1,6,5,nuts,2,before,4,0.0033050719648599
kt1_s06,1comp,1,6,5,nuts,2,after,0,0.9852910041809082
kt1_s06,1comp,1,6,5,nuts,2,after,1,0.0039425757713615
kt1_s06,1comp,1,6,5,nuts,2,after,2,0.0037912956904619
kt1_s06,1comp,1,6,5,nuts,2,after,3,0.0036900206468999
kt1_s06,1comp,1,6,5,nuts,2,after,4,0.003285028738901
kt1_s07,1comp,1,7,5,nuts,2,before,0,0.4943824708461761
kt1_s07,1comp,1,7,5,nuts,2,before,1,0.4927011132240295
kt1_s07,1comp,1,7,5,nuts,2,before,2,0.0046514640562236
kt1_s07,1comp,1,7,5,nuts,2,before,3,0.0045345528051257
kt1_s07,1comp,1,7,5,nuts,2,before,4,0.0037254944909363
kt1_s07,1comp,1,7,5,nuts,2,after,0,0.9833250045776368
kt1_s07,1comp,1,7,5,nuts,2,after,1,0.0046091051772236
kt1_s07,1comp,1,7,5,nuts,2,after,2,0.0044880388304591
kt1_s07,1comp,1,7,5,nuts,2,after,3,0.0043030236847698
kt1_s07,1comp,1,7,5,nuts,2,after,4,0.0032747802324593
kt1_s08,1comp,1,8,5,nuts,2,before,0,0.4942951798439026
kt1_s08,1comp,1,8,5,nuts,2,before,1,0.494052916765213
kt1_s08,1comp,1,8,5,nuts,2,before,2,0.0045613241381943
kt1_s08,1comp,1,8,5,nuts,2,before,3,0.0035786253865808
kt1_s08,1comp,1,8,5,nuts,2,before,4,0.0035070625599473
kt1_s08,1comp,1,8,5,nuts,2,after,0,0.9843656420707704
