dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,runtime_s,n_sampling_errors,invariant_rhat_max,invariant_ess_min,n_divergent,max_treedepth,max_leapfrog,mean_acceptance
kt1_s01,1comp,1,1,5,nuts,1,1425.1,943,1.0133234452225923,439.5699244770058,595.0,9.0,335.0,0.8867
kt1_s02,1comp,1,2,5,nuts,1,483.77,1134,1.0232416666804736,161.56116145953868,838.0,10.0,639.0,0.8496
kt1_s03,1comp,1,3,5,nuts,1,472.34,869,1.0489020122638786,38.99729533082871,645.0,9.0,351.0,0.873
kt1_s04,1comp,1,4,5,nuts,1,809.33,1454,1.005576628945141,595.1574498553622,1082.0,10.0,1023.0,0.8537
kt1_s05,1comp,1,5,5,nuts,1,369.98,587,1.007710508268834,276.8722226652951,362.0,9.0,351.0,0.877
kt1_s06,1comp,1,6,5,nuts,1,881.5,1620,1.1331070294385417,20.48500411857919,1294.0,10.0,1023.0,0.8322
kt1_s07,1comp,1,7,5,nuts,1,520.22,1014,1.0072493476731832,546.5472456251315,756.0,10.0,575.0,0.8648
kt1_s08,1comp,1,8,5,nuts,1,1754.83,11135,2.515805411282284,1.351612891389948,9955.0,10.0,1023.0,0.8651
kt1_s09,1comp,1,9,5,nuts,1,749.01,1366,1.0487900453757353,53.87799575323907,1126.0,9.0,447.0,0.8531
kt1_s10,1comp,1,10,5,nuts,1,410.3,737,1.0043602412685475,669.1036719034053,534.0,9.0,351.0,0.8677
kt1_s11,1comp,1,11,5,nuts,1,782.84,11587,1.6800143064376143,2.146752986372003,362.0,10.0,1023.0,0.8588
kt1_s12,1comp,1,12,5,nuts,1,375.19,1137,1.18008808448049,10.861256213035894,906.0,9.0,367.0,0.8071
kt1_s13,1comp,1,13,5,nuts,1,493.28,1337,1.017990079365789,95.03644865378496,1061.0,9.0,271.0,0.8625
kt1_s14,1comp,1,14,5,nuts,1,5445.95,3284,1.1517179049904414,11.47130226589823,2147.0,10.0,1023.0,0.8319
kt1_s15,1comp,1,15,5,nuts,1,481.3,906,1.0023372736742122,1039.5216271186732,649.0,9.0,511.0,0.8744
kt1_s16,1comp,1,16,5,nuts,1,1709.66,8510,1.0057517327718923,38.43494619417157,7812.0,10.0,1023.0,0.8013
kt1_s17,1comp,1,17,5,nuts,1,501.79,956,1.0076711018542623,428.30633389655554,708.0,9.0,415.0,0.8755
kt1_s18,1comp,1,18,5,nuts,1,830.58,750,1.0137933771006238,256.8695557830677,329.0,10.0,1023.0,0.896
kt1_s19,1comp,1,19,5,nuts,1,1797.34,19993,1.847235520430212,2.1710091820813844,7914.0,10.0,1023.0,0.7624
kt1_s20,1comp,1,20,5,nuts,1,480.09,861,1.0190797328793515,75.84233545315334,621.0,10.0,1023.0,0.8544
kt1_s21,1comp,1,21,5,nuts,1,865.65,3924,1.1536715043930208,4.934715425186366,3580.0,10.0,575.0,0.8347
kt1_s22,1comp,1,22,5,nuts,1,1491.87,2398,2.006393839803975,1.407926690459797,1210.0,10.0,1023.0,0.8737
kt1_s23,1comp,1,23,5,nuts,1,1381.7,1553,1.11743020423084,17.682507571326965,1159.0,10.0,1023.0,0.8283
kt1_s24,1comp,1,24,5,nuts,1,476.93,7066,1.2167941794334507,7.5759996963892124,6786.0,8.0,223.0,0.7671
kt1_s25,1comp,1,25,5,nuts,1,496.42,684,1.0095843076104152,441.618511834497,433.0,10.0,1023.0,0.856
kt1_s26,1comp,1,26,5,nuts,1,472.34,4438,1.1647960117788043,3.2311771265744085,4175.0,8.0,175.0,0.8053
kt1_s27,1comp,1,27,5,nuts,1,2429.79,6289,1.1355075437029978,10.949834496626464,5975.0,9.0,511.0,0.7845
kt1_s28,1comp,1,28,5,nuts,1,1074.14,3793,1.029884152332279,55.813518754326445,3392.0,10.0,1023.0,0.79
kt1_s29,1comp,1,29,5,nuts,1,749.91,1716,1.046090165465554,63.25017203804671,1045.0,10.0,1023.0,0.8476
kt1_s30,1comp,1,30,5,nuts,1,371.29,426,1.0007529169409002,260.8281688566405,215.0,9.0,367.0,0.8714
kt1_s31,1comp,1,31,5,nuts,1,764.24,1045,1.002244078248819,1090.8254132768477,568.0,10.0,1023.0,0.893
kt1_s32,1comp,1,32,5,nuts,1,386.53,642,1.0486291982279008,43.02238940395617,414.0,10.0,1023.0,0.8256
