dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,post_mean,post_std,ci_low,ci_high,true_weight,in_ci
kt1_s01,1comp,1,1,5,nuts,1,0,0.98663330078125,0.0066887349821627,0.9703769236803056,0.9963266775012016,1.0,False
kt1_s01,1comp,1,1,5,nuts,1,1,0.00346190482378,0.0034810677170753,9.962194872059628e-05,0.0125933069968596,,
kt1_s01,1comp,1,1,5,nuts,1,2,0.0033287510741502,0.003405028488487,8.554240903322355e-05,0.0124754220014438,,
kt1_s01,1comp,1,1,5,nuts,1,3,0.0033006148878484,0.003220488782972,9.854990039457336e-05,0.0118131629424169,,
kt1_s01,1comp,1,1,5,nuts,1,4,0.0032753783743828,0.0032144107390195,9.813738379307324e-05,0.0121817989274859,,
kt1_s02,1comp,1,2,5,nuts,1,0,0.9837836623191832,0.0133147444576025,0.9415673792362214,0.9961523473262788,1.0,False
kt1_s02,1comp,1,2,5,nuts,1,1,0.0061412756331264,0.0118745518848299,9.896005976770542e-05,0.0459344871342182,,
kt1_s02,1comp,1,2,5,nuts,1,2,0.0033940917346626,0.0035376229789108,7.3211632843595e-05,0.01289806116838,,
kt1_s02,1comp,1,2,5,nuts,1,3,0.0033575096167623,0.0033128128852695,8.910734177334235e-05,0.0119414658518508,,
kt1_s02,1comp,1,2,5,nuts,1,4,0.0033234248403459,0.0033682084176689,7.099651629687287e-05,0.0123899882659315,,
kt1_s03,1comp,1,3,5,nuts,1,0,0.984738290309906,0.0097468122839927,0.9620136797428132,0.9959718406200408,1.0,False
kt1_s03,1comp,1,3,5,nuts,1,1,0.0053732725791633,0.0080725708976387,0.000110378554018,0.0252629298716783,,
kt1_s03,1comp,1,3,5,nuts,1,2,0.0033264006488025,0.003287652041763,8.75291971169645e-05,0.0119863645872101,,
kt1_s03,1comp,1,3,5,nuts,1,3,0.0033012458588927,0.0032386188395321,8.944807304942518e-05,0.0118566807359457,,
kt1_s03,1comp,1,3,5,nuts,1,4,0.0032607559114694,0.0032333943527191,8.457594794890611e-05,0.0119173816638067,,
kt1_s04,1comp,1,4,5,nuts,1,0,0.9833367466926576,0.0076323682442307,0.96608726978302,0.9946033090353013,1.0,False
kt1_s04,1comp,1,4,5,nuts,1,1,0.0065657524392008,0.0046299034729599,0.0008330415294039,0.0180661526042968,,
kt1_s04,1comp,1,4,5,nuts,1,2,0.0035326431971043,0.0040182890370488,7.738962503935908e-05,0.0130452685523778,,
kt1_s04,1comp,1,4,5,nuts,1,3,0.0033308640122413,0.0033116482663899,7.11705371941207e-05,0.0123135052388533,,
kt1_s04,1comp,1,4,5,nuts,1,4,0.0032340846955776,0.0031783853191882,8.172332909452963e-05,0.0117512957891449,,
kt1_s05,1comp,1,5,5,nuts,1,0,0.985841691493988,0.0090752877295017,0.9644884899258612,0.9962368503212928,1.0,False
kt1_s05,1comp,1,5,5,nuts,1,1,0.0042841904796659,0.007250924129039,9.29047551835538e-05,0.0198364309500902,,
kt1_s05,1comp,1,5,5,nuts,1,2,0.0033360214438289,0.0032620376441627,9.98001711195684e-05,0.0119271799223497,,
kt1_s05,1comp,1,5,5,nuts,1,3,0.0032753692939877,0.0033148268703371,7.070043557177999e-05,0.012151382328011,,
kt1_s05,1comp,1,5,5,nuts,1,4,0.0032627144828438,0.0032142465934157,7.932753251225222e-05,0.0116108189336955,,
kt1_s06,1comp,1,6,5,nuts,1,0,0.9787136912345886,0.0099482759833335,0.9559680610895156,0.993980598449707,1.0,False
kt1_s06,1comp,1,6,5,nuts,1,1,0.0086514810100197,0.0073171006515622,0.0003415403189137,0.0277953536249697,,
kt1_s06,1comp,1,6,5,nuts,1,2,0.0057778777554631,0.0066070589236915,0.0001007815722914,0.0245606731623411,,
kt1_s06,1comp,1,6,5,nuts,1,3,0.0035276121925562,0.0038644743617624,7.98666935224901e-05,0.0138936621369793,,
kt1_s06,1comp,1,6,5,nuts,1,4,0.0033292679581791,0.0032912755850702,7.522467894887086e-05,0.0120701094856485,,
kt1_s07,1comp,1,7,5,nuts,1,0,0.9858829379081726,0.0084561873227357,0.9656656116247178,0.9963998898863792,1.0,False
kt1_s07,1comp,1,7,5,nuts,1,1,0.0042809220030903,0.0063036927022039,9.778562798601344e-05,0.0201000488828867,,
kt1_s07,1comp,1,7,5,nuts,1,2,0.0033795116469264,0.003369498765096,9.453524507989644e-05,0.0122602526098489,,
