dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,bias,rmse,mean_abs_err,coverage95
kt1_s01,1comp,1,1,5,bayesm,2,Alt1,-0.07924372624172,0.7880259674660307,0.6268804555693828,0.9333333333333332
kt1_s01,1comp,1,1,5,bayesm,2,Alt2,-0.1208039491281417,0.8883365636861825,0.6886116075465291,0.9333333333333332
kt1_s01,1comp,1,1,5,bayesm,2,Alt3,-0.0826658082020875,0.8034249829946623,0.6349812964700922,0.9133333333333332
kt1_s01,1comp,1,1,5,bayesm,2,Price,0.0041081715747383,0.7159615647941885,0.5045194541707296,0.91
kt1_s02,1comp,1,2,5,bayesm,2,Alt1,-0.2062091655007741,0.8693214946405442,0.6861994586486287,0.9533333333333334
kt1_s02,1comp,1,2,5,bayesm,2,Alt2,-0.0728771183220478,0.791642167880256,0.6259581454329062,0.9266666666666666
kt1_s02,1comp,1,2,5,bayesm,2,Alt3,-0.0250623685009997,0.7289138835849678,0.5819682867582452,0.9566666666666668
kt1_s02,1comp,1,2,5,bayesm,2,Price,0.0300848291276565,0.3790094205101263,0.2909789102431819,0.9666666666666668
kt1_s03,1comp,1,3,5,bayesm,2,Alt1,0.0378521496478839,0.6683634398470538,0.532305705672601,0.95
kt1_s03,1comp,1,3,5,bayesm,2,Alt2,0.0369797865943002,0.8588516586084529,0.6837329283492491,0.9766666666666668
kt1_s03,1comp,1,3,5,bayesm,2,Alt3,0.0792532145962339,0.8327765085121225,0.6540405121505745,0.96
kt1_s03,1comp,1,3,5,bayesm,2,Price,0.0679764278323458,0.9333466812509577,0.7145027781726419,0.9366666666666666
kt1_s04,1comp,1,4,5,bayesm,2,Alt1,0.0218218125269739,1.1900771216014203,0.6566212662390323,0.9566666666666668
kt1_s04,1comp,1,4,5,bayesm,2,Alt2,0.0175388821993536,0.6574501430752182,0.4002474594957319,0.9433333333333334
kt1_s04,1comp,1,4,5,bayesm,2,Alt3,0.0609418575635338,0.7764505431644342,0.5431246425000945,0.9366666666666666
kt1_s04,1comp,1,4,5,bayesm,2,Price,0.0660855029279251,0.940988792518888,0.3968217742875225,0.9666666666666668
kt1_s05,1comp,1,5,5,bayesm,2,Alt1,-0.5092855175848621,0.9432737294802472,0.7515938978820961,0.94
kt1_s05,1comp,1,5,5,bayesm,2,Alt2,0.0759588227033932,0.5512503963174477,0.43285334333332,0.96
kt1_s05,1comp,1,5,5,bayesm,2,Alt3,-0.1076785491473048,0.7296257153563945,0.5934674961894381,0.9666666666666668
kt1_s05,1comp,1,5,5,bayesm,2,Price,0.0568587568006827,0.5127379312622334,0.402277001830838,0.9566666666666668
kt1_s06,1comp,1,6,5,bayesm,2,Alt1,-0.0700760855113467,0.879144618307166,0.7195048663706876,0.9233333333333332
kt1_s06,1comp,1,6,5,bayesm,2,Alt2,0.0464475590041653,0.9333079969583497,0.710691910381944,0.9166666666666666
kt1_s06,1comp,1,6,5,bayesm,2,Alt3,-0.1771065295962593,0.8643225164212737,0.6988588628821808,0.9933333333333332
kt1_s06,1comp,1,6,5,bayesm,2,Price,0.02247581153781,0.6419383808466618,0.4930259048457103,0.9533333333333334
kt1_s07,1comp,1,7,5,bayesm,2,Alt1,-0.0356122366728133,0.9587992090655092,0.748575332333692,0.94
kt1_s07,1comp,1,7,5,bayesm,2,Alt2,0.150522940761451,0.7996570999923285,0.6245246032187104,0.9633333333333334
kt1_s07,1comp,1,7,5,bayesm,2,Alt3,0.2165697684357544,1.2663416757899333,0.9955106785496172,0.87
kt1_s07,1comp,1,7,5,bayesm,2,Price,0.0245565559402485,0.6885998145446253,0.5179646573251383,0.9466666666666668
kt1_s08,1comp,1,8,5,bayesm,2,Alt1,-0.2759655128548632,0.8949579165714365,0.7054417757812314,0.98
kt1_s08,1comp,1,8,5,bayesm,2,Alt2,0.0807410478765766,1.1984123984381836,0.9632410033730712,0.9166666666666666
kt1_s08,1comp,1,8,5,bayesm,2,Alt3,-0.2476815033200143,0.9049286682041556,0.7260017090949669,0.9666666666666668
kt1_s08,1comp,1,8,5,bayesm,2,Price,-0.0944527691427971,0.6755083579010632,0.5229624016071024,0.94
kt1_s09,1comp,1,9,5,bayesm,2,Alt1,-0.191844706584361,0.7580383208563966,0.6146656875796128,0.94
kt1_s09,1comp,1,9,5,bayesm,2,Alt2,-0.2693226917937733,0.7812265770190803,0.6166658775022161,0.93
kt1_s09,1comp,1,9,5,bayesm,2,Alt3,-0.3091915655403433,0.8088539067697511,0.6495885979883406,0.9166666666666666
kt1_s09,1comp,1,9,5,bayesm,2,Price,0.1749203115535008,0.7074070247749202,0.5293791477218386,0.9233333333333332
kt1_s100,1comp,1,100,5,bayesm,2,Alt1,0.2014414210462254,0.9190801950494004,0.7358729063967665,0.9666666666666668
kt1_s100,1comp,1,100,5,bayesm,2,Alt2,-0.1420316497681824,1.1548897428319735,0.8195858918384212,0.9333333333333332
kt1_s100,1comp,1,100,5,bayesm,2,Alt3,0.1887622296228553,0.8468530152333744,0.6760157665633646,0.94
kt1_s100,1comp,1,100,5,bayesm,2,Price,0.1250362425555602,0.7397246279176907,0.5624527260905684,0.96
kt1_s101,1comp,1,101,5,bayesm,2,Alt1,-0.137678671091355,1.1802668983102234,0.7225278082167604,0.9466666666666668
kt1_s101,1comp,1,101,5,bayesm,2,Alt2,-0.1819783675578876,1.2715586383037043,0.7441818187208086,0.97
kt1_s101,1comp,1,101,5,bayesm,2,Alt3,0.1697960175537975,1.073047216810448,0.7298356056020172,0.9433333333333334
kt1_s101,1comp,1,101,5,bayesm,2,Price,0.1544668830608644,1.1475183573561891,0.7997782833220016,0.9633333333333334
kt1_s10,1comp,1,10,5,bayesm,2,Alt1,0.0478637236416398,0.7276645021484206,0.5907203330645967,0.9633333333333334
