dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,scope,quantity,live,rhat,ess
kt1_s01,1comp,1,1,5,bayesm,2,invariant,E[u]_0,,1.0048032611449025,654.0328517416052
kt1_s01,1comp,1,1,5,bayesm,2,invariant,E[u]_1,,1.0071305213228965,525.7604688995169
kt1_s01,1comp,1,1,5,bayesm,2,invariant,E[u]_2,,1.0023938050609735,443.1089282376048
kt1_s01,1comp,1,1,5,bayesm,2,invariant,E[u]_3,,1.0319145984124969,63.81519840153785
kt1_s01,1comp,1,1,5,bayesm,2,invariant,pvec_sorted_0,,1.0033653312879247,1168.5727826565485
kt1_s01,1comp,1,1,5,bayesm,2,invariant,pvec_sorted_1,,1.0091204175109123,356.1692399571354
kt1_s01,1comp,1,1,5,bayesm,2,invariant,pvec_sorted_2,,1.022745426535075,89.1898682998075
kt1_s01,1comp,1,1,5,bayesm,2,invariant,pvec_sorted_3,,1.016548498513003,94.19798452748208
kt1_s01,1comp,1,1,5,bayesm,2,invariant,pvec_sorted_4,,1.0182099345569615,93.36010896172634
kt1_s01,1comp,1,1,5,bayesm,2,invariant,tr(Cov[u]),,1.0020167132708937,1286.7913187902016
kt1_s01,1comp,1,1,5,bayesm,2,component,slot1:pvec,True,1.6494996991246802,4.269339316749076
kt1_s01,1comp,1,1,5,bayesm,2,component,slot2:pvec,False,1.5476267115458169,3.6721712413787615
kt1_s01,1comp,1,1,5,bayesm,2,component,slot3:pvec,False,1.008147311930686,132.44603320652485
kt1_s01,1comp,1,1,5,bayesm,2,component,slot0:pvec,False,1.1891671056562954,7.23552649677961
kt1_s01,1comp,1,1,5,bayesm,2,component,slot4:pvec,False,1.026291459830803,74.9582290163951
kt1_s01,1comp,1,1,5,bayesm,2,component_after,slot0:pvec,True,1.0182420191081727,93.4009778112327
kt1_s01,1comp,1,1,5,bayesm,2,component_after,slot1:pvec,False,1.008078268471745,131.56197417527366
kt1_s01,1comp,1,1,5,bayesm,2,component_after,slot2:pvec,False,1.036828300669178,65.95778527498211
kt1_s01,1comp,1,1,5,bayesm,2,component_after,slot3:pvec,False,1.026291459830803,74.98487535737664
kt1_s01,1comp,1,1,5,bayesm,2,component_after,slot4:pvec,False,1.2950126196572391,5.091644715963164
kt1_s02,1comp,1,2,5,bayesm,2,invariant,E[u]_0,,1.0106215494460404,195.8393629295195
kt1_s02,1comp,1,2,5,bayesm,2,invariant,E[u]_1,,1.0008834999883776,2490.2125796831688
kt1_s02,1comp,1,2,5,bayesm,2,invariant,E[u]_2,,1.0025583839562993,834.2009238705498
kt1_s02,1comp,1,2,5,bayesm,2,invariant,E[u]_3,,1.0003950444204008,5916.2864995664295
kt1_s02,1comp,1,2,5,bayesm,2,invariant,pvec_sorted_0,,1.0014545662770615,1126.5451112356957
kt1_s02,1comp,1,2,5,bayesm,2,invariant,pvec_sorted_1,,1.0032868668135475,272.13396507619683
kt1_s02,1comp,1,2,5,bayesm,2,invariant,pvec_sorted_2,,1.0064303100670922,119.93341661588796
kt1_s02,1comp,1,2,5,bayesm,2,invariant,pvec_sorted_3,,1.0345022787127085,40.484562326701656
kt1_s02,1comp,1,2,5,bayesm,2,invariant,pvec_sorted_4,,1.03697734890033,40.12625572853791
kt1_s02,1comp,1,2,5,bayesm,2,invariant,tr(Cov[u]),,1.0006950401225965,1928.354203625977
