dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,demo,param,post_mean,post_std,ci_low,ci_high,true_value,bias,in_ci
kt1_s01,1comp,1,1,5,bayesm,2,z1,Alt1,-0.6178412950868842,0.1008402430933884,-0.8155508254918886,-0.4203006758610022,-0.5364821393558225,-0.0813591557310617,True
kt1_s01,1comp,1,1,5,bayesm,2,z1,Alt2,0.2347387048576014,0.1256247711521284,-0.0126415407420654,0.4809205512270334,0.2475793056001582,-0.0128406007425568,True
kt1_s01,1comp,1,1,5,bayesm,2,z1,Alt3,-0.5271364675334237,0.1028540251472998,-0.7279013440315102,-0.3248219972315501,-0.4760310503531295,-0.0511054171802942,True
kt1_s01,1comp,1,1,5,bayesm,2,z1,Price,-0.3307893338588164,0.0717753634277298,-0.4722788295402307,-0.1904003706748693,-0.2590727761993774,-0.071716557659439,True
kt1_s01,1comp,1,1,5,bayesm,2,z2,Alt1,-0.7973866934715518,0.0935863157440259,-0.9824631427322772,-0.6165355070936088,-0.7307018023610531,-0.0666848911104986,True
kt1_s01,1comp,1,1,5,bayesm,2,z2,Alt2,-0.3009186386500579,0.1170554468560865,-0.5310158217394096,-0.0702018401628468,-0.2581739543230111,-0.0427446843270468,True
kt1_s01,1comp,1,1,5,bayesm,2,z2,Alt3,0.1449571655675192,0.0968479232683902,-0.0449576513938916,0.335459811262388,0.1755584482554826,-0.0306012826879633,True
kt1_s01,1comp,1,1,5,bayesm,2,z2,Price,-0.0693841307711359,0.068120706504706,-0.2034270098787853,0.062927474248644,-0.0343852315393192,-0.0349988992318166,True
kt1_s02,1comp,1,2,5,bayesm,2,z1,Alt1,0.442905535340566,0.102099716032399,0.2444502232736606,0.6451164670953033,0.3018357303013135,0.1410698050392524,True
kt1_s02,1comp,1,2,5,bayesm,2,z1,Alt2,-0.0558157502079582,0.1070926415472444,-0.2674580619527787,0.154262701230972,-0.0398067260109982,-0.0160090241969599,True
kt1_s02,1comp,1,2,5,bayesm,2,z1,Alt3,-0.0918462605455551,0.0839363567530476,-0.2561906026016718,0.0712117518795006,-0.1056363457145037,0.0137900851689485,True
kt1_s02,1comp,1,2,5,bayesm,2,z1,Price,-0.8550658661915389,0.054813975201055,-0.9634689003465302,-0.7482053123847828,-0.8288673722166138,-0.0261984939749251,True
kt1_s02,1comp,1,2,5,bayesm,2,z2,Alt1,-0.8898064337367007,0.1090109916029631,-1.1055102513219308,-0.6792298476827383,-0.7505200449037671,-0.1392863888329335,True
kt1_s02,1comp,1,2,5,bayesm,2,z2,Alt2,-1.2571776797175498,0.1137302774976374,-1.4821788782032994,-1.035223135799248,-1.257719728072096,0.0005420483545461,True
kt1_s02,1comp,1,2,5,bayesm,2,z2,Alt3,-0.1678580026105428,0.0881494736878699,-0.3422710886546817,0.0045599365329206,-0.0514805156305497,-0.116377486979993,True
kt1_s02,1comp,1,2,5,bayesm,2,z2,Price,0.2700379833735954,0.0527870825185855,0.1661728248686344,0.3734168566765455,0.334614514620153,-0.0645765312465576,True
kt1_s03,1comp,1,3,5,bayesm,2,z1,Alt1,0.8490046315044346,0.0839692405388515,0.6856718920177843,1.0137946531362882,0.8340126354412922,0.0149919960631423,True
kt1_s03,1comp,1,3,5,bayesm,2,z1,Alt2,0.3476352189773153,0.115173273742419,0.1199361201304341,0.5738180943230028,0.1298441873508169,0.2177910316264984,True
kt1_s03,1comp,1,3,5,bayesm,2,z1,Alt3,0.2007515065543262,0.1069501285351121,-0.0099841881578116,0.4109359097927313,0.0551217712119262,0.1456297353423999,True
kt1_s03,1comp,1,3,5,bayesm,2,z1,Price,0.2308754207501476,0.1149404053781202,0.006513378528748,0.4564269572214844,0.289771673347487,-0.0588962525973393,True
