dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,mean_acceptance,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog
kt1_s01,1comp,1,1,5,hmc,2,pvec_latent,kernel_00,44,0.0022,0.9703488349914552,,,,,
kt1_s01,1comp,1,1,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,272,0.0136,0.8806617259979248,,,,,
kt1_s01,1comp,1,1,5,hmc,2,mu_k,kernel_02,8,0.0004,0.917499303817749,,,,,
kt1_s01,1comp,1,1,5,hmc,2,Delta,kernel_03,0,0.0,0.9102970957756042,,,,,
kt1_s01,1comp,1,1,5,hmc,2,beta_i,kernel_04,2212,0.1106,0.6700318455696106,,,,,
kt1_s02,1comp,1,2,5,hmc,2,pvec_latent,kernel_00,19,0.00095,0.9823617935180664,,,,,
kt1_s02,1comp,1,2,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,538,0.0269,0.8467956185340881,,,,,
kt1_s02,1comp,1,2,5,hmc,2,mu_k,kernel_02,829,0.04145,0.5888440012931824,,,,,
kt1_s02,1comp,1,2,5,hmc,2,Delta,kernel_03,0,0.0,0.9250794053077698,,,,,
kt1_s02,1comp,1,2,5,hmc,2,beta_i,kernel_04,0,0.0,0.9387630820274352,,,,,
kt1_s03,1comp,1,3,5,hmc,2,pvec_latent,kernel_00,28,0.0014,0.959762692451477,,,,,
kt1_s03,1comp,1,3,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,284,0.0142,0.9105472564697266,,,,,
kt1_s03,1comp,1,3,5,hmc,2,mu_k,kernel_02,11,0.00055,0.8871371150016785,,,,,
kt1_s03,1comp,1,3,5,hmc,2,Delta,kernel_03,0,0.0,0.9169430732727052,,,,,
kt1_s03,1comp,1,3,5,hmc,2,beta_i,kernel_04,0,0.0,0.9005189538002014,,,,,
kt1_s04,1comp,1,4,5,hmc,2,pvec_latent,kernel_00,31,0.00155,0.9618595838546752,,,,,
kt1_s04,1comp,1,4,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,287,0.01435,0.8489687442779541,,,,,
kt1_s04,1comp,1,4,5,hmc,2,mu_k,kernel_02,1516,0.0758,0.5412625670433044,,,,,
kt1_s04,1comp,1,4,5,hmc,2,Delta,kernel_03,0,0.0,0.9015008807182312,,,,,
kt1_s04,1comp,1,4,5,hmc,2,beta_i,kernel_04,0,0.0,0.9221640825271606,,,,,
kt1_s05,1comp,1,5,5,hmc,2,pvec_latent,kernel_00,1064,0.0532,0.9273353219032288,,,,,
kt1_s05,1comp,1,5,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,345,0.01725,0.8893524408340454,,,,,
kt1_s05,1comp,1,5,5,hmc,2,mu_k,kernel_02,151,0.00755,0.8584852814674377,,,,,
kt1_s05,1comp,1,5,5,hmc,2,Delta,kernel_03,0,0.0,0.9084463119506836,,,,,
kt1_s05,1comp,1,5,5,hmc,2,beta_i,kernel_04,0,0.0,0.8823516368865967,,,,,
kt1_s06,1comp,1,6,5,hmc,2,pvec_latent,kernel_00,18,0.0009,0.958012878894806,,,,,
kt1_s06,1comp,1,6,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,101,0.00505,0.9134168028831482,,,,,
kt1_s06,1comp,1,6,5,hmc,2,mu_k,kernel_02,2,0.0001,0.8872974514961243,,,,,
kt1_s06,1comp,1,6,5,hmc,2,Delta,kernel_03,0,0.0,0.9230377674102784,,,,,
kt1_s06,1comp,1,6,5,hmc,2,beta_i,kernel_04,0,0.0,0.9041820168495178,,,,,
kt1_s07,1comp,1,7,5,hmc,2,pvec_latent,kernel_00,9,0.00045,0.9621955156326294,,,,,
kt1_s07,1comp,1,7,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,209,0.01045,0.8989577293395996,,,,,
kt1_s07,1comp,1,7,5,hmc,2,mu_k,kernel_02,658,0.0329,0.7512297034263611,,,,,
kt1_s07,1comp,1,7,5,hmc,2,Delta,kernel_03,0,0.0,0.9312261939048768,,,,,
kt1_s07,1comp,1,7,5,hmc,2,beta_i,kernel_04,56,0.0028,0.7175323367118835,,,,,
kt1_s08,1comp,1,8,5,hmc,2,pvec_latent,kernel_00,598,0.0299,0.9096103310585022,,,,,
kt1_s08,1comp,1,8,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,125,0.00625,0.911137878894806,,,,,
kt1_s08,1comp,1,8,5,hmc,2,mu_k,kernel_02,548,0.0274,0.7061001062393188,,,,,
kt1_s08,1comp,1,8,5,hmc,2,Delta,kernel_03,0,0.0,0.9065896272659302,,,,,
kt1_s08,1comp,1,8,5,hmc,2,beta_i,kernel_04,0,0.0,0.9164265394210817,,,,,
kt1_s09,1comp,1,9,5,hmc,2,pvec_latent,kernel_00,2682,0.1341,0.8246486186981201,,,,,
kt1_s09,1comp,1,9,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,198,0.0099,0.884660542011261,,,,,
kt1_s09,1comp,1,9,5,hmc,2,mu_k,kernel_02,2,0.0001,0.9475359320640564,,,,,
kt1_s09,1comp,1,9,5,hmc,2,Delta,kernel_03,0,0.0,0.922568380832672,,,,,
kt1_s09,1comp,1,9,5,hmc,2,beta_i,kernel_04,0,0.0,0.905745804309845,,,,,
kt1_s100,1comp,1,100,5,hmc,2,pvec_latent,kernel_00,27,0.00135,0.9719138741493224,,,,,
kt1_s100,1comp,1,100,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,8,0.0004,0.9238441586494446,,,,,
kt1_s100,1comp,1,100,5,hmc,2,mu_k,kernel_02,0,0.0,0.9824489951133728,,,,,
kt1_s100,1comp,1,100,5,hmc,2,Delta,kernel_03,0,0.0,0.9172556400299072,,,,,
kt1_s100,1comp,1,100,5,hmc,2,beta_i,kernel_04,0,0.0,0.8998851776123047,,,,,
kt1_s101,1comp,1,101,5,hmc,2,pvec_latent,kernel_00,274,0.0137,0.8728663921356201,,,,,
kt1_s101,1comp,1,101,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,259,0.01295,0.9155039191246032,,,,,
kt1_s101,1comp,1,101,5,hmc,2,mu_k,kernel_02,114,0.0057,0.8669289946556091,,,,,
kt1_s101,1comp,1,101,5,hmc,2,Delta,kernel_03,0,0.0,0.9355050921440125,,,,,
kt1_s101,1comp,1,101,5,hmc,2,beta_i,kernel_04,0,0.0,0.9337778091430664,,,,,
kt1_s10,1comp,1,10,5,hmc,2,pvec_latent,kernel_00,1119,0.05595,0.9063357710838318,,,,,
kt1_s10,1comp,1,10,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,500,0.025,0.8334011435508728,,,,,
kt1_s10,1comp,1,10,5,hmc,2,mu_k,kernel_02,17,0.00085,0.861350417137146,,,,,
kt1_s10,1comp,1,10,5,hmc,2,Delta,kernel_03,0,0.0,0.9202695488929749,,,,,
kt1_s10,1comp,1,10,5,hmc,2,beta_i,kernel_04,0,0.0,0.9378408193588256,,,,,
kt1_s11,1comp,1,11,5,hmc,2,pvec_latent,kernel_00,962,0.0481,0.723393976688385,,,,,
kt1_s11,1comp,1,11,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,160,0.008,0.8208550810813904,,,,,
kt1_s11,1comp,1,11,5,hmc,2,mu_k,kernel_02,6290,0.3145,0.393444299697876,,,,,
kt1_s11,1comp,1,11,5,hmc,2,Delta,kernel_03,0,0.0,0.9093650579452516,,,,,
kt1_s11,1comp,1,11,5,hmc,2,beta_i,kernel_04,0,0.0,0.813617467880249,,,,,
kt1_s12,1comp,1,12,5,hmc,2,pvec_latent,kernel_00,32,0.0016,0.9822744131088256,,,,,
kt1_s12,1comp,1,12,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,280,0.014,0.8868177533149719,,,,,
kt1_s12,1comp,1,12,5,hmc,2,mu_k,kernel_02,3150,0.1575,0.6604750752449036,,,,,
kt1_s12,1comp,1,12,5,hmc,2,Delta,kernel_03,0,0.0,0.919139564037323,,,,,
kt1_s12,1comp,1,12,5,hmc,2,beta_i,kernel_04,0,0.0,0.9196605682373048,,,,,
kt1_s13,1comp,1,13,5,hmc,2,pvec_latent,kernel_00,805,0.04025,0.9032629132270812,,,,,
kt1_s13,1comp,1,13,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,1082,0.0541,0.8107333183288574,,,,,
kt1_s13,1comp,1,13,5,hmc,2,mu_k,kernel_02,621,0.03105,0.848468542098999,,,,,
kt1_s13,1comp,1,13,5,hmc,2,Delta,kernel_03,0,0.0,0.9158687591552734,,,,,
kt1_s13,1comp,1,13,5,hmc,2,beta_i,kernel_04,0,0.0,0.8991451263427734,,,,,
kt1_s14,1comp,1,14,5,hmc,2,pvec_latent,kernel_00,1345,0.06725,0.9088807702064514,,,,,
kt1_s14,1comp,1,14,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,37,0.00185,0.9231900572776794,,,,,
kt1_s14,1comp,1,14,5,hmc,2,mu_k,kernel_02,2814,0.1407,0.5012183785438538,,,,,
kt1_s14,1comp,1,14,5,hmc,2,Delta,kernel_03,0,0.0,0.947275459766388,,,,,
