dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,converged,n_iter,switching_rate,verdict,gate_passed,invariant_pvec_sorted_rhat,alloc_accuracy,adjusted_rand
kt1_s01,1comp,1,1,5,bayesm,2,True,3,0.42825,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.022745426535075,1.0,1.0
kt1_s02,1comp,1,2,5,bayesm,2,True,3,0.5773,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.03697734890033,1.0,1.0
kt1_s03,1comp,1,3,5,bayesm,2,True,3,0.6698,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.061772610418007,1.0,1.0
kt1_s04,1comp,1,4,5,bayesm,2,True,2,0.53855,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.039070178616032,0.9966666666666668,0.0
kt1_s05,1comp,1,5,5,bayesm,2,True,3,0.5,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.003531906114106,1.0,1.0
kt1_s06,1comp,1,6,5,bayesm,2,True,2,0.59245,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.051814560622999,1.0,1.0
kt1_s07,1comp,1,7,5,bayesm,2,True,2,0.18285,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0458882146300186,1.0,1.0
kt1_s08,1comp,1,8,5,bayesm,2,True,3,0.69375,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0146132669141172,1.0,1.0
kt1_s09,1comp,1,9,5,bayesm,2,True,3,0.5,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0006888394013311,1.0,1.0
kt1_s100,1comp,1,100,5,bayesm,2,True,3,0.804,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.1011688390033965,1.0,1.0
kt1_s101,1comp,1,101,5,bayesm,2,True,3,0.93685,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.34382608942619,0.9933333333333332,0.0
kt1_s10,1comp,1,10,5,bayesm,2,True,2,0.33785,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0180583075726592,1.0,1.0
kt1_s11,1comp,1,11,5,bayesm,2,True,4,0.5202,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.230903731068547,0.8433333333333334,0.0
kt1_s12,1comp,1,12,5,bayesm,2,True,4,0.37275,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.2242473283541164,0.96,0.0
kt1_s13,1comp,1,13,5,bayesm,2,True,2,0.6388,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.072760429841742,1.0,1.0
kt1_s14,1comp,1,14,5,bayesm,2,True,2,0.18025,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.1764494408389707,1.0,1.0
kt1_s15,1comp,1,15,5,bayesm,2,True,2,0.74155,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0941088874599854,1.0,1.0
kt1_s16,1comp,1,16,5,bayesm,2,True,3,0.54265,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.3284564587124112,0.98,0.0
kt1_s17,1comp,1,17,5,bayesm,2,True,3,0.51005,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0259437060252132,1.0,1.0
kt1_s18,1comp,1,18,5,bayesm,2,True,4,0.5,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0906643241398255,1.0,1.0
kt1_s19,1comp,1,19,5,bayesm,2,True,2,0.84495,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.1457549404265583,0.9966666666666668,0.0
kt1_s20,1comp,1,20,5,bayesm,2,True,2,0.5834,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.1655843387145397,1.0,1.0
kt1_s21,1comp,1,21,5,bayesm,2,True,3,0.5,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.1254099190419302,1.0,1.0
kt1_s22,1comp,1,22,5,bayesm,2,True,3,0.5527,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.5771747659167177,0.9933333333333332,0.0
kt1_s23,1comp,1,23,5,bayesm,2,True,3,0.77975,"MULTIMODAL (genuine - sorting removed labels, so not a label artifact; ECR aligns within-mode only)",False,1.3788409098400964,0.9966666666666668,0.0
kt1_s24,1comp,1,24,5,bayesm,2,True,3,0.75655,PERMUTATION-FIXED (label switching was present and has been aligned by ECR),True,1.0106077908100914,1.0,1.0
