dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,grid,param,retained_mass_model,retained_mass_true,Hellinger,KL,JSD,TVD,Wasserstein1
kt1_s01,1comp,1,1,5,bayesm,2,full,Alt1,0.9999999999999998,1.0,0.07728,inf,0.00438,0.02218,0.15985
kt1_s01,1comp,1,1,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.09619,inf,0.00783,0.06831,0.31868
kt1_s01,1comp,1,1,5,bayesm,2,full,Alt3,0.9999999999999996,1.0,0.09599,inf,0.00778,0.07802,0.25679
kt1_s01,1comp,1,1,5,bayesm,2,full,Price,0.9999999999999998,1.0,0.10775,inf,0.0091,0.06633,0.29626
kt1_s01,1comp,1,1,5,bayesm,2,chebyshev,Alt1,0.9949854547923216,1.0,0.0589,0.10865,0.00264,0.01967,0.05372
kt1_s01,1comp,1,1,5,bayesm,2,chebyshev,Alt2,0.9955951918315852,1.0,0.08404,0.08035,0.00631,0.06623,0.21618
kt1_s01,1comp,1,1,5,bayesm,2,chebyshev,Alt3,0.9948134824974342,1.0,0.08145,0.07992,0.00599,0.07157,0.15661
kt1_s01,1comp,1,1,5,bayesm,2,chebyshev,Price,0.9933936008732316,1.0,0.09126,0.24903,0.00682,0.06445,0.17043
kt1_s02,1comp,1,2,5,bayesm,2,full,Alt1,0.9999999999999998,1.0,0.10532,1.17275,0.00857,0.04977,0.31558
kt1_s02,1comp,1,2,5,bayesm,2,full,Alt2,0.9999999999999996,1.0,0.08381,inf,0.00569,0.05101,0.26281
kt1_s02,1comp,1,2,5,bayesm,2,full,Alt3,0.9999999999999998,1.0,0.10683,0.99003,0.00998,0.0907,0.32357
kt1_s02,1comp,1,2,5,bayesm,2,full,Price,0.9999999999999994,1.0,0.07557,inf,0.00425,0.03178,0.16323
kt1_s02,1comp,1,2,5,bayesm,2,chebyshev,Alt1,0.994501874795931,1.0,0.09144,0.22625,0.00667,0.04826,0.19999
kt1_s02,1comp,1,2,5,bayesm,2,chebyshev,Alt2,0.9953336412432472,1.0,0.06855,0.07084,0.00408,0.04677,0.15661
kt1_s02,1comp,1,2,5,bayesm,2,chebyshev,Alt3,0.9945825599451956,1.0,0.0934,0.09677,0.00812,0.0883,0.21411
kt1_s02,1comp,1,2,5,bayesm,2,chebyshev,Price,0.994764287284948,1.0,0.05565,0.12228,0.00243,0.02996,0.05478
kt1_s03,1comp,1,3,5,bayesm,2,full,Alt1,1.0,1.0,0.08497,inf,0.00533,0.02993,0.18062
kt1_s03,1comp,1,3,5,bayesm,2,full,Alt2,0.9999999999999996,1.0,0.10662,inf,0.00933,0.06514,0.29818
kt1_s03,1comp,1,3,5,bayesm,2,full,Alt3,1.0,1.0,0.08307,inf,0.00506,0.02136,0.19922
kt1_s03,1comp,1,3,5,bayesm,2,full,Price,0.9999999999999996,1.0,0.08704,inf,0.00574,0.04341,0.27848
kt1_s03,1comp,1,3,5,bayesm,2,chebyshev,Alt1,0.9947385514558966,1.0,0.06929,0.17805,0.00371,0.03316,0.0858
