dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,mix_mean,mix_var,true_mix_mean,true_mix_var
kt1_s01,1comp,1,1,5,bayesm,2,Alt1,1.2992997325657305,4.691689621331222,1.3488837532338342,0.980478988733047
kt1_s01,1comp,1,1,5,bayesm,2,Alt2,3.881285164338024,6.173259601317803,4.032261732303053,1.973736417462343
kt1_s01,1comp,1,1,5,bayesm,2,Alt3,2.9928875096653207,4.956108344796176,3.1409076785387526,1.4544591887839753
kt1_s01,1comp,1,1,5,bayesm,2,Price,-2.602473200018204,5.529938533459916,-2.659471067868853,1.0626365275908665
kt1_s02,1comp,1,2,5,bayesm,2,Alt1,-0.1889922992775552,5.679067993697187,0.0094373372943279,1.160667180427336
kt1_s02,1comp,1,2,5,bayesm,2,Alt2,2.8830225192483567,6.272185678217631,2.8230101530020497,1.9297224751640392
kt1_s02,1comp,1,2,5,bayesm,2,Alt3,2.8523509981911035,5.06324183505088,3.0634698353549146,1.2453319964279914
kt1_s02,1comp,1,2,5,bayesm,2,Price,-1.0209124878095823,4.404392028274946,-1.064946951984722,0.6893489723410526
kt1_s03,1comp,1,3,5,bayesm,2,Alt1,0.0643731172408762,4.463275806628771,0.0362551464732347,0.662448176245304
kt1_s03,1comp,1,3,5,bayesm,2,Alt2,-2.338254702241101,5.780221479188166,-2.2528196751367617,1.339494378938727
kt1_s03,1comp,1,3,5,bayesm,2,Alt3,3.449015434602173,5.740345264685571,3.4246844401935923,1.449105070625493
kt1_s03,1comp,1,3,5,bayesm,2,Price,4.906459714427178,7.375025989045543,4.988737478761852,1.8891764487765303
kt1_s04,1comp,1,4,5,bayesm,2,Alt1,-2.7249309276657763,7.547685858795043,-2.721426421735476,1.6548277577626724
kt1_s04,1comp,1,4,5,bayesm,2,Alt2,0.0652147777719685,4.487616083606439,0.0433351841974682,0.6363739699811526
kt1_s04,1comp,1,4,5,bayesm,2,Alt3,-2.153176534735984,4.708026879645201,-2.168375722162227,1.1241908818288822
kt1_s04,1comp,1,4,5,bayesm,2,Price,-1.766929723418762,7.503712312767616,-1.94012267912262,1.423666659255773
