dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,stage,rank,pvec_mean
kt1_s01,1comp,1,1,5,bayesm,2,before,0,0.5573288047098675
kt1_s01,1comp,1,1,5,bayesm,2,before,1,0.4126733330948715
kt1_s01,1comp,1,1,5,bayesm,2,before,2,0.0127389957768994
kt1_s01,1comp,1,1,5,bayesm,2,before,3,0.0089805496011144
kt1_s01,1comp,1,1,5,bayesm,2,before,4,0.0082783168172519
kt1_s01,1comp,1,1,5,bayesm,2,after,0,0.9635443794872312
kt1_s01,1comp,1,1,5,bayesm,2,after,1,0.0117283458708033
kt1_s01,1comp,1,1,5,bayesm,2,after,2,0.0086701746798955
kt1_s01,1comp,1,1,5,bayesm,2,after,3,0.0082140493584137
kt1_s01,1comp,1,1,5,bayesm,2,after,4,0.0078430506036562
kt1_s02,1comp,1,2,5,bayesm,2,before,0,0.4016486012232177
kt1_s02,1comp,1,2,5,bayesm,2,before,1,0.4010176450492527
kt1_s02,1comp,1,2,5,bayesm,2,before,2,0.0944034124915649
kt1_s02,1comp,1,2,5,bayesm,2,before,3,0.0934642598790441
kt1_s02,1comp,1,2,5,bayesm,2,before,4,0.0094660813569234
kt1_s02,1comp,1,2,5,bayesm,2,after,0,0.9534072171147489
kt1_s02,1comp,1,2,5,bayesm,2,after,1,0.0202099219897792
kt1_s02,1comp,1,2,5,bayesm,2,after,2,0.0130950153320334
kt1_s02,1comp,1,2,5,bayesm,2,after,3,0.0091059648814499
kt1_s02,1comp,1,2,5,bayesm,2,after,4,0.0041818806819884
kt1_s03,1comp,1,3,5,bayesm,2,before,0,0.4868283113569177
kt1_s03,1comp,1,3,5,bayesm,2,before,1,0.4244816520633743
kt1_s03,1comp,1,3,5,bayesm,2,before,2,0.0715422827372321
kt1_s03,1comp,1,3,5,bayesm,2,before,3,0.0093796443199879
kt1_s03,1comp,1,3,5,bayesm,2,before,4,0.0077681095224915
kt1_s03,1comp,1,3,5,bayesm,2,after,0,0.9583270951005354
kt1_s03,1comp,1,3,5,bayesm,2,after,1,0.0165354061713562
kt1_s03,1comp,1,3,5,bayesm,2,after,2,0.016005333074556
kt1_s03,1comp,1,3,5,bayesm,2,after,3,0.005779695814639
kt1_s03,1comp,1,3,5,bayesm,2,after,4,0.0033524698389132
kt1_s04,1comp,1,4,5,bayesm,2,before,0,0.5032034331391231
kt1_s04,1comp,1,4,5,bayesm,2,before,1,0.4801401881406094
kt1_s04,1comp,1,4,5,bayesm,2,before,2,0.0076957449703034
kt1_s04,1comp,1,4,5,bayesm,2,before,3,0.0047105227814569
kt1_s04,1comp,1,4,5,bayesm,2,before,4,0.0042501109685109
kt1_s04,1comp,1,4,5,bayesm,2,after,0,0.9750090191247748
kt1_s04,1comp,1,4,5,bayesm,2,after,1,0.0076713902716955
kt1_s04,1comp,1,4,5,bayesm,2,after,2,0.0074831990079778
kt1_s04,1comp,1,4,5,bayesm,2,after,3,0.0065353658825504
kt1_s04,1comp,1,4,5,bayesm,2,after,4,0.003301025713001
kt1_s05,1comp,1,5,5,bayesm,2,before,0,0.4949561187123635
kt1_s05,1comp,1,5,5,bayesm,2,before,1,0.4944137081830799
kt1_s05,1comp,1,5,5,bayesm,2,before,2,0.0037171705148973
kt1_s05,1comp,1,5,5,bayesm,2,before,3,0.0035429965283775
kt1_s05,1comp,1,5,5,bayesm,2,before,4,0.0033700060612818
kt1_s05,1comp,1,5,5,bayesm,2,after,0,0.9854292933660816
kt1_s05,1comp,1,5,5,bayesm,2,after,1,0.0039753894812415
kt1_s05,1comp,1,5,5,bayesm,2,after,2,0.0037171705148973
kt1_s05,1comp,1,5,5,bayesm,2,after,3,0.0035081405764976
kt1_s05,1comp,1,5,5,bayesm,2,after,4,0.0033700060612818
kt1_s06,1comp,1,6,5,bayesm,2,before,0,0.4825980090041208
kt1_s06,1comp,1,6,5,bayesm,2,before,1,0.2959995121239821
kt1_s06,1comp,1,6,5,bayesm,2,before,2,0.1996358540168464
kt1_s06,1comp,1,6,5,bayesm,2,before,3,0.0137385469765025
kt1_s06,1comp,1,6,5,bayesm,2,before,4,0.0080280778785461
kt1_s06,1comp,1,6,5,bayesm,2,after,0,0.9565991456068874
kt1_s06,1comp,1,6,5,bayesm,2,after,1,0.0173228859281791
kt1_s06,1comp,1,6,5,bayesm,2,after,2,0.0150905970574674
kt1_s06,1comp,1,6,5,bayesm,2,after,3,0.0072145957443508
kt1_s06,1comp,1,6,5,bayesm,2,after,4,0.0037727756631152
kt1_s07,1comp,1,7,5,bayesm,2,before,0,0.8721026519962759
kt1_s07,1comp,1,7,5,bayesm,2,before,1,0.1026114813067555
kt1_s07,1comp,1,7,5,bayesm,2,before,2,0.0097742665424951
kt1_s07,1comp,1,7,5,bayesm,2,before,3,0.009631579626638
kt1_s07,1comp,1,7,5,bayesm,2,before,4,0.005880020527844
kt1_s07,1comp,1,7,5,bayesm,2,after,0,0.9623503649848232
kt1_s07,1comp,1,7,5,bayesm,2,after,1,0.0133942274167708
kt1_s07,1comp,1,7,5,bayesm,2,after,2,0.0096622471569111
kt1_s07,1comp,1,7,5,bayesm,2,after,3,0.0087131399136506
kt1_s07,1comp,1,7,5,bayesm,2,after,4,0.0058800205278441
kt1_s08,1comp,1,8,5,bayesm,2,before,0,0.4922517376598408
kt1_s08,1comp,1,8,5,bayesm,2,before,1,0.4922419551874838
kt1_s08,1comp,1,8,5,bayesm,2,before,2,0.0077687015589669
kt1_s08,1comp,1,8,5,bayesm,2,before,3,0.0041042801670723
kt1_s08,1comp,1,8,5,bayesm,2,before,4,0.0036333254266342
kt1_s08,1comp,1,8,5,bayesm,2,after,0,0.9802699952889056
kt1_s08,1comp,1,8,5,bayesm,2,after,1,0.0063792650751945
kt1_s08,1comp,1,8,5,bayesm,2,after,2,0.0063699148131581
kt1_s08,1comp,1,8,5,bayesm,2,after,3,0.0036333254266342
kt1_s08,1comp,1,8,5,bayesm,2,after,4,0.0033474993961075
kt1_s09,1comp,1,9,5,bayesm,2,before,0,0.4939662074948546
kt1_s09,1comp,1,9,5,bayesm,2,before,1,0.493637027734701
kt1_s09,1comp,1,9,5,bayesm,2,before,2,0.0050082282931421
kt1_s09,1comp,1,9,5,bayesm,2,before,3,0.0037847421156846
kt1_s09,1comp,1,9,5,bayesm,2,before,4,0.0036037943616211
kt1_s09,1comp,1,9,5,bayesm,2,after,0,0.9838520786374334
kt1_s09,1comp,1,9,5,bayesm,2,after,1,0.0050082282931421
kt1_s09,1comp,1,9,5,bayesm,2,after,2,0.0037847421156845
kt1_s09,1comp,1,9,5,bayesm,2,after,3,0.0037511565921186
kt1_s09,1comp,1,9,5,bayesm,2,after,4,0.0036037943616211
kt1_s100,1comp,1,100,5,bayesm,2,before,0,0.4880112876304012
kt1_s100,1comp,1,100,5,bayesm,2,before,1,0.4766654476144592
kt1_s100,1comp,1,100,5,bayesm,2,before,2,0.0172905734583612
kt1_s100,1comp,1,100,5,bayesm,2,before,3,0.0121592870170107
kt1_s100,1comp,1,100,5,bayesm,2,before,4,0.0058734042797677
kt1_s100,1comp,1,100,5,bayesm,2,after,0,0.9566778603220136
kt1_s100,1comp,1,100,5,bayesm,2,after,1,0.0187105754550101
kt1_s100,1comp,1,100,5,bayesm,2,after,2,0.0152642700084037
kt1_s100,1comp,1,100,5,bayesm,2,after,3,0.006068977924683
kt1_s100,1comp,1,100,5,bayesm,2,after,4,0.0032783162898893
kt1_s101,1comp,1,101,5,bayesm,2,before,0,0.4800314913214322
kt1_s101,1comp,1,101,5,bayesm,2,before,1,0.4154551122842461
kt1_s101,1comp,1,101,5,bayesm,2,before,2,0.0911222989884078
kt1_s101,1comp,1,101,5,bayesm,2,before,3,0.0089283608221753
kt1_s101,1comp,1,101,5,bayesm,2,before,4,0.0044627365837372
kt1_s101,1comp,1,101,5,bayesm,2,after,0,0.9651729001533776
kt1_s101,1comp,1,101,5,bayesm,2,after,1,0.0113320351965411
kt1_s101,1comp,1,101,5,bayesm,2,after,2,0.0101689682817118
kt1_s101,1comp,1,101,5,bayesm,2,after,3,0.0067699950959414
kt1_s101,1comp,1,101,5,bayesm,2,after,4,0.0065561012724281
kt1_s10,1comp,1,10,5,bayesm,2,before,0,0.7175486093899098
kt1_s10,1comp,1,10,5,bayesm,2,before,1,0.2612790369890151
kt1_s10,1comp,1,10,5,bayesm,2,before,2,0.0100901936721986
kt1_s10,1comp,1,10,5,bayesm,2,before,3,0.005760934204309
kt1_s10,1comp,1,10,5,bayesm,2,before,4,0.0053212257445661
kt1_s10,1comp,1,10,5,bayesm,2,after,0,0.9731876571533434
kt1_s10,1comp,1,10,5,bayesm,2,after,1,0.0072407978535316
kt1_s10,1comp,1,10,5,bayesm,2,after,2,0.0071936166040689
kt1_s10,1comp,1,10,5,bayesm,2,after,3,0.0070567026444898
kt1_s10,1comp,1,10,5,bayesm,2,after,4,0.0053212257445661
kt1_s11,1comp,1,11,5,bayesm,2,before,0,0.4210499845883737
kt1_s11,1comp,1,11,5,bayesm,2,before,1,0.4165271217026486
kt1_s11,1comp,1,11,5,bayesm,2,before,2,0.089466033153543
kt1_s11,1comp,1,11,5,bayesm,2,before,3,0.0655144246507364
kt1_s11,1comp,1,11,5,bayesm,2,before,4,0.0074424359046999
kt1_s11,1comp,1,11,5,bayesm,2,after,0,0.803016184596377
kt1_s11,1comp,1,11,5,bayesm,2,after,1,0.1587507619355233
kt1_s11,1comp,1,11,5,bayesm,2,after,2,0.0196295778325584
kt1_s11,1comp,1,11,5,bayesm,2,after,3,0.0138459131960515
kt1_s11,1comp,1,11,5,bayesm,2,after,4,0.0047575624394895
kt1_s12,1comp,1,12,5,bayesm,2,before,0,0.803101409901303
kt1_s12,1comp,1,12,5,bayesm,2,before,1,0.0881370139506543
kt1_s12,1comp,1,12,5,bayesm,2,before,2,0.0847110022617861
kt1_s12,1comp,1,12,5,bayesm,2,before,3,0.0172935918926471
kt1_s12,1comp,1,12,5,bayesm,2,before,4,0.0067569819936103
kt1_s12,1comp,1,12,5,bayesm,2,after,0,0.9316807904891736
kt1_s12,1comp,1,12,5,bayesm,2,after,1,0.0394411378816025
kt1_s12,1comp,1,12,5,bayesm,2,after,2,0.0140729597736182
kt1_s12,1comp,1,12,5,bayesm,2,after,3,0.0084907185326065
kt1_s12,1comp,1,12,5,bayesm,2,after,4,0.006314393322999
kt1_s13,1comp,1,13,5,bayesm,2,before,0,0.9733094451168364
kt1_s13,1comp,1,13,5,bayesm,2,before,1,0.0079314410162822
kt1_s13,1comp,1,13,5,bayesm,2,before,2,0.0066695269125529
kt1_s13,1comp,1,13,5,bayesm,2,before,3,0.0065115305544794
kt1_s13,1comp,1,13,5,bayesm,2,before,4,0.0055780563998489
kt1_s13,1comp,1,13,5,bayesm,2,after,0,0.9733094451168364
kt1_s13,1comp,1,13,5,bayesm,2,after,1,0.0149306822433364
kt1_s13,1comp,1,13,5,bayesm,2,after,2,0.0045930018958507
kt1_s13,1comp,1,13,5,bayesm,2,after,3,0.0038800131873141
kt1_s13,1comp,1,13,5,bayesm,2,after,4,0.0032868575566622
kt1_s14,1comp,1,14,5,bayesm,2,before,0,0.8941817603859324
kt1_s14,1comp,1,14,5,bayesm,2,before,1,0.050813488646389
kt1_s14,1comp,1,14,5,bayesm,2,before,2,0.0264852845116229
kt1_s14,1comp,1,14,5,bayesm,2,before,3,0.0198912661125533
kt1_s14,1comp,1,14,5,bayesm,2,before,4,0.0086282003435033
kt1_s14,1comp,1,14,5,bayesm,2,after,0,0.8985355301371128
kt1_s14,1comp,1,14,5,bayesm,2,after,1,0.0492742466241788
kt1_s14,1comp,1,14,5,bayesm,2,after,2,0.0237192259837669
kt1_s14,1comp,1,14,5,bayesm,2,after,3,0.0205216380430617
kt1_s14,1comp,1,14,5,bayesm,2,after,4,0.0079493592118794
kt1_s15,1comp,1,15,5,bayesm,2,before,0,0.6271112786857408
kt1_s15,1comp,1,15,5,bayesm,2,before,1,0.3117924102928563
kt1_s15,1comp,1,15,5,bayesm,2,before,2,0.0506211478620764
kt1_s15,1comp,1,15,5,bayesm,2,before,3,0.0057763241176861
kt1_s15,1comp,1,15,5,bayesm,2,before,4,0.00469883904164
kt1_s15,1comp,1,15,5,bayesm,2,after,0,0.9667572810600716
kt1_s15,1comp,1,15,5,bayesm,2,after,1,0.0214552740649712
kt1_s15,1comp,1,15,5,bayesm,2,after,2,0.0046639033621596
kt1_s15,1comp,1,15,5,bayesm,2,after,3,0.0038408764195243
kt1_s15,1comp,1,15,5,bayesm,2,after,4,0.0032826650932735
kt1_s16,1comp,1,16,5,bayesm,2,before,0,0.3781512499820091
kt1_s16,1comp,1,16,5,bayesm,2,before,1,0.3760732950682883
kt1_s16,1comp,1,16,5,bayesm,2,before,2,0.1288110473096675
kt1_s16,1comp,1,16,5,bayesm,2,before,3,0.1102667932136708
kt1_s16,1comp,1,16,5,bayesm,2,before,4,0.0066976144263629
kt1_s16,1comp,1,16,5,bayesm,2,after,0,0.8638122623175696
kt1_s16,1comp,1,16,5,bayesm,2,after,1,0.1100430705892585
kt1_s16,1comp,1,16,5,bayesm,2,after,2,0.0150709907769501
kt1_s16,1comp,1,16,5,bayesm,2,after,3,0.0056835341302829
kt1_s16,1comp,1,16,5,bayesm,2,after,4,0.0053901421859389
kt1_s17,1comp,1,17,5,bayesm,2,before,0,0.4781354172609458
kt1_s17,1comp,1,17,5,bayesm,2,before,1,0.4567133210090417
kt1_s17,1comp,1,17,5,bayesm,2,before,2,0.0469851745318269
kt1_s17,1comp,1,17,5,bayesm,2,before,3,0.0128251037220527
kt1_s17,1comp,1,17,5,bayesm,2,before,4,0.0053409834761357
kt1_s17,1comp,1,17,5,bayesm,2,after,0,0.9564240382006376
kt1_s17,1comp,1,17,5,bayesm,2,after,1,0.024102977213842
kt1_s17,1comp,1,17,5,bayesm,2,after,2,0.0094925594607877
kt1_s17,1comp,1,17,5,bayesm,2,after,3,0.0053409834761357
kt1_s17,1comp,1,17,5,bayesm,2,after,4,0.0046394416485966
kt1_s18,1comp,1,18,5,bayesm,2,before,0,0.4918335927594994
kt1_s18,1comp,1,18,5,bayesm,2,before,1,0.4889459872735808
kt1_s18,1comp,1,18,5,bayesm,2,before,2,0.0083023083794141
kt1_s18,1comp,1,18,5,bayesm,2,before,3,0.0070413145904475
kt1_s18,1comp,1,18,5,bayesm,2,before,4,0.0038767969970508
kt1_s18,1comp,1,18,5,bayesm,2,after,0,0.9767389458157504
kt1_s18,1comp,1,18,5,bayesm,2,after,1,0.0083023083794141
kt1_s18,1comp,1,18,5,bayesm,2,after,2,0.0070413145904475
kt1_s18,1comp,1,18,5,bayesm,2,after,3,0.0044507517221483
kt1_s18,1comp,1,18,5,bayesm,2,after,4,0.0034666794922396
kt1_s19,1comp,1,19,5,bayesm,2,before,0,0.4809075258908366
kt1_s19,1comp,1,19,5,bayesm,2,before,1,0.3327199001154611
kt1_s19,1comp,1,19,5,bayesm,2,before,2,0.1559867044527489
kt1_s19,1comp,1,19,5,bayesm,2,before,3,0.0241753846167615
kt1_s19,1comp,1,19,5,bayesm,2,before,4,0.0062104849241925
kt1_s19,1comp,1,19,5,bayesm,2,after,0,0.9224857514866442
kt1_s19,1comp,1,19,5,bayesm,2,after,1,0.0409838101032522
kt1_s19,1comp,1,19,5,bayesm,2,after,2,0.0279649765814341
kt1_s19,1comp,1,19,5,bayesm,2,after,3,0.0048293916616576
kt1_s19,1comp,1,19,5,bayesm,2,after,4,0.0037360701670116
kt1_s20,1comp,1,20,5,bayesm,2,before,0,0.4938844498339597
kt1_s20,1comp,1,20,5,bayesm,2,before,1,0.3766616252387449
kt1_s20,1comp,1,20,5,bayesm,2,before,2,0.0784885352630229
kt1_s20,1comp,1,20,5,bayesm,2,before,3,0.0432104980579668
kt1_s20,1comp,1,20,5,bayesm,2,before,4,0.0077548916063051
kt1_s20,1comp,1,20,5,bayesm,2,after,0,0.9244658379813898
kt1_s20,1comp,1,20,5,bayesm,2,after,1,0.0291910963336464
kt1_s20,1comp,1,20,5,bayesm,2,after,2,0.0269106283390134
kt1_s20,1comp,1,20,5,bayesm,2,after,3,0.0116736190591455
kt1_s20,1comp,1,20,5,bayesm,2,after,4,0.0077588182868046
kt1_s21,1comp,1,21,5,bayesm,2,before,0,0.4938264375887758
kt1_s21,1comp,1,21,5,bayesm,2,before,1,0.4930205730675364
kt1_s21,1comp,1,21,5,bayesm,2,before,2,0.0058722835390851
kt1_s21,1comp,1,21,5,bayesm,2,before,3,0.0039236127185496
kt1_s21,1comp,1,21,5,bayesm,2,before,4,0.0033570930860555
kt1_s21,1comp,1,21,5,bayesm,2,after,0,0.9816431230223354
kt1_s21,1comp,1,21,5,bayesm,2,after,1,0.0058722835390851
kt1_s21,1comp,1,21,5,bayesm,2,after,2,0.0055814781634173
kt1_s21,1comp,1,21,5,bayesm,2,after,3,0.0035480813566169
kt1_s21,1comp,1,21,5,bayesm,2,after,4,0.0033550339185451
kt1_s22,1comp,1,22,5,bayesm,2,before,0,0.5107107624350531
kt1_s22,1comp,1,22,5,bayesm,2,before,1,0.4137435115877491
kt1_s22,1comp,1,22,5,bayesm,2,before,2,0.0330618622934896
kt1_s22,1comp,1,22,5,bayesm,2,before,3,0.025513495029615
kt1_s22,1comp,1,22,5,bayesm,2,before,4,0.0169703686540958
kt1_s22,1comp,1,22,5,bayesm,2,after,0,0.875321830528661
kt1_s22,1comp,1,22,5,bayesm,2,after,1,0.0564643423410713
kt1_s22,1comp,1,22,5,bayesm,2,after,2,0.0313815856752979
kt1_s22,1comp,1,22,5,bayesm,2,after,3,0.0224593353450176
kt1_s22,1comp,1,22,5,bayesm,2,after,4,0.0143729061099519
kt1_s23,1comp,1,23,5,bayesm,2,before,0,0.499553131078524
kt1_s23,1comp,1,23,5,bayesm,2,before,1,0.4652395859902674
kt1_s23,1comp,1,23,5,bayesm,2,before,2,0.0156581623445213
kt1_s23,1comp,1,23,5,bayesm,2,before,3,0.0098423431309832
kt1_s23,1comp,1,23,5,bayesm,2,before,4,0.0097067774557033
kt1_s23,1comp,1,23,5,bayesm,2,after,0,0.949593634508258
kt1_s23,1comp,1,23,5,bayesm,2,after,1,0.0262930280609791
kt1_s23,1comp,1,23,5,bayesm,2,after,2,0.012469021599624
kt1_s23,1comp,1,23,5,bayesm,2,after,3,0.0065282588635259
kt1_s23,1comp,1,23,5,bayesm,2,after,4,0.0051160569676125
kt1_s24,1comp,1,24,5,bayesm,2,before,0,0.3622697538912351
kt1_s24,1comp,1,24,5,bayesm,2,before,1,0.3155404913597462
kt1_s24,1comp,1,24,5,bayesm,2,before,2,0.1684871638815771
kt1_s24,1comp,1,24,5,bayesm,2,before,3,0.1499830103477964
kt1_s24,1comp,1,24,5,bayesm,2,before,4,0.0037195805196463
kt1_s24,1comp,1,24,5,bayesm,2,after,0,0.9648718127795496
kt1_s24,1comp,1,24,5,bayesm,2,after,1,0.0173849984431015
kt1_s24,1comp,1,24,5,bayesm,2,after,2,0.0099282482138237
kt1_s24,1comp,1,24,5,bayesm,2,after,3,0.0045434735240046
kt1_s24,1comp,1,24,5,bayesm,2,after,4,0.0032714670395204
kt1_s25,1comp,1,25,5,bayesm,2,before,0,0.8756287401655838
kt1_s25,1comp,1,25,5,bayesm,2,before,1,0.0873714201472155
kt1_s25,1comp,1,25,5,bayesm,2,before,2,0.0167947468413667
kt1_s25,1comp,1,25,5,bayesm,2,before,3,0.0112963363768998
kt1_s25,1comp,1,25,5,bayesm,2,before,4,0.0089087564689376
kt1_s25,1comp,1,25,5,bayesm,2,after,0,0.9401940706808792
kt1_s25,1comp,1,25,5,bayesm,2,after,1,0.0271338230246124
kt1_s25,1comp,1,25,5,bayesm,2,after,2,0.0167846937833778
kt1_s25,1comp,1,25,5,bayesm,2,after,3,0.0112367613147413
kt1_s25,1comp,1,25,5,bayesm,2,after,4,0.004650651196389
kt1_s26,1comp,1,26,5,bayesm,2,before,0,0.4956806267789014
kt1_s26,1comp,1,26,5,bayesm,2,before,1,0.4934104178782445
kt1_s26,1comp,1,26,5,bayesm,2,before,2,0.0039656067464672
kt1_s26,1comp,1,26,5,bayesm,2,before,3,0.0035275878050864
kt1_s26,1comp,1,26,5,bayesm,2,before,4,0.0034157607913014
kt1_s26,1comp,1,26,5,bayesm,2,after,0,0.984707282781106
kt1_s26,1comp,1,26,5,bayesm,2,after,1,0.0049819768905804
kt1_s26,1comp,1,26,5,bayesm,2,after,2,0.0035275878050865
kt1_s26,1comp,1,26,5,bayesm,2,after,3,0.0034157607913014
kt1_s26,1comp,1,26,5,bayesm,2,after,4,0.0033673917319258
kt1_s27,1comp,1,27,5,bayesm,2,before,0,0.5665489815271688
kt1_s27,1comp,1,27,5,bayesm,2,before,1,0.268422731679818
