dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,runtime_s,n_sampling_errors,invariant_rhat_max,invariant_ess_min,n_divergent,max_treedepth,max_leapfrog,mean_acceptance
kt1_s01,1comp,1,1,5,bayesm,2,219.0,0,1.0319145984124969,63.81519840153785,,,,
kt1_s02,1comp,1,2,5,bayesm,2,217.6,0,1.03697734890033,40.12625572853791,,,,
kt1_s03,1comp,1,3,5,bayesm,2,216.2,0,1.061772610418007,33.02224021231989,,,,
kt1_s04,1comp,1,4,5,bayesm,2,223.0,0,1.039070178616032,61.54363975720821,,,,
kt1_s05,1comp,1,5,5,bayesm,2,217.7,0,1.0065792104841391,261.2231309782893,,,,
kt1_s06,1comp,1,6,5,bayesm,2,217.0,0,1.0640331110865997,20.54747028337538,,,,
kt1_s07,1comp,1,7,5,bayesm,2,218.8,0,1.0478252513227688,33.97349066679527,,,,
kt1_s08,1comp,1,8,5,bayesm,2,215.8,0,1.0274327728550887,66.50786873152887,,,,
kt1_s09,1comp,1,9,5,bayesm,2,218.6,0,1.007038307326211,492.3551230664568,,,,
kt1_s100,1comp,1,100,5,bayesm,2,216.6,0,1.1011688390033965,14.48613360490102,,,,
kt1_s101,1comp,1,101,5,bayesm,2,219.2,0,1.34382608942619,4.659038381806386,,,,
kt1_s10,1comp,1,10,5,bayesm,2,220.5,0,1.0180583075726592,65.1052173264193,,,,
kt1_s11,1comp,1,11,5,bayesm,2,220.5,0,1.6189146216193355,3.274402361351421,,,,
kt1_s12,1comp,1,12,5,bayesm,2,222.1,0,1.2712371236503135,5.562856014550062,,,,
kt1_s13,1comp,1,13,5,bayesm,2,229.3,0,1.100798606534704,12.902051992552696,,,,
kt1_s14,1comp,1,14,5,bayesm,2,217.8,0,1.1764494408389707,8.989753424267956,,,,
kt1_s15,1comp,1,15,5,bayesm,2,218.6,0,1.0941088874599854,15.310601325547209,,,,
kt1_s16,1comp,1,16,5,bayesm,2,226.8,0,1.963641642529252,2.7577413059307645,,,,
kt1_s17,1comp,1,17,5,bayesm,2,231.0,0,1.0823157568736617,17.37476510181406,,,,
kt1_s18,1comp,1,18,5,bayesm,2,227.1,0,1.0906643241398255,15.007366418327768,,,,
kt1_s19,1comp,1,19,5,bayesm,2,227.0,0,1.1457549404265583,14.630780364033969,,,,
kt1_s20,1comp,1,20,5,bayesm,2,224.2,0,1.1655843387145397,12.095601661468873,,,,
kt1_s21,1comp,1,21,5,bayesm,2,215.9,0,1.130065315097781,10.051743396787312,,,,
kt1_s22,1comp,1,22,5,bayesm,2,216.2,0,1.6648165777674029,3.310584326671731,,,,
kt1_s23,1comp,1,23,5,bayesm,2,219.4,0,1.3788409098400964,4.504285869683277,,,,
kt1_s24,1comp,1,24,5,bayesm,2,219.8,0,1.0106077908100914,139.29710549222804,,,,
kt1_s25,1comp,1,25,5,bayesm,2,217.9,0,1.0691357948975104,36.67835132029618,,,,
