dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,post_mean,post_std,ci_low,ci_high,true_weight,in_ci
kt1_s01,1comp,1,1,5,bayesm,2,0,0.9635443794872312,0.0579235176316392,0.7859990921586377,0.9944264442256217,1.0,False
kt1_s01,1comp,1,1,5,bayesm,2,1,0.0117283458708033,0.0428184006979091,0.0001097436218103,0.0703874431656463,,
kt1_s01,1comp,1,1,5,bayesm,2,2,0.0086701746798955,0.0280239064452935,0.0001032798135836,0.0450068027484384,,
kt1_s01,1comp,1,1,5,bayesm,2,3,0.0082140493584137,0.0281878182970105,0.0001142428885406,0.0417801944191543,,
kt1_s01,1comp,1,1,5,bayesm,2,4,0.0078430506036562,0.0092974740414519,0.0001309655504694,0.0340813175544505,,
kt1_s02,1comp,1,2,5,bayesm,2,0,0.9534072171147489,0.0703297920504143,0.728796343637752,0.9954652348239688,1.0,False
kt1_s02,1comp,1,2,5,bayesm,2,1,0.0202099219897792,0.0534679692115676,0.0001171923961144,0.1913726890010354,,
kt1_s02,1comp,1,2,5,bayesm,2,2,0.0130950153320334,0.0450601104754307,0.0001037736651956,0.12506840056796,,
kt1_s02,1comp,1,2,5,bayesm,2,3,0.0091059648814499,0.0229275655045973,9.85737862115531e-05,0.0735543771221556,,
kt1_s02,1comp,1,2,5,bayesm,2,4,0.0041818806819884,0.0111466599097361,8.935538019002608e-05,0.0137695951363275,,
kt1_s03,1comp,1,3,5,bayesm,2,0,0.9583270951005354,0.0664231520772131,0.7347629120207185,0.9952676732721462,1.0,False
kt1_s03,1comp,1,3,5,bayesm,2,1,0.0165354061713562,0.048570619636403,0.0001167190923107,0.1563764607495452,,
kt1_s03,1comp,1,3,5,bayesm,2,2,0.016005333074556,0.0436078296226363,0.0001430389711581,0.1346482896442462,,
kt1_s03,1comp,1,3,5,bayesm,2,3,0.005779695814639,0.0106351860149941,0.0001069091973211,0.0256971228554351,,
kt1_s03,1comp,1,3,5,bayesm,2,4,0.0033524698389132,0.0034062124058962,8.844821474660195e-05,0.0124635693154569,,
kt1_s04,1comp,1,4,5,bayesm,2,0,0.9750090191247748,0.0476465068587976,0.8863474621821211,0.9943236244694784,1.0,False
kt1_s04,1comp,1,4,5,bayesm,2,1,0.0076713902716955,0.0322610174748716,9.417612997728928e-05,0.0256869375894382,,
kt1_s04,1comp,1,4,5,bayesm,2,2,0.0074831990079778,0.0326907137440775,8.409135595632878e-05,0.0222249874018368,,
kt1_s04,1comp,1,4,5,bayesm,2,3,0.0065353658825504,0.0046387434278667,0.0007873201852684,0.0182088854531435,,
kt1_s04,1comp,1,4,5,bayesm,2,4,0.003301025713001,0.0034123646685775,8.105447808104613e-05,0.0121487857564055,,
