dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,bias,rmse,mean_abs_err,coverage95
std_s01,standard,1,1,1,bayesm,2,Alt1,0.0002959071105458,0.5799061569720382,0.4529187349584105,0.96
std_s01,standard,1,1,1,bayesm,2,Alt2,-0.0319117828155466,0.6032450990624573,0.4778481266599885,0.9433333333333334
std_s01,standard,1,1,1,bayesm,2,Alt3,0.0457109201172362,0.6573957889137917,0.5087420508515285,0.9366666666666666
std_s01,standard,1,1,1,bayesm,2,Price,0.0105246205380406,0.3488589523577299,0.2716926617675853,0.94
std_s02,standard,1,2,1,bayesm,2,Alt1,-0.1078664898250067,0.6673068631944793,0.5248328221397048,0.9266666666666666
std_s02,standard,1,2,1,bayesm,2,Alt2,-0.0167101579277076,0.6459541375252948,0.5075457087716996,0.9466666666666668
std_s02,standard,1,2,1,bayesm,2,Alt3,-0.0023463972733835,0.6406729449745888,0.5110667715940178,0.93
std_s02,standard,1,2,1,bayesm,2,Price,-0.0122173350597526,0.5013067433331858,0.3802315805295757,0.9533333333333334
std_s03,standard,1,3,1,bayesm,2,Alt1,0.01747018840077,0.520588763914381,0.4160012315424544,0.9366666666666666
std_s03,standard,1,3,1,bayesm,2,Alt2,0.0169950899219258,0.6433804669227045,0.5155141535703119,0.9533333333333334
std_s03,standard,1,3,1,bayesm,2,Alt3,-0.062621886539226,0.7408011416280981,0.5787519876174119,0.9266666666666666
std_s03,standard,1,3,1,bayesm,2,Price,0.0163655282931145,0.3699493287810758,0.2841767327123474,0.98
std_s04,standard,1,4,1,bayesm,2,Alt1,-0.006230870282074,0.5600544813191687,0.4497152485582065,0.9533333333333334
std_s04,standard,1,4,1,bayesm,2,Alt2,0.0699031052603174,0.5134269762413893,0.4047532934915791,0.95
std_s04,standard,1,4,1,bayesm,2,Alt3,0.1542387522177742,0.7167796002658552,0.5540538572001185,0.9533333333333334
std_s04,standard,1,4,1,bayesm,2,Price,-0.0330979465810631,0.4181731240335968,0.3229050948624536,0.9533333333333334
std_s05,standard,1,5,1,bayesm,2,Alt1,-0.0558341272920916,0.7063111526188813,0.5479823994919237,0.9666666666666668
std_s05,standard,1,5,1,bayesm,2,Alt2,-0.035415419743868,0.6363297131941105,0.4877048833932694,0.9433333333333334
std_s05,standard,1,5,1,bayesm,2,Alt3,-0.0771771894077585,0.6533576161145008,0.4880894343713987,0.94
std_s05,standard,1,5,1,bayesm,2,Price,0.0687446651295753,0.4819073776476225,0.3617071138832881,0.9533333333333334
std_s06,standard,1,6,1,bayesm,2,Alt1,0.097232546651975,0.6530861739801727,0.5062089695465382,0.93
std_s06,standard,1,6,1,bayesm,2,Alt2,-0.0365873321566266,0.6044880681713686,0.4695394514373164,0.9266666666666666
std_s06,standard,1,6,1,bayesm,2,Alt3,-0.0645556593556101,0.6016927123843504,0.4757828784314203,0.9166666666666666
std_s06,standard,1,6,1,bayesm,2,Price,-0.04367724061674,0.3312264034767538,0.2651760019885016,0.9433333333333334
std_s07,standard,1,7,1,bayesm,2,Alt1,0.0286718328538531,0.6103820987545108,0.4668917110907667,0.93
std_s07,standard,1,7,1,bayesm,2,Alt2,0.0609916688280301,0.659955150707942,0.516276643718652,0.9533333333333334
std_s07,standard,1,7,1,bayesm,2,Alt3,0.0388392853271559,0.7658083950091553,0.6062036958363725,0.93
std_s07,standard,1,7,1,bayesm,2,Price,0.0326807871263379,0.4590604094113839,0.3454946571347322,0.94
std_s08,standard,1,8,1,bayesm,2,Alt1,-0.2099571377174017,0.7506137162072545,0.5983863056638139,0.9666666666666668
std_s08,standard,1,8,1,bayesm,2,Alt2,-0.1600693634094832,0.7162995676609437,0.553121159517392,0.9233333333333332
std_s08,standard,1,8,1,bayesm,2,Alt3,-0.1079115596725794,0.518192930493083,0.4071382907452435,0.9333333333333332
std_s08,standard,1,8,1,bayesm,2,Price,-0.03037239948422,0.4333526676530442,0.3239771184092734,0.9533333333333334
std_s09,standard,1,9,1,bayesm,2,Alt1,-0.035425428993031,0.673165689096847,0.5418205834673928,0.97
std_s09,standard,1,9,1,bayesm,2,Alt2,-0.009575489224408,0.7127202765688065,0.5527800050631595,0.9333333333333332
std_s09,standard,1,9,1,bayesm,2,Alt3,-0.0544829563273975,0.6692975703863785,0.5268274631285143,0.9566666666666668
std_s09,standard,1,9,1,bayesm,2,Price,-0.012534013361949,0.477892199085096,0.3467111441014961,0.9633333333333334
std_s100,standard,1,100,1,bayesm,2,Alt1,0.0601886829485183,0.5535622602446421,0.4270191099352386,0.97
std_s100,standard,1,100,1,bayesm,2,Alt2,0.0177041984564138,0.6809923321589789,0.5423739043745374,0.9566666666666668
std_s100,standard,1,100,1,bayesm,2,Alt3,-0.0107218558491994,0.5300112964953531,0.4149953572211979,0.96
std_s100,standard,1,100,1,bayesm,2,Price,-0.0751489160267923,0.3628765349013481,0.2856225836564735,0.9566666666666668
std_s10,standard,1,10,1,bayesm,2,Alt1,0.0007377107297597,0.6224091302576936,0.4809326327464521,0.94
std_s10,standard,1,10,1,bayesm,2,Alt2,-0.0280344936876095,0.6706786118268832,0.5041083856206228,0.96
std_s10,standard,1,10,1,bayesm,2,Alt3,0.0138003743406688,0.6053652848856975,0.4749746977395064,0.96
std_s10,standard,1,10,1,bayesm,2,Price,-0.0461776401996949,0.4300921013746624,0.3204360866646858,0.9766666666666668
std_s11,standard,1,11,1,bayesm,2,Alt1,0.0756398640328702,0.545080651152207,0.4210114023684126,0.9633333333333334
std_s11,standard,1,11,1,bayesm,2,Alt2,0.0443885777797883,0.462454178886423,0.3707992077737195,0.9633333333333334
std_s11,standard,1,11,1,bayesm,2,Alt3,0.0792604746202366,0.689155175390636,0.5321676300021201,0.9333333333333332
std_s11,standard,1,11,1,bayesm,2,Price,0.0491594915016406,0.3973813266194413,0.2964061867148507,0.9366666666666666
std_s12,standard,1,12,1,bayesm,2,Alt1,0.0017324518587101,0.613492762966453,0.4885825124014833,0.9533333333333334
std_s12,standard,1,12,1,bayesm,2,Alt2,-0.0139246774184438,0.5621040578657844,0.4394815037810474,0.96
std_s12,standard,1,12,1,bayesm,2,Alt3,-0.0611100987239838,0.5709579071526306,0.4511104839812259,0.9466666666666668
std_s12,standard,1,12,1,bayesm,2,Price,-0.0295308174516646,0.293892910894289,0.2392870846474832,0.9533333333333334
std_s13,standard,1,13,1,bayesm,2,Alt1,-0.0565538962991372,0.6584442062421336,0.5101286527515269,0.9466666666666668
std_s13,standard,1,13,1,bayesm,2,Alt2,0.0088138423651674,0.8686204401300474,0.6769775918392152,0.9333333333333332
std_s13,standard,1,13,1,bayesm,2,Alt3,-0.0653557154196071,0.6996458728705968,0.5639979897329858,0.9566666666666668
std_s13,standard,1,13,1,bayesm,2,Price,-0.0214369180154862,0.6069917942190399,0.4690219484588006,0.9566666666666668
std_s14,standard,1,14,1,bayesm,2,Alt1,-0.0078575452124058,0.5106278970802508,0.4051014863568132,0.9566666666666668
std_s14,standard,1,14,1,bayesm,2,Alt2,0.0636245304009349,0.6310584808891234,0.4930808876430614,0.95
std_s14,standard,1,14,1,bayesm,2,Alt3,0.0431774822087963,0.610276109988325,0.4818823015717373,0.96
std_s14,standard,1,14,1,bayesm,2,Price,-0.0166363593026702,0.3930183812851624,0.3125030098477321,0.9466666666666668
std_s15,standard,1,15,1,bayesm,2,Alt1,0.0404893795263307,0.7620518491887767,0.5823616883350162,0.9233333333333332
std_s15,standard,1,15,1,bayesm,2,Alt2,0.023165471024563,0.6965057023085027,0.5404268908984549,0.9066666666666666
std_s15,standard,1,15,1,bayesm,2,Alt3,-0.0402024311900456,0.5572061885706289,0.4285200720546828,0.9166666666666666
std_s15,standard,1,15,1,bayesm,2,Price,0.0144757473034436,0.4660995656888966,0.3399535260924136,0.9366666666666666
std_s16,standard,1,16,1,bayesm,2,Alt1,0.0639298552610273,0.6976232023002742,0.5478732505937424,0.9633333333333334
std_s16,standard,1,16,1,bayesm,2,Alt2,0.0442949464535269,0.6576990474007548,0.5118001266893055,0.9766666666666668
std_s16,standard,1,16,1,bayesm,2,Alt3,-0.1536595043762303,0.9000235221684394,0.719397998001409,0.93
std_s16,standard,1,16,1,bayesm,2,Price,0.0604785873602299,0.497961527988366,0.3917145887694791,0.9466666666666668
std_s17,standard,1,17,1,bayesm,2,Alt1,0.1147100382762825,0.8979635414880046,0.7121166493142524,0.9266666666666666
std_s17,standard,1,17,1,bayesm,2,Alt2,-0.1394856245955451,0.786361130832208,0.6236368439820775,0.94
std_s17,standard,1,17,1,bayesm,2,Alt3,-0.0798664822723695,0.6900455859304357,0.5591574783506493,0.9233333333333332
std_s17,standard,1,17,1,bayesm,2,Price,0.0113249257486505,0.4677822482632835,0.3650740827767706,0.96
std_s18,standard,1,18,1,bayesm,2,Alt1,0.0114635851768712,0.5997016234755375,0.4787089880223406,0.9633333333333334
std_s18,standard,1,18,1,bayesm,2,Alt2,0.0603798995451712,0.5774625812973617,0.4651752253374434,0.97
std_s18,standard,1,18,1,bayesm,2,Alt3,0.0789029342789645,0.5648349476474984,0.446557417080373,0.9366666666666666
std_s18,standard,1,18,1,bayesm,2,Price,0.0160191521357598,0.5136311673781326,0.38353783114123,0.9333333333333332
std_s19,standard,1,19,1,bayesm,2,Alt1,-0.0346288633223074,0.6315300874917154,0.4957179817966585,0.9533333333333334
std_s19,standard,1,19,1,bayesm,2,Alt2,0.0245909265160964,0.6893615855346992,0.5538682437474237,0.9366666666666666
std_s19,standard,1,19,1,bayesm,2,Alt3,-0.010819162300735,0.5965801882863503,0.470884174806405,0.9633333333333334
std_s19,standard,1,19,1,bayesm,2,Price,-0.0169321163658108,0.4611039228289875,0.351077176895787,0.9566666666666668
std_s20,standard,1,20,1,bayesm,2,Alt1,-0.0060999894341335,0.5286093583721626,0.4165000710404241,0.9466666666666668
std_s20,standard,1,20,1,bayesm,2,Alt2,0.0098075636640018,0.6747855585618683,0.5211095510710311,0.9433333333333334
std_s20,standard,1,20,1,bayesm,2,Alt3,0.2621959858443588,1.1014496594466274,0.8861216117609103,0.9166666666666666
std_s20,standard,1,20,1,bayesm,2,Price,0.0251311023971243,0.3662824002527806,0.2856641225738786,0.9433333333333334
std_s21,standard,1,21,1,bayesm,2,Alt1,0.0422277971587323,0.6210730462835379,0.4927514590971206,0.9433333333333334
std_s21,standard,1,21,1,bayesm,2,Alt2,0.0267654554933056,0.506727367798758,0.4053312062487775,0.9666666666666668
std_s21,standard,1,21,1,bayesm,2,Alt3,0.0023931619609088,0.7215634452374913,0.5846180781727452,0.9466666666666668
std_s21,standard,1,21,1,bayesm,2,Price,0.0297921386315896,0.377139747633225,0.2917864822864064,0.9466666666666668
std_s22,standard,1,22,1,bayesm,2,Alt1,-0.0090102660534704,0.5734733656339085,0.4503848632774441,0.96
std_s22,standard,1,22,1,bayesm,2,Alt2,0.0153962297735782,0.5943192831771279,0.4663745600417502,0.9433333333333334
