dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,mean_acceptance,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog
std_s01,standard,1,1,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9244993329048156,,,,,
std_s01,standard,1,1,1,hmc,2,mu,kernel_01,0,0.0,0.933850884437561,,,,,
std_s01,standard,1,1,1,hmc,2,Delta,kernel_02,0,0.0,0.9178462028503418,,,,,
std_s01,standard,1,1,1,hmc,2,beta_i,kernel_03,0,0.0,0.8896878957748413,,,,,
std_s02,standard,1,2,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.928655743598938,,,,,
std_s02,standard,1,2,1,hmc,2,mu,kernel_01,0,0.0,0.93010812997818,,,,,
std_s02,standard,1,2,1,hmc,2,Delta,kernel_02,0,0.0,0.9127385020256042,,,,,
std_s02,standard,1,2,1,hmc,2,beta_i,kernel_03,0,0.0,0.8837611079216003,,,,,
std_s03,standard,1,3,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.918249011039734,,,,,
std_s03,standard,1,3,1,hmc,2,mu,kernel_01,0,0.0,0.9340760707855223,,,,,
std_s03,standard,1,3,1,hmc,2,Delta,kernel_02,0,0.0,0.92120623588562,,,,,
std_s03,standard,1,3,1,hmc,2,beta_i,kernel_03,0,0.0,0.8989028334617615,,,,,
std_s04,standard,1,4,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9175493121147156,,,,,
std_s04,standard,1,4,1,hmc,2,mu,kernel_01,0,0.0,0.926932156085968,,,,,
std_s04,standard,1,4,1,hmc,2,Delta,kernel_02,0,0.0,0.9047447443008424,,,,,
std_s04,standard,1,4,1,hmc,2,beta_i,kernel_03,0,0.0,0.8978273272514343,,,,,
std_s05,standard,1,5,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9240354299545288,,,,,
std_s05,standard,1,5,1,hmc,2,mu,kernel_01,0,0.0,0.9055795669555664,,,,,
std_s05,standard,1,5,1,hmc,2,Delta,kernel_02,0,0.0,0.923547863960266,,,,,
std_s05,standard,1,5,1,hmc,2,beta_i,kernel_03,0,0.0,0.8856685757637024,,,,,
std_s06,standard,1,6,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9136589765548706,,,,,
std_s06,standard,1,6,1,hmc,2,mu,kernel_01,0,0.0,0.9379691481590272,,,,,
std_s06,standard,1,6,1,hmc,2,Delta,kernel_02,0,0.0,0.9217400550842284,,,,,
std_s06,standard,1,6,1,hmc,2,beta_i,kernel_03,0,0.0,0.8831449151039124,,,,,
std_s07,standard,1,7,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.91918683052063,,,,,
std_s07,standard,1,7,1,hmc,2,mu,kernel_01,0,0.0,0.940893530845642,,,,,
std_s07,standard,1,7,1,hmc,2,Delta,kernel_02,0,0.0,0.925560712814331,,,,,
std_s07,standard,1,7,1,hmc,2,beta_i,kernel_03,0,0.0,0.8944225311279297,,,,,
std_s08,standard,1,8,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9166969656944276,,,,,
std_s08,standard,1,8,1,hmc,2,mu,kernel_01,0,0.0,0.9265097379684448,,,,,
std_s08,standard,1,8,1,hmc,2,Delta,kernel_02,0,0.0,0.9097375273704528,,,,,
std_s08,standard,1,8,1,hmc,2,beta_i,kernel_03,0,0.0,0.900246262550354,,,,,
std_s09,standard,1,9,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9152564406394958,,,,,
std_s09,standard,1,9,1,hmc,2,mu,kernel_01,0,0.0,0.9404886960983276,,,,,
std_s09,standard,1,9,1,hmc,2,Delta,kernel_02,0,0.0,0.9255857467651368,,,,,
std_s09,standard,1,9,1,hmc,2,beta_i,kernel_03,0,0.0,0.9096456170082092,,,,,
std_s100,standard,1,100,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9072715640068054,,,,,
std_s100,standard,1,100,1,hmc,2,mu,kernel_01,0,0.0,0.9254445433616638,,,,,
std_s100,standard,1,100,1,hmc,2,Delta,kernel_02,0,0.0,0.9002941250801086,,,,,
std_s100,standard,1,100,1,hmc,2,beta_i,kernel_03,0,0.0,0.888771116733551,,,,,
std_s10,standard,1,10,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9109726548194884,,,,,
std_s10,standard,1,10,1,hmc,2,mu,kernel_01,0,0.0,0.9254644513130188,,,,,
std_s10,standard,1,10,1,hmc,2,Delta,kernel_02,0,0.0,0.9010611176490784,,,,,
std_s10,standard,1,10,1,hmc,2,beta_i,kernel_03,0,0.0,0.9012803435325624,,,,,
std_s11,standard,1,11,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9251148700714112,,,,,
std_s11,standard,1,11,1,hmc,2,mu,kernel_01,0,0.0,0.9348245859146118,,,,,
std_s11,standard,1,11,1,hmc,2,Delta,kernel_02,0,0.0,0.9198994040489196,,,,,
std_s11,standard,1,11,1,hmc,2,beta_i,kernel_03,0,0.0,0.8970453143119812,,,,,
std_s12,standard,1,12,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9107317328453064,,,,,
std_s12,standard,1,12,1,hmc,2,mu,kernel_01,0,0.0,0.9281824231147766,,,,,
std_s12,standard,1,12,1,hmc,2,Delta,kernel_02,0,0.0,0.9267773628234864,,,,,
std_s12,standard,1,12,1,hmc,2,beta_i,kernel_03,0,0.0,0.8881328105926514,,,,,
std_s13,standard,1,13,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9225099682807922,,,,,
std_s13,standard,1,13,1,hmc,2,mu,kernel_01,0,0.0,0.9180718660354614,,,,,
std_s13,standard,1,13,1,hmc,2,Delta,kernel_02,0,0.0,0.9237551689147948,,,,,
std_s13,standard,1,13,1,hmc,2,beta_i,kernel_03,0,0.0,0.891747236251831,,,,,
std_s14,standard,1,14,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.910553514957428,,,,,
std_s14,standard,1,14,1,hmc,2,mu,kernel_01,0,0.0,0.9311685562133788,,,,,
std_s14,standard,1,14,1,hmc,2,Delta,kernel_02,0,0.0,0.9163954854011536,,,,,
std_s14,standard,1,14,1,hmc,2,beta_i,kernel_03,0,0.0,0.893605649471283,,,,,
std_s15,standard,1,15,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9143308401107788,,,,,
std_s15,standard,1,15,1,hmc,2,mu,kernel_01,0,0.0,0.9228278398513794,,,,,
std_s15,standard,1,15,1,hmc,2,Delta,kernel_02,0,0.0,0.9241631031036376,,,,,
std_s15,standard,1,15,1,hmc,2,beta_i,kernel_03,0,0.0,0.8828580975532532,,,,,
std_s16,standard,1,16,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9277508854866028,,,,,
std_s16,standard,1,16,1,hmc,2,mu,kernel_01,0,0.0,0.9416265487670898,,,,,
std_s16,standard,1,16,1,hmc,2,Delta,kernel_02,0,0.0,0.917084276676178,,,,,
std_s16,standard,1,16,1,hmc,2,beta_i,kernel_03,0,0.0,0.8993944525718689,,,,,
std_s17,standard,1,17,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9208242893218994,,,,,
