dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,grid,param,retained_mass_model,retained_mass_true,Hellinger,KL,JSD,TVD,Wasserstein1
std_s01,standard,1,1,1,bayesm,2,full,Alt1,0.9999999999987724,1.0,0.03472,0.00515,0.0012,0.0315,0.05402
std_s01,standard,1,1,1,bayesm,2,full,Alt2,0.9999999999982816,0.9999999999995262,0.03017,0.00353,0.00091,0.03064,0.07869
std_s01,standard,1,1,1,bayesm,2,full,Alt3,0.999999999996396,0.9999999999999324,0.0196,0.00152,0.00038,0.02233,0.05567
std_s01,standard,1,1,1,bayesm,2,full,Price,0.9999999999947572,0.9999999999973518,0.02078,0.00169,0.00043,0.02115,0.03626
std_s01,standard,1,1,1,bayesm,2,chebyshev,Alt1,0.9999980449771386,0.9999999108316328,0.03472,0.00514,0.0012,0.0315,0.05402
std_s01,standard,1,1,1,bayesm,2,chebyshev,Alt2,0.99999954852921,0.9999994266968562,0.03017,0.00353,0.00091,0.03064,0.07869
std_s01,standard,1,1,1,bayesm,2,chebyshev,Alt3,0.999998699994062,0.9999994266968562,0.01959,0.00152,0.00038,0.02233,0.05567
std_s01,standard,1,1,1,bayesm,2,chebyshev,Price,0.9999995752515708,0.9999994266968562,0.02078,0.00169,0.00043,0.02115,0.03626
std_s02,standard,1,2,1,bayesm,2,full,Alt1,0.9999999999981244,1.0,0.0462,0.00922,0.00212,0.04323,0.10535
std_s02,standard,1,2,1,bayesm,2,full,Alt2,0.9999999999952722,0.9999999999954372,0.04756,0.00863,0.00225,0.04849,0.08418
std_s02,standard,1,2,1,bayesm,2,full,Alt3,0.999999999998576,0.999999999994196,0.06746,0.01696,0.00452,0.06782,0.10822
std_s02,standard,1,2,1,bayesm,2,full,Price,0.9999999999957084,0.9999999999965762,0.04861,0.00915,0.00236,0.05304,0.17017
std_s02,standard,1,2,1,bayesm,2,chebyshev,Alt1,0.9999986809878572,0.9999999590102387,0.0462,0.00921,0.00212,0.04323,0.10534
std_s02,standard,1,2,1,bayesm,2,chebyshev,Alt2,0.9999997908457308,0.9999994266968562,0.04756,0.00863,0.00225,0.04849,0.08418
std_s02,standard,1,2,1,bayesm,2,chebyshev,Alt3,0.9999999094531818,0.9999994266968562,0.06746,0.01696,0.00452,0.06782,0.10822
std_s02,standard,1,2,1,bayesm,2,chebyshev,Price,0.9999994254126334,0.9999994266968562,0.04861,0.00915,0.00236,0.05304,0.17017
std_s03,standard,1,3,1,bayesm,2,full,Alt1,0.9999999999986152,0.9999999999999984,0.02879,0.00336,0.00083,0.03154,0.05946
std_s03,standard,1,3,1,bayesm,2,full,Alt2,0.999999999998295,0.9999999999999613,0.05774,0.01318,0.00333,0.06497,0.18055
std_s03,standard,1,3,1,bayesm,2,full,Alt3,0.9999999999990729,0.9999999999971052,0.08727,0.0279,0.00752,0.08812,0.21685
std_s03,standard,1,3,1,bayesm,2,full,Price,0.9999999999958726,0.9999999999999996,0.05802,0.01474,0.00333,0.05524,0.12322
std_s03,standard,1,3,1,bayesm,2,chebyshev,Alt1,0.9999979788512232,0.9999995655932868,0.02878,0.00335,0.00083,0.03154,0.05946
std_s03,standard,1,3,1,bayesm,2,chebyshev,Alt2,0.9999987840110264,0.9999995365947788,0.05774,0.01318,0.00333,0.06497,0.18055
std_s03,standard,1,3,1,bayesm,2,chebyshev,Alt3,0.9999998579947516,0.9999994266968562,0.08727,0.0279,0.00752,0.08812,0.21685
std_s03,standard,1,3,1,bayesm,2,chebyshev,Price,0.999998919720802,0.999999977386064,0.05801,0.01473,0.00333,0.05524,0.12321
std_s04,standard,1,4,1,bayesm,2,full,Alt1,0.9999999999980328,0.999999999982914,0.06678,0.01661,0.00442,0.06685,0.11565
std_s04,standard,1,4,1,bayesm,2,full,Alt2,0.9999999999988438,0.9999999999999988,0.0442,0.00793,0.00195,0.04931,0.09446
std_s04,standard,1,4,1,bayesm,2,full,Alt3,0.999999999998488,1.0,0.05911,0.01509,0.00347,0.0595,0.12335
std_s04,standard,1,4,1,bayesm,2,full,Price,0.9999999999962348,0.9999999999994698,0.01235,0.0006,0.00015,0.01277,0.01885
std_s04,standard,1,4,1,bayesm,2,chebyshev,Alt1,0.99999994042666,0.9999994266968562,0.06678,0.01661,0.00442,0.06685,0.11564
std_s04,standard,1,4,1,bayesm,2,chebyshev,Alt2,0.9999981807097128,0.9999996086606951,0.0442,0.00793,0.00195,0.04931,0.09446
std_s04,standard,1,4,1,bayesm,2,chebyshev,Alt3,0.9999972758868718,0.9999999162547716,0.0591,0.01508,0.00347,0.0595,0.12334
std_s04,standard,1,4,1,bayesm,2,chebyshev,Price,0.9999992467452828,0.9999994266968562,0.01235,0.0006,0.00015,0.01277,0.01885
std_s05,standard,1,5,1,bayesm,2,full,Alt1,0.9999999999981836,0.9999999999999996,0.02957,0.00368,0.00087,0.02777,0.06848
std_s05,standard,1,5,1,bayesm,2,full,Alt2,0.9999999999988756,0.9999999999998308,0.0484,0.00892,0.00233,0.04913,0.08448
std_s05,standard,1,5,1,bayesm,2,full,Alt3,0.999999999997668,0.9999999999997112,0.03603,0.00502,0.0013,0.03744,0.09483
std_s05,standard,1,5,1,bayesm,2,full,Price,0.99999999999508,0.999999999999844,0.02652,0.00283,0.0007,0.02993,0.08393
std_s05,standard,1,5,1,bayesm,2,chebyshev,Alt1,0.9999982343053846,0.999999842649421,0.02956,0.00367,0.00087,0.02777,0.06847
