dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,mix_mean,mix_var,true_mix_mean,true_mix_var
std_s01,standard,1,1,1,bayesm,2,Alt1,-1.0502034932760165,0.9983604088038206,-1.072964278711645,0.8780496201962591
std_s01,standard,1,1,1,bayesm,2,Alt2,0.5696945154790236,1.5412133394211531,0.4951586112003165,1.6892835169653315
std_s01,standard,1,1,1,bayesm,2,Alt3,-0.8963999633322104,1.1185023407042027,-0.952062100706259,1.1494077631012445
std_s01,standard,1,1,1,bayesm,2,Price,-0.495661979306125,0.956272458317876,-0.5181455523987548,1.036266750995662
std_s02,standard,1,2,1,bayesm,2,Alt1,0.6058882369737385,2.292497277867794,0.6036714606026271,1.912184730294725
std_s02,standard,1,2,1,bayesm,2,Alt2,-0.1019475961135934,1.0309870620518924,-0.0796134520219965,1.2522136869200768
std_s02,standard,1,2,1,bayesm,2,Alt3,-0.2565880927616485,0.7949599457368255,-0.2112726914290075,1.0410594403858062
std_s02,standard,1,2,1,bayesm,2,Price,-1.827904151634516,1.7134686318278314,-1.6577347444332275,1.8510469353119865
std_s03,standard,1,3,1,bayesm,2,Alt1,1.7274434115625208,0.5638335920602083,1.6680252708825845,0.5572818239783026
std_s03,standard,1,3,1,bayesm,2,Alt2,0.0791346791079623,1.2196350800693034,0.2596883747016338,1.2611480733293996
std_s03,standard,1,3,1,bayesm,2,Alt3,-0.0967965190448448,1.2374246949672698,0.1102435424238525,1.5989363205143006
std_s03,standard,1,3,1,bayesm,2,Price,0.6344949750172022,1.85925654258728,0.5795433466949741,1.4895389199313638
std_s04,standard,1,4,1,bayesm,2,Alt1,1.2477147193922835,0.9612407935023308,1.277523073933294,1.260636050820931
std_s04,standard,1,4,1,bayesm,2,Alt2,0.2201265385840523,0.5937256385788322,0.1256845425469796,0.5820616892936878
std_s04,standard,1,4,1,bayesm,2,Alt3,-1.4572706424241924,0.9397254380464554,-1.575633647564078,0.8118683768291717
std_s04,standard,1,4,1,bayesm,2,Price,1.5755324548816827,0.7251934056147933,1.561664660536652,0.7603227311250302
std_s05,standard,1,5,1,bayesm,2,Alt1,-0.4134042340642814,1.559977599439025,-0.4706475145800509,1.4231565591032511
std_s05,standard,1,5,1,bayesm,2,Alt2,-0.1721589810901242,0.7595209423780441,-0.0979004748816344,0.8935700267517579
std_s05,standard,1,5,1,bayesm,2,Alt3,1.790578883421787,1.3380538319528104,1.884169252631225,1.4730888226875445
std_s05,standard,1,5,1,bayesm,2,Price,-1.6587087191631846,1.2826964136362076,-1.7426322827367997,1.2723717690929377
std_s06,standard,1,6,1,bayesm,2,Alt1,-1.0167558467631346,0.8056497443124652,-1.145438532436191,0.99181215674257
std_s06,standard,1,6,1,bayesm,2,Alt2,-0.8186821281938763,0.8380461895599961,-0.7824347160403822,0.8995622439094416
std_s06,standard,1,6,1,bayesm,2,Alt3,0.9055531280141071,1.309967081335187,0.8738665739721179,1.71822073190987
std_s06,standard,1,6,1,bayesm,2,Price,0.7287938163003177,0.4241478009775281,0.8114097529802404,0.5000515129995616
std_s07,standard,1,7,1,bayesm,2,Alt1,0.0140925227475183,1.557532787054777,0.0234475548025636,1.822715006176228
std_s07,standard,1,7,1,bayesm,2,Alt2,-1.0091157575986032,1.1717211304366588,-1.1399393153086468,1.1152321297809342
std_s07,standard,1,7,1,bayesm,2,Alt3,-1.9261844492452085,1.372365317445993,-1.869280239002512,1.550207928881931
std_s07,standard,1,7,1,bayesm,2,Price,-1.799178785064177,0.7880347256764769,-1.7808150511343273,0.7952075461123295
std_s08,standard,1,8,1,bayesm,2,Alt1,-1.3098085217281352,1.650783860808611,-1.2108557108417597,1.2657753292215
std_s08,standard,1,8,1,bayesm,2,Alt2,0.0070383906751879,1.361028816127777,0.125618479148625,1.3475246962244083
std_s08,standard,1,8,1,bayesm,2,Alt3,1.3550794100825942,0.5269912914767861,1.3499604520175184,0.6015594534268063
std_s08,standard,1,8,1,bayesm,2,Price,-0.9924291078942707,1.9396728823840617,-0.9127202154851664,1.9826377889402
std_s09,standard,1,9,1,bayesm,2,Alt1,0.7314760345453198,1.895742426335812,0.7141676369634427,1.995967568351925
std_s09,standard,1,9,1,bayesm,2,Alt2,0.4947388057746991,1.8239148057579997,0.4852836858412434,1.708884433536095
std_s09,standard,1,9,1,bayesm,2,Alt3,0.7910202333218698,1.524089696455002,0.8483054720435957,1.575112633012507
std_s09,standard,1,9,1,bayesm,2,Price,1.4520636366582405,1.4908229418992995,1.5376738750155483,1.4016854103746972
std_s100,standard,1,100,1,bayesm,2,Alt1,-0.1358971790804858,1.4820532055079938,-0.1820208348243829,1.52595290125693
std_s100,standard,1,100,1,bayesm,2,Alt2,-1.0795557295754028,1.1394906300008296,-1.003380717730042,1.125042933449843
std_s100,standard,1,100,1,bayesm,2,Alt3,-0.924420588788764,1.005312789297104,-0.9369221110721804,0.7928171711976433
std_s100,standard,1,100,1,bayesm,2,Price,-0.9351903339474836,1.2529937974393368,-0.9442706004373588,1.08549436291736
std_s10,standard,1,10,1,bayesm,2,Alt1,0.5367192954417854,1.6324383687853814,0.5706934550173092,1.749599925058134
std_s10,standard,1,10,1,bayesm,2,Alt2,-0.640422108525441,1.7587826949298382,-0.5128751923514103,1.4970194826103431
std_s10,standard,1,10,1,bayesm,2,Alt3,0.326567280813437,1.3830939964443445,0.2757824229883798,1.3633343066407908
std_s10,standard,1,10,1,bayesm,2,Price,-0.4876523835745038,1.7862557155430316,-0.3892815421193124,1.862672158027544
std_s11,standard,1,11,1,bayesm,2,Alt1,0.1533497626243977,0.9290635323464872,0.0616906000245436,0.9228549435652652
std_s11,standard,1,11,1,bayesm,2,Alt2,1.1219887479350987,0.5984763058677316,1.0173244530365455,0.5058675665835366
std_s11,standard,1,11,1,bayesm,2,Alt3,-0.6654341300376263,1.2167940664708614,-0.7658603912677838,1.232521776485827
std_s11,standard,1,11,1,bayesm,2,Price,0.2738595880920669,2.279154773169756,0.274385651386532,1.9224262718932996
std_s12,standard,1,12,1,bayesm,2,Alt1,-0.2963935107747747,1.8232574709057807,-0.193152846506634,1.6757218520043522
std_s12,standard,1,12,1,bayesm,2,Alt2,0.2290397160232524,1.3507235239744186,0.1747974760595444,1.2058854328219923
std_s12,standard,1,12,1,bayesm,2,Alt3,-0.625979453721674,0.734353594096005,-0.5663793422789835,0.7229569617029679
std_s12,standard,1,12,1,bayesm,2,Price,-0.0359200907111122,0.6280216386899352,0.0232732314004605,0.6095691544555379
std_s13,standard,1,13,1,bayesm,2,Alt1,1.3538714936866174,1.3232706182837486,1.3594580312665707,1.2728561546383093
std_s13,standard,1,13,1,bayesm,2,Alt2,-0.5699009054641155,1.8872255682110783,-0.6155332630831808,1.9530147971185976
std_s13,standard,1,13,1,bayesm,2,Alt3,1.191536128452232,1.6120822607934475,1.2940562967121043,1.8085249230962823
std_s13,standard,1,13,1,bayesm,2,Price,-2.433266094525348,1.7476859317064286,-2.364696080657899,1.678987162164701
std_s14,standard,1,14,1,bayesm,2,Alt1,0.5391651583257013,0.6075967623263597,0.5667679566461548,0.5337692483803456
std_s14,standard,1,14,1,bayesm,2,Alt2,0.9098512100669036,2.078703298431635,0.9099022823360864,1.948081941541088
std_s14,standard,1,14,1,bayesm,2,Alt3,0.4597076865803875,1.5086337899535895,0.3631038108501496,1.3476444399913738
std_s14,standard,1,14,1,bayesm,2,Price,-0.4578925325434004,1.292214786452055,-0.4070166285288738,1.3473527482630274
std_s15,standard,1,15,1,bayesm,2,Alt1,-1.48518956408221,1.8946838126957417,-1.3819408471089485,1.827330432668497
