dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,runtime_s,n_sampling_errors,rhat_max,ess_min,n_divergent,max_treedepth,max_leapfrog,mean_acceptance
std_s01,standard,1,1,1,bayesm,2,205.6,0,1.0007908736022475,2237.5056436432105,,,,
std_s02,standard,1,2,1,bayesm,2,203.5,0,1.0014196231357448,2012.986553828048,,,,
std_s03,standard,1,3,1,bayesm,2,206.6,0,1.0012656371252655,1833.2168241558436,,,,
std_s04,standard,1,4,1,bayesm,2,215.0,0,1.001292789909073,1236.5278332143985,,,,
std_s05,standard,1,5,1,bayesm,2,209.1,0,1.0018695754579656,1321.4638389673323,,,,
std_s06,standard,1,6,1,bayesm,2,207.0,0,1.0014036039060357,2140.8286460073687,,,,
std_s07,standard,1,7,1,bayesm,2,211.7,0,1.001056759495854,1882.9271374412929,,,,
std_s08,standard,1,8,1,bayesm,2,213.6,0,1.0030283331472722,2123.267028401709,,,,
std_s09,standard,1,9,1,bayesm,2,212.7,0,1.001172496796657,2434.496588647621,,,,
std_s100,standard,1,100,1,bayesm,2,206.9,0,1.0013264617792728,2637.2033584728706,,,,
std_s10,standard,1,10,1,bayesm,2,214.9,0,1.0011985801894314,2849.9935648746173,,,,
std_s11,standard,1,11,1,bayesm,2,216.2,0,1.003027867993236,2388.525440246231,,,,
std_s12,standard,1,12,1,bayesm,2,207.7,0,1.002463457375083,1957.522213910568,,,,
std_s13,standard,1,13,1,bayesm,2,209.4,0,1.002017477776669,2132.482425897554,,,,
std_s14,standard,1,14,1,bayesm,2,214.4,0,1.0008821661854328,2063.4998905610223,,,,
std_s15,standard,1,15,1,bayesm,2,217.0,0,1.00175749902645,1982.6953312200249,,,,
std_s16,standard,1,16,1,bayesm,2,216.8,0,1.0010583740049352,556.6709295745168,,,,
std_s17,standard,1,17,1,bayesm,2,209.1,0,1.0008770664712514,1547.623275489409,,,,
std_s18,standard,1,18,1,bayesm,2,204.7,0,1.0013230617153557,2133.663243863267,,,,
std_s19,standard,1,19,1,bayesm,2,207.0,0,1.0021832626101863,2402.251802972177,,,,
std_s20,standard,1,20,1,bayesm,2,205.2,0,1.006308497370913,537.2020446089552,,,,
std_s21,standard,1,21,1,bayesm,2,210.6,0,1.0012595228833876,1928.5816762044064,,,,
std_s22,standard,1,22,1,bayesm,2,211.0,0,1.0009860465338212,1626.0215909752435,,,,
std_s23,standard,1,23,1,bayesm,2,207.6,0,1.0018445297264151,1189.7897500852189,,,,
std_s24,standard,1,24,1,bayesm,2,208.8,0,1.0025555210950254,1549.1724598230735,,,,
std_s25,standard,1,25,1,bayesm,2,208.4,0,1.0032363484091216,1612.5931880575745,,,,
std_s26,standard,1,26,1,bayesm,2,210.5,0,1.0016864335869629,2107.320945616936,,,,
std_s27,standard,1,27,1,bayesm,2,204.5,0,1.0012273726604952,2598.282023864066,,,,
std_s28,standard,1,28,1,bayesm,2,206.3,0,1.0008871016496632,2020.144268617108,,,,
std_s29,standard,1,29,1,bayesm,2,206.9,0,1.0039215400612158,1032.9053462280224,,,,
std_s30,standard,1,30,1,bayesm,2,209.7,0,1.0035990993339947,1146.79626781995,,,,
std_s31,standard,1,31,1,bayesm,2,209.2,0,1.000854006886862,1930.4447142434956,,,,
std_s32,standard,1,32,1,bayesm,2,209.8,0,1.0020798249211735,1249.647871281999,,,,
std_s33,standard,1,33,1,bayesm,2,209.7,0,1.000958560714089,2114.419517657623,,,,
std_s34,standard,1,34,1,bayesm,2,208.3,0,1.001373430503401,1916.241096991734,,,,
std_s35,standard,1,35,1,bayesm,2,208.8,0,1.0029244556594308,2555.0002054443585,,,,
std_s36,standard,1,36,1,bayesm,2,215.3,0,1.002577353366661,1727.6533038078114,,,,
std_s37,standard,1,37,1,bayesm,2,211.0,0,1.0010568144695815,2832.8597132169284,,,,
std_s38,standard,1,38,1,bayesm,2,209.4,0,1.0019188916259465,2147.257956333583,,,,
std_s39,standard,1,39,1,bayesm,2,209.7,0,1.0017827507445114,1727.413507405242,,,,
std_s40,standard,1,40,1,bayesm,2,201.9,0,1.001263767653693,2217.950826534256,,,,
std_s41,standard,1,41,1,bayesm,2,220.1,0,1.0019483848650192,1037.5667262147574,,,,
std_s42,standard,1,42,1,bayesm,2,223.2,0,1.0012952146220155,1925.1407897642923,,,,
std_s43,standard,1,43,1,bayesm,2,223.5,0,1.0007357962261474,1804.7064136027325,,,,
std_s44,standard,1,44,1,bayesm,2,227.5,0,1.0041696129995954,1501.3256265042287,,,,
std_s45,standard,1,45,1,bayesm,2,228.4,0,1.0029037832907794,1313.4016556047147,,,,
std_s46,standard,1,46,1,bayesm,2,224.2,0,1.003016484579847,2655.609107343167,,,,
std_s47,standard,1,47,1,bayesm,2,225.4,0,1.0034130329452144,1018.1494403808764,,,,
std_s48,standard,1,48,1,bayesm,2,225.5,0,1.0019033231840406,1534.6596692031876,,,,
std_s49,standard,1,49,1,bayesm,2,230.3,0,1.001347627254607,1453.583535836842,,,,
std_s50,standard,1,50,1,bayesm,2,227.7,0,1.0020399634100596,2012.3023022522552,,,,
std_s51,standard,1,51,1,bayesm,2,207.1,0,1.0015952119906206,2357.5384558846004,,,,
std_s52,standard,1,52,1,bayesm,2,201.2,0,1.00122934517798,2027.471806178333,,,,
std_s53,standard,1,53,1,bayesm,2,205.4,0,1.002162653058536,2079.013104435553,,,,
std_s54,standard,1,54,1,bayesm,2,209.2,0,1.0020614154698142,2434.2654711652985,,,,
std_s55,standard,1,55,1,bayesm,2,217.2,0,1.0010263068879246,2424.8314522444784,,,,
std_s56,standard,1,56,1,bayesm,2,207.4,0,1.0037278219921626,937.0232781931398,,,,
std_s57,standard,1,57,1,bayesm,2,215.8,0,1.0020550897299063,1604.364257657823,,,,
std_s58,standard,1,58,1,bayesm,2,208.4,0,1.0018756654441252,1846.1252102632047,,,,
std_s59,standard,1,59,1,bayesm,2,208.1,0,1.0015204943034277,1923.8824457428748,,,,
std_s60,standard,1,60,1,bayesm,2,209.0,0,1.001658933433677,1583.2012808285742,,,,
std_s61,standard,1,61,1,bayesm,2,205.3,0,1.0027145654499845,897.1886209660198,,,,
std_s62,standard,1,62,1,bayesm,2,208.0,0,1.0014839353741782,2271.1189333282514,,,,
std_s63,standard,1,63,1,bayesm,2,208.7,0,1.0009262457691186,2988.739663054997,,,,
std_s64,standard,1,64,1,bayesm,2,216.1,0,1.001721272527036,1958.64042354164,,,,
std_s65,standard,1,65,1,bayesm,2,214.5,0,1.000851875485958,1773.1314684362703,,,,
std_s66,standard,1,66,1,bayesm,2,223.6,0,1.001708042294244,1691.1200583275293,,,,
