dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,row,col,post_mean,post_std,ci_low,ci_high,true_value,empirical,abs_diff,in_ci
std_s01,standard,1,1,1,bayesm,2,Alt1,Alt1,0.9983603358268738,0.1461896002292633,0.7455679938197136,1.313229924440384,0.8780496201962591,1.798066229316597,0.1203107156306146,True
std_s01,standard,1,1,1,bayesm,2,Alt2,Alt1,0.0027245171368122,0.110441654920578,-0.2132048409432173,0.2218580834567546,0.0,-0.2647327172577572,0.0027245171368122,True
std_s01,standard,1,1,1,bayesm,2,Alt2,Alt2,1.5412133932113647,0.1703345626592636,1.2329309672117232,1.897539609670639,1.6892835169653315,2.379954446711706,0.1480701237539667,True
std_s01,standard,1,1,1,bayesm,2,Alt3,Alt1,-0.0077396207489073,0.1037920489907264,-0.2086921788752079,0.199395366385579,0.0,-0.2274499506828828,0.0077396207489073,True
std_s01,standard,1,1,1,bayesm,2,Alt3,Alt2,-0.2090392261743545,0.1130054593086242,-0.4341646134853363,0.0104185729287562,0.0,0.0129924487070729,0.2090392261743545,True
std_s01,standard,1,1,1,bayesm,2,Alt3,Alt3,1.1185023784637451,0.1499203294515609,0.8533270716667175,1.4433772474527358,1.1494077631012445,1.2645735806049985,0.0309053846374993,True
std_s01,standard,1,1,1,bayesm,2,Price,Alt1,-0.0110248951241374,0.080114722251892,-0.1683942604809999,0.1460062831640241,0.0,-0.3472165512320027,0.0110248951241374,True
std_s01,standard,1,1,1,bayesm,2,Price,Alt2,0.0117127709090709,0.0894600674510002,-0.163809010758996,0.1872168418020008,0.0,0.4259772154183951,0.0117127709090709,True
std_s01,standard,1,1,1,bayesm,2,Price,Alt3,-0.0432390607893466,0.0811060592532157,-0.2039917916059494,0.1144224708899855,0.0,0.0344446443285872,0.0432390607893466,True
std_s01,standard,1,1,1,bayesm,2,Price,Price,0.9562724828720092,0.0942420288920402,0.7863990530371666,1.154695025086403,1.036266750995662,1.2912218079804088,0.0799942681236527,True
std_s02,standard,1,2,1,bayesm,2,Alt1,Alt1,2.292497158050537,0.2670309245586395,1.8134955525398253,2.866181451082229,1.912184730294725,2.793559302723533,0.3803124277558121,True
std_s02,standard,1,2,1,bayesm,2,Alt2,Alt1,-0.0675141885876655,0.1384563744068145,-0.3397573783993721,0.2087227948009967,0.0,0.9459452055846126,0.0675141885876655,True
std_s02,standard,1,2,1,bayesm,2,Alt2,Alt2,1.030987024307251,0.1506099849939346,0.757987979054451,1.3513309895992276,1.2522136869200768,2.471995514451304,0.2212266626128258,True
std_s02,standard,1,2,1,bayesm,2,Alt3,Alt1,-0.1687651127576828,0.1251075267791748,-0.4126508936285972,0.0758918324485417,0.0,-0.2316525557788893,0.1687651127576828,True
std_s02,standard,1,2,1,bayesm,2,Alt3,Alt2,-0.014453787356615,0.0951806753873825,-0.19397181160748,0.1810607369989156,0.0,-0.030226494913331,0.014453787356615,True
std_s02,standard,1,2,1,bayesm,2,Alt3,Alt3,0.7949599623680115,0.1174095273017883,0.587411081790924,1.0448476701974867,1.0410594403858062,1.323597409399261,0.2460994780177947,True
std_s02,standard,1,2,1,bayesm,2,Price,Alt1,0.0083481753244996,0.1467173993587494,-0.2812224015593528,0.2943532541394232,0.0,-0.5627974513205614,0.0083481753244996,True
std_s02,standard,1,2,1,bayesm,2,Price,Alt2,0.1888041049242019,0.1130375191569328,-0.0294248705729842,0.4144641213119028,0.0,-0.6115453036579547,0.1888041049242019,True
std_s02,standard,1,2,1,bayesm,2,Price,Alt3,0.2965886890888214,0.1042024418711662,0.0972209800034761,0.5091500803828239,0.0,0.1950154417145021,0.2965886890888214,False
std_s02,standard,1,2,1,bayesm,2,Price,Price,1.7134687900543213,0.1756089478731155,1.402408769726753,2.0840441584587097,1.8510469353119865,2.0780814429983225,0.1375781452576649,True
std_s03,standard,1,3,1,bayesm,2,Alt1,Alt1,0.5638335943222046,0.0875915363430976,0.4084680914878845,0.754230910539627,0.5572818239783026,1.3461660190868032,0.0065517703439019,True
std_s03,standard,1,3,1,bayesm,2,Alt2,Alt1,-0.0648616254329681,0.0855602994561195,-0.2291461907327175,0.1071795834228395,0.0,-0.3432891198579489,0.0648616254329681,True
std_s03,standard,1,3,1,bayesm,2,Alt2,Alt2,1.2196351289749146,0.1696256399154663,0.9171017572283744,1.5821235090494157,1.2611480733293996,1.683614358380362,0.041512944354485,True
std_s03,standard,1,3,1,bayesm,2,Alt3,Alt1,-0.048876579850912,0.0866628214716911,-0.2142644736915827,0.1249117840081451,0.0,-0.3552170020485729,0.048876579850912,True
std_s03,standard,1,3,1,bayesm,2,Alt3,Alt2,-0.3357734382152557,0.1197652220726013,-0.5718246713280678,-0.1039052821695805,0.0,-0.1639331206318306,0.3357734382152557,False
std_s03,standard,1,3,1,bayesm,2,Alt3,Alt3,1.237424612045288,0.179675668478012,0.9158565700054168,1.620858180522918,1.5989363205143006,1.925623278428825,0.3615117084690125,True
std_s03,standard,1,3,1,bayesm,2,Price,Alt1,-0.1206067129969596,0.090594083070755,-0.301561115682125,0.053601078409701,0.0,-0.2601529627539386,0.1206067129969596,True
std_s03,standard,1,3,1,bayesm,2,Price,Alt2,-0.1665333062410354,0.1186027005314827,-0.4102950796484947,0.0597750908695161,0.0,-0.21348998576573,0.1665333062410354,True
std_s03,standard,1,3,1,bayesm,2,Price,Alt3,-0.0149164302274584,0.1196116432547569,-0.2502177633345127,0.2202569529414175,0.0,0.2647273292222755,0.0149164302274584,True
std_s03,standard,1,3,1,bayesm,2,Price,Price,1.859256625175476,0.1830236762762069,1.5333959221839906,2.2528808712959285,1.4895389199313638,1.7683184627858852,0.3697177052441123,False
std_s04,standard,1,4,1,bayesm,2,Alt1,Alt1,0.961240828037262,0.124803327023983,0.7402587980031967,1.2294577449560165,1.260636050820931,1.540021733223729,0.2993952227836693,False
std_s04,standard,1,4,1,bayesm,2,Alt2,Alt1,0.1484336256980896,0.0797231197357177,0.0013949601358035,0.3150830902159212,0.0,0.3849980774329126,0.1484336256980896,False
std_s04,standard,1,4,1,bayesm,2,Alt2,Alt2,0.5937256217002869,0.0904686376452446,0.4308544665575027,0.783926501870155,0.5820616892936878,0.6664296242223681,0.011663932406599,True
