k_true,param,sampler,min,q1,mean,median,q3,max,n_sim
1,Alt1,bayesm,-0.0023,0.6097,0.6745,0.706,0.8127,0.927,100.0
1,Alt1,Replication,-0.0876,0.6288,0.6815,0.7384,0.8126,0.9316,100.0
1,Alt1,NUTS,-0.0311,0.5656,0.6744,0.735,0.8238,0.9331,100.0
1,Alt1,HMC,-0.1836,0.5923,0.6784,0.7527,0.8279,0.9322,100.0
1,Alt2,bayesm,-0.0112,0.5679,0.6705,0.7186,0.8215,0.9214,100.0
1,Alt2,Replication,0.1385,0.5706,0.6741,0.7288,0.8144,0.9202,100.0
1,Alt2,NUTS,0.0558,0.5656,0.6652,0.7322,0.821,0.927,100.0
1,Alt2,HMC,0.0676,0.6126,0.6834,0.7283,0.823,0.9276,100.0
1,Alt3,bayesm,0.1257,0.5807,0.6829,0.7258,0.8203,0.9298,100.0
1,Alt3,Replication,0.1338,0.5875,0.6886,0.7333,0.8256,0.9211,100.0
1,Alt3,NUTS,0.0822,0.5666,0.6854,0.7322,0.8265,0.9353,100.0
1,Alt3,HMC,0.1696,0.5862,0.7003,0.7461,0.8263,0.9292,100.0
1,Price,bayesm,0.0681,0.7483,0.7951,0.8344,0.9039,0.9579,100.0
1,Price,Replication,0.2263,0.7423,0.7965,0.8357,0.9099,0.9591,100.0
1,Price,NUTS,0.1948,0.7452,0.7975,0.8435,0.9119,0.9589,100.0
1,Price,HMC,0.2811,0.7625,0.8077,0.8415,0.912,0.9587,100.0
2,Alt1,bayesm,0.4497,0.8447,0.8871,0.9212,0.9636,0.9932,100.0
2,Alt1,Replication,0.4252,0.8518,0.8855,0.912,0.9651,0.9921,100.0
2,Alt1,NUTS,0.3337,0.8298,0.8673,0.9097,0.9557,0.9937,100.0
2,Alt1,HMC,0.4035,0.8316,0.8841,0.9204,0.9672,0.9924,100.0
2,Alt2,bayesm,0.3643,0.8268,0.8682,0.9082,0.9478,0.9906,100.0
2,Alt2,Replication,0.4244,0.8234,0.8677,0.9145,0.9502,0.9903,100.0
2,Alt2,NUTS,0.0015,0.8222,0.8558,0.9131,0.9462,0.9904,100.0
2,Alt2,HMC,0.2383,0.8401,0.8717,0.9041,0.9497,0.9904,100.0
2,Alt3,bayesm,0.4205,0.8112,0.8668,0.9017,0.9516,0.9916,100.0
2,Alt3,Replication,0.222,0.7995,0.863,0.8981,0.9538,0.9895,100.0
2,Alt3,NUTS,0.4842,0.8118,0.8628,0.8951,0.957,0.9908,100.0
2,Alt3,HMC,0.4583,0.8116,0.8743,0.899,0.959,0.9921,100.0
2,Price,bayesm,0.6754,0.9355,0.9432,0.9611,0.9768,0.9953,100.0
2,Price,Replication,0.7108,0.9317,0.942,0.9623,0.98,0.9935,100.0
2,Price,NUTS,0.5217,0.9297,0.9369,0.9613,0.9784,0.9935,100.0
2,Price,HMC,0.5878,0.9331,0.9428,0.9645,0.9779,0.995,100.0
3,Alt1,bayesm,0.5573,0.9064,0.9269,0.9492,0.973,0.9913,100.0
3,Alt1,Replication,0.6727,0.9097,0.931,0.9502,0.9725,0.9925,100.0
3,Alt1,NUTS,0.4625,0.8881,0.908,0.9339,0.967,0.9908,100.0
3,Alt1,HMC,0.5351,0.8889,0.9169,0.9491,0.9717,0.991,100.0
3,Alt2,bayesm,0.5877,0.895,0.9171,0.9409,0.9656,0.9926,100.0
3,Alt2,Replication,0.484,0.9017,0.917,0.9392,0.9637,0.9862,100.0
3,Alt2,NUTS,0.4777,0.8807,0.8914,0.9337,0.9645,0.9909,100.0
3,Alt2,HMC,0.4742,0.8928,0.9144,0.9417,0.9659,0.9926,100.0
3,Alt3,bayesm,0.3337,0.8978,0.9125,0.9405,0.9662,0.9889,100.0
3,Alt3,Replication,0.6354,0.9046,0.9216,0.9441,0.9684,0.9895,100.0
3,Alt3,NUTS,-0.0142,0.8812,0.9062,0.9367,0.9638,0.9909,100.0
3,Alt3,HMC,0.4045,0.8894,0.915,0.9482,0.9684,0.9898,100.0
3,Price,bayesm,0.7791,0.9577,0.9633,0.9727,0.982,0.9938,100.0
3,Price,Replication,0.7826,0.9571,0.9632,0.9714,0.9816,0.9949,100.0
3,Price,NUTS,0.3234,0.9573,0.9547,0.9733,0.9815,0.995,100.0
3,Price,HMC,0.7927,0.9552,0.9641,0.9734,0.9822,0.9951,100.0
5,Alt1,bayesm,0.6144,0.9421,0.9492,0.9611,0.974,0.987,100.0
5,Alt1,Replication,0.6918,0.9448,0.9518,0.963,0.9734,0.9869,100.0
5,Alt1,NUTS,0.5177,0.9337,0.9269,0.9587,0.9711,0.9843,100.0
5,Alt1,HMC,0.6294,0.9307,0.942,0.9566,0.9708,0.9833,100.0
5,Alt2,bayesm,0.7545,0.9281,0.9432,0.9586,0.9718,0.9896,100.0
5,Alt2,Replication,0.7429,0.9316,0.9436,0.9576,0.9732,0.9907,100.0
5,Alt2,NUTS,0.6675,0.9165,0.9345,0.9502,0.9703,0.9869,100.0
5,Alt2,HMC,0.6047,0.9224,0.9353,0.9538,0.9706,0.988,100.0
5,Alt3,bayesm,0.7569,0.9302,0.9429,0.9569,0.97,0.9907,100.0
5,Alt3,Replication,0.7323,0.9319,0.9441,0.9564,0.97,0.9909,100.0
5,Alt3,NUTS,0.6096,0.9192,0.9341,0.9513,0.9691,0.9908,100.0
5,Alt3,HMC,0.6917,0.9206,0.9379,0.9567,0.9685,0.991,100.0
5,Price,bayesm,0.8587,0.9646,0.9705,0.9781,0.9839,0.9934,100.0
5,Price,Replication,0.8573,0.9635,0.9709,0.9783,0.9839,0.9932,100.0
5,Price,NUTS,0.85,0.9629,0.9694,0.9765,0.9835,0.9935,100.0
5,Price,HMC,0.851,0.963,0.9702,0.9762,0.9826,0.9934,100.0
