param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.7728,0.8699,0.893,0.9104,0.929,0.9828,5.0
Alt1,Replication,0.7648,0.8623,0.9004,0.9262,0.9688,0.98,5.0
Alt1,NUTS,0.8825,0.9052,0.9312,0.9279,0.9555,0.9832,3.0
Alt1,HMC,0.8069,0.8096,0.9007,0.9283,0.9754,0.9831,5.0
Alt2,bayesm,0.6829,0.7794,0.818,0.8271,0.8661,0.9344,5.0
Alt2,Replication,0.7602,0.7739,0.8377,0.8252,0.9079,0.9213,5.0
Alt2,NUTS,0.7822,0.8072,0.8613,0.8323,0.9009,0.9694,3.0
Alt2,HMC,0.7822,0.8226,0.8488,0.8358,0.8945,0.909,5.0
Alt3,bayesm,0.7563,0.7691,0.8404,0.8148,0.9091,0.9529,5.0
Alt3,Replication,0.7514,0.763,0.8451,0.8618,0.9077,0.9417,5.0
Alt3,NUTS,0.8614,0.8874,0.9096,0.9134,0.9337,0.9539,3.0
Alt3,HMC,0.7726,0.8088,0.8673,0.888,0.9137,0.9535,5.0
Price,bayesm,0.9054,0.936,0.9483,0.9487,0.9693,0.9823,5.0
Price,Replication,0.9226,0.934,0.9493,0.9398,0.9677,0.9824,5.0
Price,NUTS,0.941,0.9552,0.9644,0.9695,0.9762,0.9829,3.0
Price,HMC,0.9413,0.9506,0.9629,0.9697,0.9698,0.9828,5.0
