k_true,param,coverage_pct_bayesm,coverage_pct_Replication,coverage_pct_NUTS,coverage_pct_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
1,Alt1,94.7,94.3,94.8,95.1,5.0,5.0,4.0,5.0
1,Alt2,94.8,94.5,95.1,95.1,5.0,5.0,4.0,5.0
1,Alt3,94.7,94.5,94.7,95.2,5.0,5.0,4.0,5.0
1,Price,94.7,94.7,94.4,94.8,5.0,5.0,4.0,5.0
2,Alt1,95.7,95.9,96.7,96.5,5.0,5.0,3.0,5.0
2,Alt2,94.4,94.5,93.8,94.4,5.0,5.0,3.0,5.0
2,Alt3,95.9,95.6,96.1,96.2,5.0,5.0,3.0,5.0
2,Price,94.7,94.6,94.7,94.7,5.0,5.0,3.0,5.0
3,Alt1,95.9,95.9,96.5,96.7,5.0,5.0,5.0,5.0
3,Alt2,95.4,95.3,95.9,95.7,5.0,5.0,5.0,5.0
3,Alt3,94.4,94.5,95.1,94.7,5.0,5.0,5.0,5.0
3,Price,94.8,94.6,94.7,94.3,5.0,5.0,5.0,5.0
5,Alt1,95.8,93.7,95.0,96.3,5.0,5.0,5.0,5.0
5,Alt2,94.1,93.8,95.3,95.5,5.0,5.0,5.0,5.0
5,Alt3,95.9,95.9,96.5,96.7,5.0,5.0,5.0,5.0
5,Price,94.5,94.1,94.9,94.8,5.0,5.0,5.0,5.0
