k_true,sampler,rmse_pooled,min,q1,mean,median,q3,max,n_sim
1,bayesm,1.0987,0.5268,0.8195,1.0376,0.9417,1.1442,2.4983,100.0
1,Replication,1.0594,0.5486,0.8219,1.0047,0.9276,1.0744,2.5656,100.0
1,NUTS,1.2734,0.5271,0.7885,1.112,0.9105,1.1792,4.6101,100.0
1,HMC,1.1733,0.533,0.8094,1.0635,0.8987,1.0923,3.2322,100.0
2,bayesm,1.0761,0.6906,0.8329,1.0378,0.9634,1.1271,2.2167,100.0
2,Replication,1.0647,0.7068,0.8429,1.0278,0.9426,1.0978,2.173,100.0
2,NUTS,1.4762,0.6657,0.8337,1.2177,0.9268,1.2736,7.1094,100.0
2,HMC,1.07,0.6683,0.8142,1.0276,0.9049,1.1591,1.9926,100.0
3,bayesm,1.195,0.7442,0.8967,1.1239,0.9922,1.166,2.943,100.0
3,Replication,1.1114,0.6997,0.8944,1.0753,0.9879,1.1573,2.0263,100.0
3,NUTS,2.0188,0.6971,0.8914,1.5052,1.0965,1.5702,11.9168,100.0
3,HMC,1.4133,0.7041,0.8764,1.248,0.9918,1.2971,4.3864,100.0
5,bayesm,1.2485,0.7841,0.9392,1.1884,1.0345,1.2933,2.6391,100.0
5,Replication,1.2091,0.7893,0.9356,1.1546,1.0425,1.2273,2.8718,100.0
5,NUTS,2.4156,0.8217,0.9963,1.8242,1.134,1.9932,9.4567,100.0
5,HMC,1.631,0.8322,0.9932,1.4478,1.1381,1.6153,5.16,100.0
all,bayesm,1.1567,0.5268,0.872,1.097,0.9864,1.1735,2.943,400.0
all,Replication,1.1128,0.5486,0.8673,1.0656,0.9763,1.1432,2.8718,400.0
all,NUTS,1.8514,0.5271,0.8636,1.4148,1.0236,1.3821,11.9168,400.0
all,HMC,1.3397,0.533,0.8577,1.1967,0.9942,1.2705,5.16,400.0
