k_true,param,sampler,min,q1,mean,median,q3,max,n_sim
1,Alt1,bayesm,0.6684,0.788,0.8918,0.8693,0.9433,1.1901,5.0
1,Alt1,Replication,0.6603,0.8036,0.8841,0.9214,0.9548,1.0803,5.0
1,Alt1,NUTS,0.6563,0.771,1.0034,0.8986,1.1309,1.56,4.0
1,Alt1,HMC,0.6533,0.8016,0.9091,0.8847,0.9822,1.2237,5.0
1,Alt2,bayesm,0.5513,0.6575,0.7495,0.7916,0.8589,0.8883,5.0
1,Alt2,Replication,0.552,0.624,0.7763,0.7926,0.9548,0.9584,5.0
1,Alt2,NUTS,0.5531,0.7357,0.9294,0.8339,1.0276,1.4965,4.0
1,Alt2,HMC,0.5526,0.6675,0.8575,0.7888,0.8574,1.4212,5.0
1,Alt3,bayesm,0.7289,0.7296,0.7742,0.7765,0.8034,0.8328,5.0
1,Alt3,Replication,0.7232,0.7342,0.7685,0.7498,0.8043,0.8312,5.0
1,Alt3,NUTS,0.7308,0.7995,0.8209,0.8303,0.8517,0.8923,4.0
1,Alt3,HMC,0.7224,0.7303,0.7675,0.7828,0.7959,0.8063,5.0
1,Price,bayesm,0.379,0.5127,0.6964,0.716,0.9333,0.941,5.0
1,Price,Replication,0.3815,0.514,0.7028,0.8283,0.8496,0.9405,5.0
1,Price,NUTS,0.5157,0.6457,0.8475,0.7969,0.9988,1.2803,4.0
1,Price,HMC,0.3793,0.515,0.6958,0.7214,0.899,0.9644,5.0
2,Alt1,bayesm,0.6381,0.8013,0.9488,0.8096,0.8215,1.6736,5.0
2,Alt1,Replication,0.6485,0.823,0.8252,0.8269,0.9025,0.9254,5.0
2,Alt1,NUTS,0.6414,0.6971,0.7444,0.7528,0.7959,0.839,3.0
2,Alt1,HMC,0.6435,0.7353,0.8143,0.8052,0.845,1.0427,5.0
2,Alt2,bayesm,0.6934,0.8242,0.9411,0.8671,1.0141,1.3065,5.0
2,Alt2,Replication,0.7005,0.7234,0.9041,0.8173,0.8273,1.4521,5.0
2,Alt2,NUTS,0.6893,0.7512,0.7946,0.8132,0.8473,0.8815,3.0
2,Alt2,HMC,0.6104,0.6892,0.929,0.8058,0.811,1.7285,5.0
2,Alt3,bayesm,0.7711,0.8513,0.9107,0.9171,1.0001,1.0141,5.0
2,Alt3,Replication,0.7804,0.8249,0.9059,0.9472,0.9615,1.0156,5.0
2,Alt3,NUTS,0.7533,0.7965,0.8352,0.8396,0.8762,0.9128,3.0
2,Alt3,HMC,0.6874,0.7333,0.8341,0.8449,0.9102,0.9948,5.0
2,Price,bayesm,0.4011,0.6582,0.7574,0.8844,0.9013,0.9419,5.0
2,Price,Replication,0.4917,0.6729,0.7337,0.7297,0.8832,0.8909,5.0
2,Price,NUTS,0.6559,0.7637,0.805,0.8715,0.8796,0.8877,3.0
2,Price,HMC,0.3944,0.4775,0.6565,0.6551,0.872,0.8837,5.0
3,Alt1,bayesm,0.7971,0.9245,1.0479,0.9949,1.1121,1.4111,5.0
3,Alt1,Replication,0.8193,0.9114,0.9283,0.9195,0.9946,0.9968,5.0
