param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.6323,0.8495,1.1471,1.0023,1.2192,3.0584,100.0
Alt1,Replication,0.6508,0.8893,1.1663,0.9949,1.1738,4.2069,100.0
Alt1,NUTS,0.6465,0.9053,1.737,1.1094,1.5875,19.76,100.0
Alt1,HMC,0.6602,0.8519,1.4629,1.0006,1.4057,8.1096,100.0
Alt2,bayesm,0.7184,0.8644,1.1023,0.9615,1.197,3.4277,100.0
Alt2,Replication,0.737,0.8909,1.0685,0.995,1.1611,2.6136,100.0
Alt2,NUTS,0.7187,0.8987,1.4032,1.0586,1.4742,6.0143,100.0
Alt2,HMC,0.7172,0.8747,1.1305,0.9789,1.2128,3.8167,100.0
Alt3,bayesm,0.6299,0.8987,1.2448,1.0278,1.2859,5.7398,100.0
Alt3,Replication,0.7003,0.9294,1.1881,0.9998,1.248,3.2136,100.0
Alt3,NUTS,0.68,0.8788,1.4902,0.9967,1.3578,12.3495,100.0
Alt3,HMC,0.5965,0.8645,1.228,0.9955,1.2397,4.413,100.0
Price,bayesm,0.4069,0.6521,0.7615,0.7305,0.8487,1.7245,100.0
Price,Replication,0.4097,0.6593,0.782,0.7393,0.8193,2.0592,100.0
Price,NUTS,0.3968,0.6394,0.8137,0.7513,0.875,3.1109,100.0
Price,HMC,0.4024,0.639,0.7571,0.7365,0.8284,1.6964,100.0
