k_true,sampler,p_est1,p_est2,p_est3,p_est4,p_est5
1,bayesm,0.76,0.23,0.01,0.0,0.0
1,bayesm_gibbs,0.77,0.22,0.01,0.0,0.0
1,nuts,0.84,0.16,0.0,0.0,0.0
1,hmc,0.75,0.23,0.01,0.01,0.0
2,bayesm,0.02,0.83,0.14,0.01,0.0
2,bayesm_gibbs,0.02,0.86,0.12,0.0,0.0
2,nuts,0.03,0.93,0.04,0.0,0.0
2,hmc,0.02,0.94,0.04,0.0,0.0
3,bayesm,0.0,0.06,0.92,0.02,0.0
3,bayesm_gibbs,0.0,0.06,0.92,0.02,0.0
3,nuts,0.0,0.09,0.89,0.02,0.0
3,hmc,0.0,0.12,0.86,0.02,0.0
5,bayesm,0.0,0.0,0.04,0.25,0.71
5,bayesm_gibbs,0.0,0.0,0.02,0.29,0.69
5,nuts,0.0,0.0,0.08,0.44,0.48
5,hmc,0.0,0.0,0.07,0.66,0.27
