k_true,sampler,n_sim,mean_k_eff,median_k_eff,sd_k_eff,mean_est_k,frac_correct,frac_over,frac_under,frac_correct_keff,mean_est_k_ci
1,bayesm,100.0,1.126,1.092,0.116,1.25,0.76,0.24,0.0,0.99,1.01
1,bayesm_gibbs,100.0,1.128,1.083,0.116,1.24,0.77,0.23,0.0,0.98,1.0
1,nuts,100.0,1.106,1.036,0.177,1.16,0.84,0.16,0.0,0.92,1.02
1,hmc,100.0,1.138,1.042,0.209,1.28,0.75,0.25,0.0,0.91,1.01
2,bayesm,100.0,2.151,2.128,0.204,2.14,0.83,0.15,0.02,0.95,1.97
2,bayesm_gibbs,100.0,2.149,2.135,0.204,2.1,0.86,0.12,0.02,0.95,1.97
2,nuts,100.0,2.027,2.038,0.186,2.01,0.93,0.04,0.03,0.97,1.97
2,hmc,100.0,2.02,2.037,0.171,2.02,0.94,0.04,0.02,0.97,1.97
3,bayesm,100.0,3.06,3.122,0.313,2.96,0.92,0.02,0.06,0.92,2.89
3,bayesm_gibbs,100.0,3.052,3.111,0.317,2.96,0.92,0.02,0.06,0.93,2.88
3,nuts,100.0,2.901,3.037,0.378,2.93,0.89,0.02,0.09,0.85,2.8
3,hmc,100.0,2.847,3.02,0.392,2.9,0.86,0.02,0.12,0.85,2.78
5,bayesm,100.0,4.437,4.744,0.576,4.67,0.71,0.0,0.29,0.58,4.08
5,bayesm_gibbs,100.0,4.441,4.724,0.573,4.67,0.69,0.0,0.31,0.63,4.1
5,nuts,100.0,4.038,3.9,0.656,4.4,0.48,0.0,0.52,0.33,3.97
5,hmc,100.0,3.773,3.747,0.511,4.2,0.27,0.0,0.73,0.09,3.63
