k_true,sampler,threshold,mean_est_k,frac_correct,n_sim
1,bayesm,0.01,2.0,0.2,5
1,bayesm,0.025,1.4,0.6,5
1,bayesm,0.05,1.0,1.0,5
1,bayesm_gibbs,0.01,1.6,0.4,5
1,bayesm_gibbs,0.025,1.4,0.6,5
1,bayesm_gibbs,0.05,1.0,1.0,5
1,nuts,0.01,1.0,1.0,4
1,nuts,0.025,1.0,1.0,4
1,nuts,0.05,1.0,1.0,4
1,hmc,0.01,1.2,0.8,5
1,hmc,0.025,1.0,1.0,5
1,hmc,0.05,1.0,1.0,5
2,bayesm,0.01,3.0,0.2,5
2,bayesm,0.025,2.2,0.4,5
2,bayesm,0.05,1.8,0.8,5
2,bayesm_gibbs,0.01,2.8,0.4,5
2,bayesm_gibbs,0.025,1.8,0.8,5
2,bayesm_gibbs,0.05,1.8,0.8,5
2,nuts,0.01,2.0,1.0,3
2,nuts,0.025,2.0,1.0,3
2,nuts,0.05,2.0,1.0,3
2,hmc,0.01,1.8,0.8,5
2,hmc,0.025,1.8,0.8,5
2,hmc,0.05,1.8,0.8,5
3,bayesm,0.01,4.0,0.2,5
3,bayesm,0.025,3.0,0.6,5
3,bayesm,0.05,2.8,0.8,5
3,bayesm_gibbs,0.01,4.0,0.4,5
3,bayesm_gibbs,0.025,2.8,0.8,5
3,bayesm_gibbs,0.05,2.8,0.8,5
3,nuts,0.01,2.8,0.8,5
3,nuts,0.025,2.8,0.8,5
3,nuts,0.05,2.8,0.8,5
3,hmc,0.01,3.0,0.6,5
3,hmc,0.025,2.8,0.8,5
3,hmc,0.05,2.8,0.8,5
5,bayesm,0.01,5.0,1.0,5
5,bayesm,0.025,4.8,0.8,5
5,bayesm,0.05,4.6,0.6,5
5,bayesm_gibbs,0.01,4.8,0.8,5
5,bayesm_gibbs,0.025,4.6,0.6,5
5,bayesm_gibbs,0.05,4.6,0.6,5
5,nuts,0.01,4.4,0.4,5
5,nuts,0.025,4.2,0.2,5
5,nuts,0.05,4.2,0.2,5
5,hmc,0.01,4.0,0.0,5
5,hmc,0.025,4.0,0.0,5
5,hmc,0.05,4.0,0.0,5
