k_true,element,bias_bayesm,bias_Replication,bias_NUTS,bias_HMC,mcse_bayesm,mcse_Replication,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
1,"Δ₁,₁ (z1:Alt1)",-0.0263,-0.0274,-0.0304,-0.0263,0.0219,0.022,0.0224,0.0219,50.0,50.0,50.0,50.0
1,"Δ₁,₂ (z1:Alt2)",-0.0206,-0.0257,-0.0254,-0.0202,0.0267,0.0269,0.0273,0.0256,50.0,50.0,50.0,50.0
1,"Δ₁,₃ (z1:Alt3)",-0.0195,-0.0199,-0.0218,-0.0127,0.0242,0.0249,0.025,0.0233,50.0,50.0,50.0,50.0
1,"Δ₁,₄ (z1:Price)",0.0014,-0.0005,0.004,0.0018,0.0168,0.0166,0.017,0.0173,50.0,50.0,50.0,50.0
1,"Δ₂,₁ (z2:Alt1)",0.0274,0.0275,0.0311,0.0282,0.0228,0.0239,0.0242,0.0246,50.0,50.0,50.0,50.0
1,"Δ₂,₂ (z2:Alt2)",-0.0307,-0.0294,-0.0295,-0.034,0.0228,0.0237,0.0244,0.0233,50.0,50.0,50.0,50.0
1,"Δ₂,₃ (z2:Alt3)",-0.0042,-0.0028,-0.0025,-0.0058,0.0165,0.0175,0.0179,0.017,50.0,50.0,50.0,50.0
1,"Δ₂,₄ (z2:Price)",-0.015,-0.0154,-0.0169,-0.0165,0.015,0.0149,0.0155,0.0152,50.0,50.0,50.0,50.0
2,"Δ₁,₁ (z1:Alt1)",0.0083,0.0104,0.0101,0.0108,0.0149,0.0147,0.0151,0.0156,50.0,50.0,50.0,50.0
2,"Δ₁,₂ (z1:Alt2)",-0.0047,-0.0008,-0.0026,0.0015,0.0204,0.0198,0.0207,0.0204,50.0,50.0,50.0,50.0
2,"Δ₁,₃ (z1:Alt3)",0.0194,0.0197,0.0209,0.0214,0.0175,0.0173,0.0178,0.0174,50.0,50.0,50.0,50.0
2,"Δ₁,₄ (z1:Price)",-0.0005,-0.0014,0.0007,0.0023,0.0129,0.0129,0.013,0.013,50.0,50.0,50.0,50.0
2,"Δ₂,₁ (z2:Alt1)",-0.0066,-0.0064,-0.0066,-0.0061,0.0168,0.0165,0.0169,0.0175,50.0,50.0,50.0,50.0
2,"Δ₂,₂ (z2:Alt2)",-0.0044,-0.0045,-0.0067,-0.0022,0.0179,0.018,0.0188,0.0184,50.0,50.0,50.0,50.0
2,"Δ₂,₃ (z2:Alt3)",-0.013,-0.0123,-0.0139,-0.0128,0.016,0.0159,0.0163,0.0162,50.0,50.0,50.0,50.0
2,"Δ₂,₄ (z2:Price)",0.0189,0.0185,0.0186,0.0197,0.0117,0.0117,0.0119,0.0117,50.0,50.0,50.0,50.0
3,"Δ₁,₁ (z1:Alt1)",0.0255,0.0269,0.0298,0.0298,0.0161,0.0163,0.0165,0.0171,50.0,50.0,50.0,50.0
3,"Δ₁,₂ (z1:Alt2)",0.0166,0.0164,0.0185,0.0184,0.0172,0.0173,0.0176,0.0176,50.0,50.0,50.0,50.0
3,"Δ₁,₃ (z1:Alt3)",0.009,0.007,0.0095,0.0076,0.0169,0.017,0.0177,0.0175,50.0,50.0,50.0,50.0
3,"Δ₁,₄ (z1:Price)",0.0004,-0.0022,-0.0019,0.0004,0.0144,0.0146,0.0152,0.015,50.0,50.0,50.0,50.0
3,"Δ₂,₁ (z2:Alt1)",-0.0091,-0.0091,-0.0093,-0.0082,0.0134,0.0138,0.0135,0.014,50.0,50.0,50.0,50.0
3,"Δ₂,₂ (z2:Alt2)",-0.0017,-0.0018,-0.0043,-0.005,0.0204,0.0211,0.0208,0.0199,50.0,50.0,50.0,50.0
3,"Δ₂,₃ (z2:Alt3)",-0.0119,-0.0129,-0.0114,-0.0104,0.0174,0.0177,0.0184,0.0183,50.0,50.0,50.0,50.0
3,"Δ₂,₄ (z2:Price)",0.0066,0.0069,0.0052,0.005,0.0143,0.0144,0.015,0.0149,50.0,50.0,50.0,50.0
5,"Δ₁,₁ (z1:Alt1)",-0.0062,-0.0056,-0.005,-0.0068,0.0171,0.0175,0.0186,0.018,50.0,50.0,50.0,50.0
5,"Δ₁,₂ (z1:Alt2)",-0.0428,-0.0429,-0.0459,-0.0421,0.0175,0.0179,0.0175,0.0186,50.0,50.0,50.0,50.0
5,"Δ₁,₃ (z1:Alt3)",-0.0188,-0.0207,-0.0231,-0.0233,0.0148,0.0149,0.0146,0.0151,50.0,50.0,50.0,50.0
5,"Δ₁,₄ (z1:Price)",0.0087,0.0084,0.0111,0.0093,0.0124,0.0125,0.0127,0.0133,50.0,50.0,50.0,50.0
5,"Δ₂,₁ (z2:Alt1)",-0.002,-0.0026,-0.0004,-0.0062,0.0201,0.0203,0.0208,0.0209,50.0,50.0,50.0,50.0
5,"Δ₂,₂ (z2:Alt2)",0.0229,0.0185,0.0177,0.0184,0.0196,0.0195,0.0208,0.0209,50.0,50.0,50.0,50.0
5,"Δ₂,₃ (z2:Alt3)",-0.0075,-0.007,-0.0125,-0.0156,0.0169,0.0172,0.0171,0.0173,50.0,50.0,50.0,50.0
5,"Δ₂,₄ (z2:Price)",0.0027,0.0057,0.0016,0.0037,0.0132,0.0132,0.0138,0.0138,50.0,50.0,50.0,50.0
