k_true,element,coverage_pct_bayesm,coverage_pct_Replication,coverage_pct_NUTS,coverage_pct_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
1,"Δ₁,₁ (z1:Alt1)",100.0,100.0,100.0,100.0,5.0,5.0,4.0,5.0
1,"Δ₁,₂ (z1:Alt2)",100.0,100.0,100.0,100.0,5.0,5.0,4.0,5.0
1,"Δ₁,₃ (z1:Alt3)",100.0,100.0,100.0,100.0,5.0,5.0,4.0,5.0
1,"Δ₁,₄ (z1:Price)",80.0,80.0,75.0,80.0,5.0,5.0,4.0,5.0
1,"Δ₂,₁ (z2:Alt1)",100.0,100.0,100.0,100.0,5.0,5.0,4.0,5.0
1,"Δ₂,₂ (z2:Alt2)",80.0,80.0,75.0,80.0,5.0,5.0,4.0,5.0
1,"Δ₂,₃ (z2:Alt3)",100.0,100.0,100.0,100.0,5.0,5.0,4.0,5.0
1,"Δ₂,₄ (z2:Price)",100.0,100.0,100.0,100.0,5.0,5.0,4.0,5.0
2,"Δ₁,₁ (z1:Alt1)",100.0,100.0,100.0,100.0,5.0,5.0,3.0,5.0
2,"Δ₁,₂ (z1:Alt2)",100.0,100.0,100.0,100.0,5.0,5.0,3.0,5.0
2,"Δ₁,₃ (z1:Alt3)",100.0,100.0,100.0,100.0,5.0,5.0,3.0,5.0
2,"Δ₁,₄ (z1:Price)",100.0,100.0,100.0,100.0,5.0,5.0,3.0,5.0
2,"Δ₂,₁ (z2:Alt1)",100.0,100.0,100.0,100.0,5.0,5.0,3.0,5.0
2,"Δ₂,₂ (z2:Alt2)",100.0,100.0,100.0,100.0,5.0,5.0,3.0,5.0
2,"Δ₂,₃ (z2:Alt3)",100.0,100.0,100.0,80.0,5.0,5.0,3.0,5.0
2,"Δ₂,₄ (z2:Price)",100.0,100.0,100.0,100.0,5.0,5.0,3.0,5.0
3,"Δ₁,₁ (z1:Alt1)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
3,"Δ₁,₂ (z1:Alt2)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
3,"Δ₁,₃ (z1:Alt3)",60.0,60.0,60.0,80.0,5.0,5.0,5.0,5.0
3,"Δ₁,₄ (z1:Price)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
3,"Δ₂,₁ (z2:Alt1)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
3,"Δ₂,₂ (z2:Alt2)",60.0,60.0,60.0,60.0,5.0,5.0,5.0,5.0
3,"Δ₂,₃ (z2:Alt3)",80.0,80.0,80.0,80.0,5.0,5.0,5.0,5.0
3,"Δ₂,₄ (z2:Price)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
5,"Δ₁,₁ (z1:Alt1)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
5,"Δ₁,₂ (z1:Alt2)",80.0,80.0,80.0,80.0,5.0,5.0,5.0,5.0
5,"Δ₁,₃ (z1:Alt3)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
5,"Δ₁,₄ (z1:Price)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
5,"Δ₂,₁ (z2:Alt1)",80.0,80.0,80.0,80.0,5.0,5.0,5.0,5.0
5,"Δ₂,₂ (z2:Alt2)",60.0,60.0,60.0,60.0,5.0,5.0,5.0,5.0
5,"Δ₂,₃ (z2:Alt3)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
5,"Δ₂,₄ (z2:Price)",100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0
