k_true,sampler,rmse_pooled,min,q1,mean,median,q3,max,n_sim
1,bayesm,0.1615,0.0449,0.0855,0.137,0.1141,0.1619,0.5488,100.0
1,Replication,0.1675,0.0513,0.0856,0.1396,0.1162,0.1571,0.6181,100.0
1,NUTS,0.1648,0.0458,0.0851,0.1387,0.1152,0.1625,0.585,100.0
1,HMC,0.1701,0.0474,0.0837,0.1407,0.1117,0.1645,0.6521,100.0
2,bayesm,0.1225,0.0325,0.0867,0.1132,0.1043,0.132,0.3605,100.0
2,Replication,0.1237,0.0323,0.0854,0.1137,0.1051,0.1334,0.3459,100.0
2,NUTS,0.1287,0.0315,0.0842,0.1167,0.1071,0.1362,0.3877,100.0
2,HMC,0.1251,0.0337,0.0878,0.1154,0.1054,0.1346,0.3687,100.0
3,bayesm,0.1173,0.041,0.084,0.1115,0.1079,0.1378,0.2293,100.0
3,Replication,0.1181,0.047,0.0841,0.1123,0.107,0.1403,0.2281,100.0
3,NUTS,0.121,0.0468,0.0865,0.1149,0.111,0.1441,0.2287,100.0
3,HMC,0.1207,0.0366,0.0846,0.1142,0.1072,0.1452,0.2375,100.0
5,bayesm,0.1203,0.0463,0.0932,0.1156,0.1127,0.1365,0.2342,100.0
5,Replication,0.1211,0.0472,0.0934,0.1163,0.1121,0.1392,0.2382,100.0
5,NUTS,0.1247,0.0435,0.0936,0.1194,0.1158,0.1435,0.2449,100.0
5,HMC,0.1248,0.041,0.0933,0.1194,0.1151,0.1447,0.2421,100.0
all,bayesm,0.1316,0.0325,0.0862,0.1193,0.1091,0.1395,0.5488,400.0
all,Replication,0.1341,0.0323,0.0861,0.1205,0.1094,0.1417,0.6181,400.0
all,NUTS,0.1359,0.0315,0.0879,0.1224,0.1113,0.1445,0.585,400.0
all,HMC,0.1367,0.0337,0.0859,0.1224,0.1108,0.1461,0.6521,400.0
