k_true,element,sampler,min,q1,mean,median,q3,max,n_sim
1,"Δ₁,₁ (z1:Alt1)",bayesm,0.0003,0.0409,0.1093,0.08,0.1342,0.5393,50.0
1,"Δ₁,₁ (z1:Alt1)",Replication,0.0014,0.038,0.1105,0.0826,0.1375,0.5064,50.0
1,"Δ₁,₁ (z1:Alt1)",NUTS,0.001,0.0413,0.1115,0.0733,0.131,0.5414,50.0
1,"Δ₁,₁ (z1:Alt1)",HMC,0.0035,0.0458,0.1105,0.0835,0.138,0.5663,50.0
1,"Δ₁,₂ (z1:Alt2)",bayesm,0.0063,0.0461,0.1323,0.0871,0.1847,0.677,50.0
1,"Δ₁,₂ (z1:Alt2)",Replication,0.0074,0.0422,0.1343,0.0878,0.1886,0.6979,50.0
1,"Δ₁,₂ (z1:Alt2)",NUTS,0.0034,0.0429,0.135,0.0879,0.1882,0.7228,50.0
1,"Δ₁,₂ (z1:Alt2)",HMC,0.0026,0.0434,0.1319,0.0917,0.1916,0.5531,50.0
1,"Δ₁,₃ (z1:Alt3)",bayesm,0.0011,0.0526,0.1323,0.1079,0.1689,0.4687,50.0
1,"Δ₁,₃ (z1:Alt3)",Replication,0.0008,0.0531,0.1345,0.1112,0.1702,0.4913,50.0
1,"Δ₁,₃ (z1:Alt3)",NUTS,0.0129,0.0549,0.1362,0.1083,0.1684,0.506,50.0
1,"Δ₁,₃ (z1:Alt3)",HMC,0.0089,0.0507,0.1272,0.1062,0.1521,0.4337,50.0
1,"Δ₁,₄ (z1:Price)",bayesm,0.0013,0.0347,0.0872,0.0558,0.1218,0.379,50.0
1,"Δ₁,₄ (z1:Price)",Replication,0.0011,0.0326,0.0865,0.0571,0.1266,0.3586,50.0
1,"Δ₁,₄ (z1:Price)",NUTS,0.0009,0.0317,0.0888,0.056,0.1141,0.3694,50.0
1,"Δ₁,₄ (z1:Price)",HMC,0.0056,0.0328,0.0886,0.056,0.1171,0.3952,50.0
1,"Δ₂,₁ (z2:Alt1)",bayesm,0.0006,0.0397,0.1207,0.1051,0.1833,0.5979,50.0
1,"Δ₂,₁ (z2:Alt1)",Replication,0.0007,0.0347,0.1242,0.1077,0.1782,0.629,50.0
1,"Δ₂,₁ (z2:Alt1)",NUTS,0.0018,0.038,0.1259,0.1037,0.185,0.6342,50.0
1,"Δ₂,₁ (z2:Alt1)",HMC,0.0022,0.0353,0.1263,0.1016,0.1859,0.7199,50.0
1,"Δ₂,₂ (z2:Alt2)",bayesm,0.0002,0.0477,0.1222,0.0901,0.1698,0.4816,50.0
1,"Δ₂,₂ (z2:Alt2)",Replication,0.0028,0.0483,0.1246,0.0942,0.1689,0.4858,50.0
1,"Δ₂,₂ (z2:Alt2)",NUTS,0.0021,0.0452,0.1273,0.0921,0.1708,0.4951,50.0
1,"Δ₂,₂ (z2:Alt2)",HMC,0.0005,0.0463,0.1247,0.0942,0.1747,0.4932,50.0
1,"Δ₂,₃ (z2:Alt3)",bayesm,0.0005,0.0362,0.0919,0.0746,0.1326,0.2735,50.0
1,"Δ₂,₃ (z2:Alt3)",Replication,0.0015,0.0373,0.0959,0.0776,0.1339,0.3901,50.0
1,"Δ₂,₃ (z2:Alt3)",NUTS,0.0005,0.0428,0.0971,0.0743,0.1314,0.4321,50.0
1,"Δ₂,₃ (z2:Alt3)",HMC,0.0014,0.0382,0.0958,0.0784,0.1329,0.2809,50.0
1,"Δ₂,₄ (z2:Price)",bayesm,0.0018,0.0304,0.0814,0.0689,0.0951,0.3348,50.0
1,"Δ₂,₄ (z2:Price)",Replication,0.0016,0.035,0.0817,0.0637,0.0931,0.3233,50.0
1,"Δ₂,₄ (z2:Price)",NUTS,0.0032,0.0338,0.0828,0.0643,0.0987,0.3778,50.0
1,"Δ₂,₄ (z2:Price)",HMC,0.0083,0.0282,0.0803,0.0643,0.0943,0.3396,50.0
2,"Δ₁,₁ (z1:Alt1)",bayesm,0.0012,0.0276,0.0809,0.0617,0.1228,0.2428,50.0
2,"Δ₁,₁ (z1:Alt1)",Replication,0.0004,0.0266,0.0807,0.0638,0.1222,0.2436,50.0
2,"Δ₁,₁ (z1:Alt1)",NUTS,0.0,0.0213,0.0826,0.0648,0.1276,0.2373,50.0
2,"Δ₁,₁ (z1:Alt1)",HMC,0.0004,0.0273,0.0865,0.0695,0.128,0.2833,50.0
2,"Δ₁,₂ (z1:Alt2)",bayesm,0.0011,0.0424,0.1125,0.0936,0.1533,0.3843,50.0
2,"Δ₁,₂ (z1:Alt2)",Replication,0.0062,0.0391,0.1084,0.0971,0.1518,0.3869,50.0
2,"Δ₁,₂ (z1:Alt2)",NUTS,0.0064,0.0347,0.1142,0.0951,0.1613,0.3839,50.0
2,"Δ₁,₂ (z1:Alt2)",HMC,0.0047,0.0378,0.1128,0.0956,0.153,0.3913,50.0
2,"Δ₁,₃ (z1:Alt3)",bayesm,0.0015,0.0331,0.0906,0.0642,0.127,0.3984,50.0
2,"Δ₁,₃ (z1:Alt3)",Replication,0.001,0.0266,0.0877,0.0693,0.1245,0.3958,50.0
2,"Δ₁,₃ (z1:Alt3)",NUTS,0.0007,0.0276,0.0896,0.0575,0.1203,0.4,50.0
2,"Δ₁,₃ (z1:Alt3)",HMC,0.0014,0.0252,0.0867,0.0481,0.1133,0.3868,50.0
2,"Δ₁,₄ (z1:Price)",bayesm,0.0005,0.0241,0.0703,0.0576,0.1067,0.2408,50.0
2,"Δ₁,₄ (z1:Price)",Replication,0.002,0.0257,0.0708,0.0561,0.1043,0.2441,50.0
2,"Δ₁,₄ (z1:Price)",NUTS,0.0058,0.0234,0.0711,0.048,0.1111,0.2365,50.0
2,"Δ₁,₄ (z1:Price)",HMC,0.0044,0.0292,0.0723,0.0545,0.1128,0.2378,50.0
2,"Δ₂,₁ (z2:Alt1)",bayesm,0.0046,0.0325,0.0883,0.0674,0.1201,0.3721,50.0
