element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.0695,0.0931,0.1128,0.1102,0.124,0.1885,50.0
"Δ₁,₁ (z1:Alt1)",Replication,0.0679,0.0928,0.113,0.109,0.1231,0.1947,50.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0706,0.0977,0.116,0.1126,0.1271,0.2005,50.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0721,0.0971,0.1165,0.1116,0.1259,0.2322,50.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0751,0.0982,0.1241,0.1136,0.1348,0.3767,50.0
"Δ₁,₂ (z1:Alt2)",Replication,0.0745,0.0981,0.1247,0.1124,0.1323,0.4317,50.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0753,0.0993,0.1269,0.1158,0.1377,0.389,50.0
"Δ₁,₂ (z1:Alt2)",HMC,0.0756,0.1011,0.1275,0.1153,0.139,0.4616,50.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0681,0.0953,0.1154,0.1116,0.1304,0.1855,50.0
"Δ₁,₃ (z1:Alt3)",Replication,0.0679,0.0948,0.1155,0.1131,0.1295,0.1812,50.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0697,0.0967,0.1178,0.1156,0.1315,0.1918,50.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0686,0.0966,0.117,0.1125,0.1349,0.1872,50.0
"Δ₁,₄ (z1:Price)",bayesm,0.0538,0.0825,0.0906,0.0879,0.0997,0.1435,50.0
"Δ₁,₄ (z1:Price)",Replication,0.0543,0.0837,0.091,0.0886,0.1004,0.1412,50.0
"Δ₁,₄ (z1:Price)",NUTS,0.0551,0.0832,0.0915,0.0889,0.1002,0.1407,50.0
"Δ₁,₄ (z1:Price)",HMC,0.0537,0.0831,0.0918,0.088,0.1008,0.1446,50.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.0785,0.0984,0.1146,0.1081,0.1241,0.1956,50.0
"Δ₂,₁ (z2:Alt1)",Replication,0.0782,0.098,0.114,0.1093,0.124,0.1913,50.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0784,0.1011,0.1178,0.1123,0.127,0.1929,50.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0793,0.1008,0.1178,0.1119,0.1293,0.1927,50.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0733,0.1025,0.1244,0.1165,0.1334,0.3639,50.0
"Δ₂,₂ (z2:Alt2)",Replication,0.0735,0.1036,0.1231,0.1144,0.135,0.3293,50.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0765,0.1065,0.1275,0.119,0.1375,0.3803,50.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0762,0.1041,0.1263,0.1166,0.1411,0.3698,50.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0705,0.0975,0.1154,0.1093,0.1274,0.1936,50.0
"Δ₂,₃ (z2:Alt3)",Replication,0.0711,0.0978,0.116,0.1091,0.1266,0.1897,50.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0712,0.0986,0.1168,0.1108,0.1279,0.1931,50.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0729,0.098,0.1172,0.109,0.1313,0.1995,50.0
"Δ₂,₄ (z2:Price)",bayesm,0.051,0.0808,0.091,0.0907,0.0997,0.1566,50.0
"Δ₂,₄ (z2:Price)",Replication,0.0514,0.08,0.0909,0.0909,0.0992,0.1525,50.0
"Δ₂,₄ (z2:Price)",NUTS,0.0513,0.0806,0.0917,0.0918,0.0991,0.1529,50.0
"Δ₂,₄ (z2:Price)",HMC,0.0511,0.081,0.0922,0.0916,0.0995,0.16,50.0
